Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,528.36,533.33,528.34,530.92,6378000,530.92
2014-03-03,523.42,534.75,522.81,530.44,7887100,530.44
2014-02-24,523.15,532.75,515.60,526.24,10506600,526.24
2014-02-18,546.00,551.19,524.60,525.25,10345200,525.25
2014-02-10,518.66,545.98,518.00,543.99,10830200,543.99
2014-02-03,502.61,522.93,499.30,519.68,12389500,519.68
2014-01-27,550.07,554.80,493.55,500.60,23332200,497.62
2014-01-21,540.99,557.29,540.42,546.07,13759800,542.82
2014-01-13,529.91,560.20,529.88,540.67,12562200,537.45
2014-01-06,537.45,546.86,531.11,532.94,11231900,529.77
2013-12-30,557.46,561.28,540.43,540.98,9855900,537.76
2013-12-23,568.00,571.88,559.50,560.09,9810300,556.76
2013-12-16,555.02,562.64,538.80,549.02,13112300,545.75
2013-12-09,560.90,570.97,553.67,554.43,11097100,551.13
2013-12-02,558.00,575.14,550.82,560.02,14948800,556.69
2013-11-25,521.02,558.33,521.00,556.07,11716700,552.76
2013-11-18,524.99,527.19,513.67,519.80,8096800,516.71
2013-11-11,519.99,529.28,514.41,524.99,8780600,521.87
2013-11-04,521.10,528.89,512.38,520.56,9108200,517.46
2013-10-28,529.04,539.25,514.54,520.03,14935700,513.94
2013-10-21,511.77,533.23,508.03,525.96,14060300,519.80
2013-10-14,489.83,509.26,489.35,508.89,9837200,502.93
2013-10-07,486.56,493.84,478.28,492.81,10366200,487.03
2013-09-30,477.25,492.35,474.41,483.03,10606000,477.37
2013-09-23,496.10,496.91,480.72,482.75,13633300,477.09
2013-09-16,461.00,478.55,447.22,467.41,17884200,461.93
2013-09-09,505.00,507.92,464.70,464.90,19181900,459.45
2013-09-03,493.10,502.24,487.35,498.22,11364700,492.38
2013-08-26,500.75,510.20,486.00,487.22,11247900,481.51
2013-08-19,504.34,513.74,498.20,501.02,11943000,495.15
2013-08-12,456.86,504.25,456.63,502.33,20395300,496.44
2013-08-05,464.69,471.89,453.65,454.45,10537200,449.12
2013-07-29,440.80,462.85,440.20,462.54,9724800,454.12
2013-07-22,429.46,444.59,418.71,440.99,11419800,432.96
2013-07-15,425.01,434.87,424.17,424.95,8178900,417.21
2013-07-08,420.11,429.79,410.38,426.51,10985600,418.75
2013-07-01,402.69,423.29,401.22,417.42,12284500,409.82
2013-06-24,407.40,408.66,388.87,396.53,14845600,389.31
2013-06-17,431.44,435.70,408.10,413.50,11455700,405.97
2013-06-10,444.73,449.08,428.50,430.05,11137000,422.22
2013-06-03,450.73,454.43,432.77,441.81,12693800,433.77
2013-05-28,449.90,457.10,439.40,449.73,12987000,441.54
2013-05-20,431.91,448.35,430.10,445.15,14141600,437.05
2013-05-13,451.51,457.90,418.90,433.26,18119900,425.37
2013-05-06,455.71,465.75,450.48,452.97,15616600,444.72
2013-04-29,420.45,453.23,420.00,449.98,18727800,438.88
2013-04-22,392.64,418.77,391.27,417.20,22948100,406.91
2013-04-15,427.00,427.89,385.10,390.53,20313700,380.90
2013-04-10,428.10,437.99,426.01,429.80,11225000,419.20
