Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,523.42,534.75,522.81,530.92,8698600,530.92
2014-02-03,502.61,551.19,499.30,526.24,11752500,526.24
2014-01-02,555.68,560.20,493.55,500.60,15698500,497.62
2013-12-02,558.00,575.14,538.80,561.02,12382100,557.68
2013-11-01,524.02,558.33,512.38,556.07,9898700,552.76
2013-10-01,478.45,539.25,478.28,522.70,12598400,516.57
2013-09-03,493.10,507.92,447.22,476.75,15876900,471.16
2013-08-01,455.75,513.74,453.26,487.22,13523700,481.51
2013-07-01,402.69,457.34,401.22,452.53,11138100,444.29
2013-06-03,450.73,454.43,388.87,396.53,13566100,389.31
2013-05-01,444.46,465.75,418.90,449.73,15960700,441.54
2013-04-10,428.10,445.25,385.10,442.78,21483200,431.86
