Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,39.50,39.89,39.41,39.82,5576300,39.82
2014-03-03,39.50,40.49,38.83,39.57,8764800,39.57
2014-02-24,38.87,39.98,38.82,39.78,8538900,39.78
2014-02-18,38.96,39.45,38.53,38.82,7708500,38.82
2014-02-10,37.17,38.98,36.96,38.81,8630000,38.81
2014-02-03,36.58,37.21,35.80,37.18,10015300,37.18
2014-01-27,36.68,36.89,35.65,36.66,9513300,36.66
2014-01-21,39.52,39.57,36.57,36.58,10143500,36.58
2014-01-13,39.11,39.86,39.06,39.40,6983500,39.40
2014-01-06,39.19,39.69,38.72,39.57,7191500,39.35
2013-12-30,38.48,38.78,38.00,38.64,4236200,38.43
2013-12-23,37.97,38.55,37.95,38.37,3720500,38.16
2013-12-16,36.45,38.24,36.31,37.84,8212500,37.63
2013-12-09,37.57,37.58,36.27,36.40,5524400,36.20
2013-12-02,38.24,38.31,36.89,37.53,5575400,37.32
2013-11-25,38.38,38.74,37.90,38.19,4361600,37.98
2013-11-18,38.04,38.81,37.87,38.25,6082600,38.04
2013-11-11,38.17,38.46,37.17,38.05,5980200,37.84
2013-11-04,36.98,38.14,36.67,38.12,7998300,37.91
2013-10-28,37.33,37.46,36.55,36.96,5752400,36.75
2013-10-21,37.17,37.62,36.72,37.25,7516600,37.04
2013-10-14,33.51,37.29,33.38,37.29,12786000,37.08
2013-10-07,33.22,33.90,32.75,33.76,6927500,33.57
2013-09-30,33.05,33.92,33.02,33.56,8137600,33.23
2013-09-23,35.25,35.26,33.05,33.14,12321000,32.82
2013-09-16,35.10,35.72,34.82,35.29,6327200,34.95
2013-09-09,33.50,34.95,33.46,34.87,6897900,34.53
2013-09-03,33.68,33.78,32.70,33.50,9721900,33.17
2013-08-26,34.83,34.90,33.23,33.33,5796200,33.00
2013-08-19,34.85,34.96,34.43,34.84,4745300,34.50
2013-08-12,35.79,36.03,34.55,34.97,6318200,34.63
2013-08-05,36.64,36.78,35.66,35.89,6615300,35.54
2013-07-29,36.62,37.16,36.50,36.75,7034100,36.39
2013-07-22,35.76,36.85,35.58,36.78,6565400,36.42
2013-07-15,35.23,36.48,35.15,35.87,7398500,35.52
2013-07-08,34.95,35.57,34.71,35.32,8436500,34.98
2013-07-01,34.97,35.47,33.72,34.92,6296300,34.44
2013-06-24,35.29,35.82,34.69,34.88,9279600,34.40
2013-06-17,37.07,37.64,35.07,35.58,7419600,35.09
2013-06-10,37.47,37.58,36.12,36.81,5343800,36.30
2013-06-03,36.63,37.55,36.03,37.51,7323000,36.99
2013-05-28,37.98,38.64,36.62,36.67,9117200,36.17
2013-05-20,36.95,38.77,36.87,37.76,7670300,37.24
2013-05-13,36.05,37.70,36.04,36.59,6713300,36.09
2013-05-06,36.75,36.78,35.58,36.17,7049700,35.67
2013-04-29,36.49,37.25,36.40,36.80,4912400,36.29
2013-04-22,37.00,37.35,36.25,36.46,5505500,35.96
2013-04-15,36.84,37.48,35.90,37.20,8974400,36.69
2013-04-10,36.73,37.55,36.66,37.13,6291500,36.62
