Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,51.85,51.90,51.55,51.80,1822800,51.80
2014-03-03,50.58,51.83,50.23,51.83,1622000,51.83
2014-02-24,51.29,51.61,50.48,50.82,1883600,50.82
2014-02-18,50.44,52.38,50.44,51.12,3431700,50.75
2014-02-10,48.78,50.99,48.75,50.77,1756900,50.40
2014-02-03,48.23,48.97,47.14,48.97,2286900,48.61
2014-01-27,48.32,49.12,48.07,48.27,1794500,47.92
2014-01-21,49.95,50.54,48.21,48.25,2188300,47.90
2014-01-13,49.21,50.50,48.66,49.38,2795900,49.02
2014-01-06,49.35,49.90,49.14,49.53,1849600,49.17
2013-12-30,50.51,51.20,49.04,49.61,1554700,49.25
2013-12-23,50.23,50.93,50.05,50.70,975700,50.33
2013-12-16,48.50,50.26,48.39,50.01,1829000,49.65
2013-12-09,49.50,49.59,48.01,48.41,1672800,48.06
2013-12-02,47.80,49.82,47.80,49.27,3005900,48.91
2013-11-25,49.89,50.04,46.12,48.22,3390500,47.54
2013-11-18,50.69,50.70,48.80,49.76,1636800,49.06
2013-11-11,49.67,50.79,49.34,50.69,1362800,49.98
2013-11-04,49.56,50.05,48.57,49.80,2486100,49.10
2013-10-28,46.74,49.75,46.55,49.68,2590800,48.98
2013-10-21,47.77,48.00,46.16,46.75,1749500,46.09
2013-10-14,46.59,47.67,46.31,47.66,1476400,46.99
2013-10-07,46.41,47.05,45.28,46.98,1690900,46.32
2013-09-30,46.56,47.49,45.94,46.99,2028400,46.33
2013-09-23,48.09,48.23,46.84,46.89,1406400,46.23
2013-09-16,48.57,48.75,47.93,47.99,1816800,47.31
2013-09-09,47.24,48.38,47.00,47.95,1287800,47.27
2013-09-03,46.97,47.68,46.55,47.04,1580700,46.38
2013-08-26,47.26,47.63,45.75,46.28,1539500,45.63
2013-08-19,48.35,48.57,46.42,47.33,2137500,46.32
2013-08-12,48.92,49.69,47.77,48.30,1201600,47.27
2013-08-05,49.74,49.79,48.76,49.00,1005500,47.95
2013-07-29,48.52,50.00,48.21,49.87,1566200,48.80
2013-07-22,48.49,48.83,47.76,48.56,2220900,47.52
2013-07-15,48.27,48.93,47.84,47.98,2112300,46.96
2013-07-08,46.27,48.43,45.54,48.35,1859900,47.32
2013-07-01,45.00,46.26,44.90,46.21,1193200,45.22
2013-06-24,44.68,45.51,43.91,45.06,2431400,44.10
2013-06-17,45.11,46.74,44.58,45.16,2474700,44.20
2013-06-10,46.21,46.21,43.86,44.95,1643700,43.99
2013-06-03,45.94,46.82,45.00,46.21,2273500,45.22
2013-05-28,45.62,46.65,45.26,45.93,2401300,44.95
2013-05-20,46.82,47.20,44.49,45.37,2367400,44.07
2013-05-13,46.53,47.06,46.15,47.02,1644600,45.67
2013-05-06,45.28,46.83,45.02,46.79,2044400,45.45
2013-04-29,43.60,45.11,43.36,45.00,2255100,43.71
2013-04-22,42.62,43.97,41.88,43.30,3131700,42.06
2013-04-15,44.41,44.78,41.81,42.36,3089800,41.15
2013-04-10,44.28,45.40,44.04,44.59,2385800,43.31
