Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,41.61,42.45,41.61,42.45,5695100,42.45
2014-03-03,40.14,41.54,39.53,41.33,3666400,41.33
2014-02-24,40.10,40.80,39.79,40.60,3807000,40.60
2014-02-18,40.66,40.91,39.78,39.99,4093600,39.99
2014-02-10,39.81,40.97,39.51,40.78,5440300,40.54
2014-02-03,39.28,39.98,37.92,39.89,7274800,39.66
2014-01-27,39.88,40.17,38.96,39.48,4664900,39.25
2014-01-21,41.28,42.35,39.53,39.57,5162400,39.34
2014-01-13,42.01,42.82,40.94,41.01,6424000,40.77
2014-01-06,43.42,43.58,41.66,41.98,4633800,41.73
2013-12-30,43.90,43.99,42.79,43.19,2421800,42.94
2013-12-23,43.54,43.96,42.86,43.76,2437100,43.50
2013-12-16,40.44,43.94,40.35,43.36,6662600,43.10
2013-12-09,41.93,42.51,40.15,40.34,4428800,40.10
2013-12-02,40.33,42.10,40.19,41.94,3840700,41.69
2013-11-25,41.87,41.89,40.15,40.25,3132900,40.01
2013-11-18,40.21,41.87,39.87,41.86,5302600,41.61
2013-11-11,41.49,42.10,40.06,40.56,6558000,40.32
2013-11-04,41.01,42.14,40.76,41.44,5852300,41.01
2013-10-28,39.77,41.74,39.01,40.90,5926200,40.47
2013-10-21,38.34,39.96,38.25,39.93,4493600,39.51
2013-10-14,36.48,38.19,36.44,38.02,3164900,37.62
2013-10-07,36.44,37.20,36.01,36.59,3987400,36.21
2013-09-30,37.00,37.18,36.30,36.70,3289800,36.32
2013-09-23,37.07,37.18,36.38,37.12,3075000,36.73
2013-09-16,36.58,37.41,36.55,37.24,3519300,36.85
2013-09-09,35.82,36.40,35.63,36.22,2495500,35.84
2013-09-03,35.43,36.31,35.30,35.79,3341800,35.42
2013-08-26,36.20,36.23,34.21,35.21,5069300,34.84
2013-08-19,37.01,37.13,35.75,36.28,3010400,35.90
2013-08-12,38.24,38.81,36.88,37.25,3893800,36.67
2013-08-05,37.47,38.48,36.38,38.38,4490900,37.78
2013-07-29,36.53,37.57,35.98,37.57,3473600,36.98
2013-07-22,36.70,36.74,35.83,36.67,2805200,36.10
2013-07-15,36.33,36.80,35.52,36.68,3065200,36.11
2013-07-08,34.88,36.35,34.78,36.31,3043800,35.74
2013-07-01,34.11,35.16,34.11,34.88,2775400,34.34
2013-06-24,32.75,34.22,32.60,33.91,3384600,33.38
2013-06-17,33.23,34.11,32.60,33.09,3896400,32.57
2013-06-10,33.03,33.69,32.60,33.08,3035800,32.56
2013-06-03,32.31,33.27,31.90,32.91,3248900,32.40
2013-05-28,34.17,34.31,32.23,32.23,3883800,31.73
2013-05-20,34.95,35.01,33.58,33.88,3788900,33.35
2013-05-13,34.05,35.04,33.14,35.00,4773900,34.45
2013-05-06,34.11,34.49,33.70,34.06,3406200,33.34
2013-04-29,33.55,34.24,32.73,34.20,5023300,33.48
2013-04-22,32.16,33.87,31.90,33.47,4195500,32.76
2013-04-15,32.48,32.60,31.50,32.18,5355800,31.50
2013-04-10,32.79,33.22,32.45,32.64,4258300,31.95
