Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,78.59,78.72,77.77,78.21,1696600,77.73
2014-03-03,77.05,78.93,76.33,78.56,1789600,78.08
2014-02-24,76.31,78.47,76.20,77.78,1987100,77.30
2014-02-18,76.45,76.99,75.76,76.20,1649100,75.73
2014-02-10,75.48,76.49,73.83,76.27,2458500,75.80
2014-02-03,76.61,77.92,71.91,74.89,2800700,74.43
2014-01-27,76.35,77.64,75.94,76.60,1638500,76.13
2014-01-21,80.42,82.50,76.96,76.97,1573500,76.50
2014-01-13,80.28,80.64,78.84,79.97,1902200,79.48
2014-01-06,80.61,83.00,79.39,80.35,1540000,79.85
2013-12-30,80.82,81.55,79.38,80.73,1434300,80.23
2013-12-23,80.31,81.14,79.60,80.72,906000,80.22
2013-12-16,77.53,80.24,76.62,79.97,2392100,79.48
2013-12-09,79.70,79.77,76.98,77.02,2384600,76.55
2013-12-02,79.95,80.82,78.40,79.66,2033100,78.69
2013-11-25,80.00,83.82,79.80,80.02,1476200,79.04
2013-11-18,77.36,80.44,77.14,80.01,2978500,79.03
2013-11-11,75.83,77.43,75.24,77.33,1990800,76.38
2013-11-04,75.72,76.41,74.74,76.01,1382600,75.08
2013-10-28,75.32,76.66,73.77,75.31,2016000,74.39
2013-10-21,73.99,75.75,73.89,75.51,1254900,74.59
2013-10-14,72.36,74.50,72.14,74.19,1545500,73.28
2013-10-07,70.89,72.53,69.91,72.51,1255500,71.62
2013-09-30,72.31,72.58,70.89,71.52,1515800,70.64
2013-09-23,74.20,74.62,71.61,72.56,1745000,71.67
2013-09-16,74.85,74.95,73.75,74.43,1994400,73.52
2013-09-09,73.14,74.51,73.14,74.09,2228200,73.18
2013-09-03,71.98,73.28,69.76,73.13,1742800,71.81
2013-08-26,69.89,72.48,69.89,71.16,1448700,69.87
2013-08-19,71.61,72.64,71.61,72.28,1262200,70.97
2013-08-12,72.01,73.08,71.35,71.89,1701500,70.59
2013-08-05,71.53,72.65,71.10,72.46,1559800,71.15
2013-07-29,72.16,72.78,70.11,71.58,1752700,70.29
2013-07-22,73.79,73.83,71.66,72.48,1485800,71.17
2013-07-15,73.25,73.32,72.07,72.88,1764400,71.56
2013-07-08,70.88,73.44,70.77,73.41,1918900,72.08
2013-07-01,68.83,71.17,68.75,70.75,1723700,69.47
2013-06-24,68.42,69.92,68.11,68.86,1866200,67.62
2013-06-17,68.56,69.98,67.99,68.68,2114000,67.44
2013-06-10,68.96,69.10,67.16,68.01,1429900,66.78
2013-06-03,68.66,69.87,67.28,68.91,1991400,67.23
2013-05-28,70.50,71.06,68.59,68.72,1984900,67.05
2013-05-20,72.00,72.00,69.29,69.85,2081500,68.15
2013-05-13,69.78,72.00,69.74,71.99,1980800,70.24
2013-05-06,69.16,70.27,68.41,70.03,2091800,68.33
2013-04-29,66.55,69.28,66.40,69.23,1538300,67.55
2013-04-22,65.21,66.98,64.71,66.59,1264400,64.97
2013-04-15,65.80,65.90,63.98,65.23,1988200,63.64
2013-04-10,64.44,66.21,64.29,65.91,1367000,64.31
