Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,53.61,53.65,52.57,52.59,1839300,52.59
2014-03-03,51.32,53.94,50.59,53.61,3210900,53.61
2014-02-24,55.40,58.68,51.89,52.48,5818300,52.48
2014-02-18,54.17,55.55,53.60,55.40,2360600,55.40
2014-02-10,51.84,54.97,51.75,54.17,2736300,54.17
2014-02-03,51.01,52.19,48.93,51.99,2505700,51.99
2014-01-27,50.63,51.90,49.33,51.25,2878000,51.25
2014-01-21,53.42,54.18,50.25,50.44,3275000,50.44
2014-01-13,52.00,53.73,51.29,53.24,3041100,53.24
2014-01-06,48.98,51.68,48.29,51.47,2361100,51.47
2013-12-30,49.60,50.50,48.78,48.90,1833600,48.90
2013-12-23,49.31,49.90,49.07,49.54,1353100,49.54
2013-12-16,47.71,49.22,46.60,49.19,2851500,49.19
2013-12-09,45.80,48.39,45.25,47.74,3305300,47.74
2013-12-02,45.27,46.57,44.95,46.42,2252900,46.42
2013-11-25,45.55,45.74,44.93,45.25,2410400,45.25
2013-11-18,44.14,45.95,42.16,45.86,4044300,45.86
2013-11-11,42.71,45.03,42.44,44.11,2770900,44.11
2013-11-04,41.85,43.17,41.06,42.76,2971500,42.76
2013-10-28,39.80,41.94,39.46,41.89,2838200,41.89
2013-10-21,40.36,40.62,39.24,39.87,1846200,39.87
2013-10-14,40.60,41.33,39.85,40.28,2988000,40.28
2013-10-07,41.93,42.18,39.36,41.05,3296000,41.05
2013-09-30,41.21,42.82,40.17,42.49,7428800,42.49
2013-09-23,40.57,42.41,40.23,41.79,3838600,41.79
2013-09-16,38.55,41.19,38.55,41.00,3869200,41.00
2013-09-09,37.18,38.44,37.14,38.18,2217600,38.18
2013-09-03,37.11,37.71,36.68,37.14,2843300,37.14
2013-08-26,38.59,39.24,36.56,36.75,3736400,36.75
2013-08-19,35.96,41.72,35.05,38.91,5065700,38.91
2013-08-12,35.68,36.81,35.53,35.94,2278700,35.94
2013-08-05,34.95,36.00,34.31,35.85,2169200,35.85
2013-07-29,36.40,36.72,34.16,35.03,3971100,35.03
2013-07-22,36.40,37.22,35.95,36.51,1593400,36.51
2013-07-15,36.22,36.91,35.70,36.49,1918400,36.49
2013-07-08,34.30,36.40,33.98,36.01,2489600,36.01
2013-07-01,34.01,34.32,33.22,34.16,2339000,34.16
2013-06-24,33.97,35.26,33.01,33.94,2806800,33.94
2013-06-17,34.90,36.40,33.59,34.21,2945000,34.21
2013-06-10,36.65,36.79,34.50,35.09,3145000,35.09
2013-06-03,37.95,38.07,35.60,36.65,2297800,36.65
2013-05-28,36.51,38.36,36.33,37.73,2568900,37.73
2013-05-20,37.14,37.94,35.74,36.08,3263500,36.08
2013-05-13,39.64,40.27,34.40,37.11,5796000,37.11
2013-05-06,39.39,40.22,39.16,39.75,2075500,39.75
2013-04-29,37.36,39.69,37.25,39.52,2667600,39.52
2013-04-22,36.16,38.15,35.62,37.31,2063800,37.31
2013-04-15,38.11,38.21,35.51,36.12,2627400,36.12
2013-04-10,38.47,39.87,38.01,38.36,2161400,38.36
