Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,30.57,30.69,29.85,29.98,5923500,29.98
2014-03-03,30.45,31.58,30.12,30.85,2627300,30.85
2014-02-24,30.68,31.78,30.44,30.71,4390400,30.71
2014-02-18,31.56,31.97,30.49,30.57,4165900,30.57
2014-02-10,31.19,32.27,30.39,31.61,4864800,31.61
2014-02-03,30.05,31.60,28.65,31.53,8265800,31.53
2014-01-27,39.22,39.22,29.56,30.04,12473800,30.04
2014-01-21,39.89,40.44,38.76,38.78,3538600,38.58
2014-01-13,39.09,40.07,38.10,39.66,3078800,39.46
2014-01-06,39.67,40.49,38.99,39.08,2710800,38.88
2013-12-30,41.15,41.39,39.38,39.50,2635400,39.30
2013-12-23,39.78,41.26,39.72,41.15,1796600,40.94
2013-12-16,38.99,40.43,38.94,39.69,3147300,39.49
2013-12-09,40.53,40.94,38.40,38.80,3475400,38.60
2013-12-02,40.77,41.63,39.82,40.52,2830500,40.31
2013-11-25,42.34,42.37,39.71,40.56,7202200,40.35
2013-11-18,43.12,46.05,42.57,44.01,4193400,43.78
2013-11-11,42.58,43.62,42.23,43.25,1925400,43.03
2013-11-04,43.53,43.83,42.14,42.40,1868400,42.18
2013-10-28,42.07,44.00,41.66,43.46,2721300,43.24
2013-10-21,40.94,42.32,40.50,42.17,2361300,41.95
2013-10-14,39.24,41.20,38.37,40.99,3146400,40.78
2013-10-07,39.63,40.46,38.83,39.34,2473600,39.14
2013-09-30,41.04,41.15,39.64,40.06,2153300,39.85
2013-09-23,42.32,43.02,41.15,41.26,2424900,41.05
2013-09-16,40.55,42.79,40.47,42.32,3546100,42.10
2013-09-09,39.63,40.73,39.38,40.03,1534800,39.82
2013-09-03,40.00,40.23,38.91,39.48,3080600,39.28
2013-08-26,41.24,41.45,39.71,39.83,1679600,39.62
2013-08-19,40.93,41.62,40.62,41.25,1818400,41.04
2013-08-12,41.08,41.41,39.95,41.06,2049000,40.85
2013-08-05,40.50,41.56,39.92,41.20,2242900,40.99
2013-07-29,40.92,44.00,39.60,40.60,4747400,40.39
2013-07-22,42.18,42.65,40.94,41.16,1463400,40.82
2013-07-15,43.20,44.56,42.04,42.17,2088500,41.83
2013-07-08,39.84,43.06,39.70,43.02,4009500,42.67
2013-07-01,39.99,40.76,39.20,39.61,2518300,39.29
2013-06-24,39.09,41.28,38.63,39.85,2910400,39.52
2013-06-17,39.54,41.40,39.06,39.37,3455700,39.05
2013-06-10,40.18,40.23,38.09,39.41,4736200,39.09
2013-06-03,40.98,41.70,39.43,40.21,4025200,39.88
2013-05-28,42.73,42.80,40.56,40.59,2961200,40.26
2013-05-20,42.75,43.00,40.76,42.33,3028900,41.98
2013-05-13,44.01,44.11,41.78,43.30,2695000,42.95
2013-05-06,43.76,45.04,43.36,44.13,2360600,43.77
2013-04-29,44.07,44.80,40.19,43.50,4529800,43.14
2013-04-22,43.78,44.61,43.06,43.91,1634200,43.55
2013-04-15,45.94,45.96,42.75,43.84,2921100,43.36
2013-04-10,45.35,46.05,43.86,45.98,4400400,45.47
