Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,39.46,39.76,39.41,39.65,1649400,39.65
2014-03-03,40.33,40.99,39.59,39.89,2035100,39.49
2014-02-24,40.98,41.56,40.03,40.41,1909600,40.00
2014-02-18,38.74,42.24,38.16,40.88,2782100,40.47
2014-02-10,37.34,38.65,37.00,38.63,1086100,38.24
2014-02-03,37.85,38.34,36.74,37.44,2369300,37.06
2014-01-27,35.99,37.94,35.88,37.84,1739400,37.46
2014-01-21,36.32,36.84,35.91,35.91,1451000,35.55
2014-01-13,36.44,36.57,35.89,36.15,1203600,35.79
2014-01-06,35.70,36.66,35.42,36.52,1888500,36.15
2013-12-30,35.92,36.33,35.22,35.40,1131000,35.05
2013-12-23,36.28,36.44,35.67,36.00,878100,35.64
2013-12-16,35.07,36.43,34.84,36.15,2157300,35.79
2013-12-09,36.04,36.16,34.71,35.02,1967900,34.67
2013-12-02,35.93,36.64,35.56,36.44,1667500,35.68
2013-11-25,36.79,36.88,35.78,35.85,969300,35.10
2013-11-18,36.95,37.31,36.43,36.67,1640900,35.90
2013-11-11,36.40,36.96,35.26,36.95,1337300,36.18
2013-11-04,36.55,36.85,35.52,36.41,1104400,35.65
2013-10-28,36.50,36.78,35.46,36.48,1203700,35.72
2013-10-21,35.87,36.53,35.50,36.48,1665000,35.72
2013-10-14,35.60,36.07,34.82,35.88,1696500,35.13
2013-10-07,34.42,35.66,34.18,35.54,1229700,34.80
2013-09-30,34.87,35.13,34.31,34.54,1309400,33.82
2013-09-23,34.53,35.97,34.43,35.01,2455100,34.28
2013-09-16,33.36,35.43,33.16,34.60,2548300,33.88
2013-09-09,32.86,33.39,32.61,32.86,1209000,32.17
2013-09-03,34.05,34.27,32.75,33.15,1770700,32.07
2013-08-26,33.82,33.99,33.36,33.81,1816200,32.70
2013-08-19,33.60,34.02,33.24,33.86,1111400,32.75
2013-08-12,35.27,35.38,33.47,33.63,1098600,32.53
2013-08-05,36.51,36.61,35.37,35.41,1548000,34.25
2013-07-29,35.87,36.70,35.60,36.67,1275200,35.47
2013-07-22,36.08,36.25,35.43,35.95,1305100,34.77
2013-07-15,35.43,36.45,35.32,36.10,1327100,34.92
2013-07-08,33.88,35.54,33.88,35.49,1406000,34.33
2013-07-01,34.44,34.52,33.15,33.66,1209600,32.56
2013-06-24,32.87,34.67,32.46,34.44,1690200,33.31
2013-06-17,34.28,34.63,32.34,33.17,1718700,32.09
2013-06-10,34.54,34.62,33.13,34.10,1596200,32.98
2013-06-03,34.11,34.99,33.53,34.91,3444900,33.38
2013-05-28,34.67,34.93,33.41,34.04,2261300,32.55
2013-05-20,36.28,36.48,34.45,34.53,1271600,33.02
2013-05-13,35.51,36.55,35.30,36.28,1605600,34.69
2013-05-06,36.50,36.55,35.03,35.52,1676100,33.96
2013-04-29,36.11,36.74,35.47,36.55,1483500,34.95
2013-04-22,35.78,36.35,35.37,36.00,1275800,34.42
2013-04-15,35.28,35.85,34.26,35.82,1725400,34.25
2013-04-10,35.00,35.49,34.95,35.49,1089700,33.94
