Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,14.03,14.03,13.84,13.84,5844300,13.84
2014-03-03,13.58,14.14,13.55,14.05,6051200,14.05
2014-02-24,14.62,14.68,13.57,13.65,8587200,13.65
2014-02-18,14.65,14.94,14.36,14.63,5340900,14.63
2014-02-10,14.02,14.62,13.82,14.62,3840800,14.62
2014-02-03,14.06,14.22,13.58,14.06,4034500,14.06
2014-01-27,13.72,14.10,13.42,14.06,6379000,14.06
2014-01-21,14.46,14.59,13.54,13.72,6405500,13.67
2014-01-13,14.45,14.51,14.18,14.30,4405800,14.25
2014-01-06,14.34,14.80,14.13,14.53,6564700,14.48
2013-12-30,14.48,14.56,14.11,14.20,3638600,14.15
2013-12-23,14.37,14.64,14.23,14.45,3015500,14.40
2013-12-16,13.82,14.41,13.75,14.32,7965300,14.27
2013-12-09,15.04,15.06,13.49,13.68,13426900,13.63
2013-12-02,14.57,15.54,14.35,15.02,8686400,14.97
2013-11-25,14.67,14.73,14.28,14.57,3234500,14.52
2013-11-18,15.28,15.30,14.55,14.62,5064300,14.57
2013-11-11,14.19,15.30,14.15,15.28,7654500,15.22
2013-11-04,14.05,14.36,13.61,14.21,5630200,14.16
2013-10-28,14.31,14.49,13.92,13.99,3878900,13.94
2013-10-21,14.19,14.42,13.97,14.31,3665900,14.22
2013-10-14,13.63,14.32,13.46,14.21,3939500,14.12
2013-10-07,13.29,13.73,13.19,13.69,3403100,13.60
2013-09-30,13.39,13.47,13.16,13.38,2957500,13.29
2013-09-23,13.31,13.66,13.28,13.47,3750000,13.38
2013-09-16,13.40,13.77,13.21,13.38,4422600,13.29
2013-09-09,13.10,13.58,13.08,13.27,4288600,13.18
2013-09-03,12.87,13.36,12.55,13.09,4674000,13.01
2013-08-26,12.93,13.06,12.65,12.71,3806600,12.63
2013-08-19,12.59,12.97,12.38,12.91,3457500,12.83
2013-08-12,13.06,13.12,12.55,12.66,3556500,12.58
2013-08-05,12.57,13.38,12.53,13.09,4826300,13.01
2013-07-29,12.47,12.70,12.24,12.66,3462400,12.58
2013-07-22,12.82,12.87,12.25,12.48,2762600,12.36
2013-07-15,12.60,12.90,12.58,12.83,3531200,12.71
2013-07-08,11.89,12.62,11.88,12.60,4783400,12.48
2013-07-01,12.11,12.11,11.62,11.86,4460700,11.75
2013-06-24,11.38,12.11,11.24,11.99,6342200,11.87
2013-06-17,12.42,12.48,11.17,11.48,6741400,11.37
2013-06-10,12.51,12.55,12.06,12.36,3552700,12.24
2013-06-03,12.21,12.61,12.02,12.51,5821700,12.39
2013-05-28,12.75,12.77,12.07,12.20,6111300,12.08
2013-05-20,12.98,13.24,12.55,12.66,5847200,12.54
2013-05-13,13.24,13.28,12.78,12.99,7100400,12.86
2013-05-06,13.81,14.00,12.72,13.31,6499900,13.18
2013-04-29,13.50,13.98,13.45,13.82,6037000,13.69
2013-04-22,12.88,13.60,12.70,13.47,5612500,13.30
2013-04-15,13.07,13.20,12.47,12.87,6151600,12.71
2013-04-10,12.73,13.10,12.67,13.10,4683400,12.94
