Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,65.62,65.88,65.20,65.54,1094000,65.54
2014-03-03,63.37,66.01,63.00,65.61,1681400,65.61
2014-02-24,62.26,64.48,62.15,64.08,1850900,64.08
2014-02-18,63.09,63.65,62.13,62.32,1719100,62.32
2014-02-10,62.51,63.25,61.79,63.13,1724900,63.13
2014-02-03,62.86,62.92,60.45,62.68,2534700,62.31
2014-01-27,62.18,63.35,61.34,62.78,2176400,62.41
2014-01-21,64.92,65.28,62.29,62.29,2192000,61.92
2014-01-13,64.83,65.47,64.00,64.71,2002000,64.33
2014-01-06,66.20,66.28,64.09,65.17,2406400,64.78
2013-12-30,67.25,67.62,65.81,66.15,1588600,65.76
2013-12-23,66.09,67.43,65.99,67.25,1356500,66.85
2013-12-16,66.18,66.68,65.47,65.65,2557900,65.26
2013-12-09,66.58,66.81,65.54,65.96,1780400,65.57
2013-12-02,66.35,67.23,65.13,66.64,1851600,66.24
2013-11-25,66.50,66.96,66.11,66.37,1203700,65.98
2013-11-18,67.19,67.47,66.03,66.57,1715600,66.18
2013-11-11,65.57,67.52,64.99,67.48,2021800,66.71
2013-11-04,65.01,65.82,64.22,65.75,2314700,65.00
2013-10-28,66.24,67.00,64.01,65.10,3054800,64.36
2013-10-21,65.46,66.51,65.06,66.30,1605800,65.55
2013-10-14,64.05,66.18,63.61,65.78,2118200,65.03
2013-10-07,63.17,64.50,61.96,64.48,1573500,63.75
2013-09-30,61.52,63.94,61.29,63.73,1921300,63.00
2013-09-23,62.01,62.65,61.76,62.21,1811500,61.50
2013-09-16,62.02,63.00,61.67,62.32,2370200,61.61
2013-09-09,58.52,61.18,58.38,61.04,1836800,60.35
2013-09-03,58.52,59.38,57.62,58.38,1392100,57.72
2013-08-26,59.88,60.05,57.36,57.79,1628900,57.13
2013-08-19,60.00,60.22,58.98,59.83,1512100,59.15
2013-08-12,60.98,62.05,60.11,60.54,1977400,59.51
2013-08-05,62.38,62.51,61.00,61.52,1859300,60.47
2013-07-29,61.07,63.63,60.02,62.26,2394200,61.20
2013-07-22,59.41,61.29,58.89,61.09,2669600,60.05
2013-07-15,59.06,59.63,58.52,59.39,2137200,58.37
2013-07-08,57.39,59.38,57.38,59.14,1880500,58.13
2013-07-01,58.53,58.63,56.08,57.16,2142100,56.18
2013-06-24,56.19,58.54,55.20,58.12,2352300,57.13
2013-06-17,57.87,58.75,56.37,56.66,3027700,55.69
2013-06-10,57.20,58.46,56.01,57.51,2909100,56.53
2013-06-03,55.84,57.24,54.77,57.03,3046800,56.06
2013-05-28,55.64,56.96,54.53,55.69,2374000,54.74
2013-05-20,54.77,56.77,54.02,54.95,3228500,54.01
2013-05-13,53.95,55.30,53.51,55.24,3018900,53.95
2013-05-06,55.36,56.04,53.57,53.95,3006100,52.69
2013-04-29,53.34,55.90,53.20,55.36,2796600,54.07
2013-04-22,49.48,53.31,48.95,53.20,3924000,51.96
2013-04-15,49.92,50.27,48.56,49.39,3061400,48.24
2013-04-10,49.87,50.38,49.44,50.11,2744200,48.94
