Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,127.75,129.40,127.25,129.25,1702200,129.25
2014-03-03,126.01,129.69,125.24,127.99,1996600,127.99
2014-02-24,123.85,129.48,123.41,127.00,2493400,127.00
2014-02-18,123.69,127.98,123.07,125.07,2305100,125.02
2014-02-10,118.75,125.44,118.49,124.57,2908300,124.52
2014-02-03,115.00,118.88,110.62,118.84,2551300,118.79
2014-01-27,115.25,116.07,112.44,114.60,2081600,114.55
2014-01-21,120.90,121.53,114.16,114.87,3270700,114.82
2014-01-13,114.46,123.83,113.82,120.15,3394100,120.10
2014-01-06,112.16,116.04,110.53,115.19,1908600,115.14
2013-12-30,110.73,112.16,109.52,112.06,1739800,112.02
2013-12-23,107.94,110.88,106.26,110.85,1678600,110.81
2013-12-16,97.25,109.89,97.25,107.73,4395500,107.69
2013-12-09,98.45,98.52,95.47,96.57,1354000,96.53
2013-12-02,96.88,98.59,94.98,98.20,1549500,98.16
2013-11-25,98.53,98.79,96.71,97.05,1150600,97.01
2013-11-18,96.50,99.35,95.56,98.57,2319700,98.53
2013-11-11,90.00,96.62,89.63,96.41,2259600,96.32
2013-11-04,90.83,90.90,88.34,89.95,2386800,89.87
2013-10-28,92.79,94.21,90.02,90.49,2517700,90.41
2013-10-21,90.90,93.00,90.15,92.82,1876900,92.73
2013-10-14,89.50,90.75,89.29,90.74,2396300,90.66
2013-10-07,90.09,90.61,88.36,89.96,1980700,89.88
2013-09-30,90.71,91.25,89.95,90.66,1661200,90.58
2013-09-23,92.64,92.69,90.77,91.04,2312700,90.96
2013-09-16,89.82,93.09,87.88,92.63,2401600,92.55
2013-09-09,89.35,89.85,86.95,88.77,1992000,88.69
2013-09-03,89.38,90.25,88.10,89.21,1463700,89.13
2013-08-26,89.50,90.40,87.51,88.38,1191600,88.30
2013-08-19,87.64,93.25,87.64,89.54,1722600,89.46
2013-08-12,90.74,91.86,87.08,87.93,1685500,87.80
2013-08-05,91.50,92.97,90.29,91.10,1458900,90.97
2013-07-29,92.07,93.10,90.08,91.77,2620500,91.63
2013-07-22,91.88,92.35,90.09,92.26,1514700,92.12
2013-07-15,90.86,92.83,89.40,91.97,1986700,91.83
2013-07-08,84.84,91.83,84.84,90.51,2849300,90.38
2013-07-01,85.33,85.33,82.56,84.35,2359700,84.23
2013-06-24,87.57,88.24,81.33,84.24,7474800,84.12
2013-06-17,101.48,102.94,90.85,92.70,4106800,92.56
2013-06-10,99.85,102.10,98.62,101.14,1512400,100.99
2013-06-03,99.50,100.74,96.81,99.75,1899000,99.60
2013-05-28,99.51,102.33,98.55,99.49,2474300,99.34
2013-05-20,101.40,101.40,96.76,98.02,3075500,97.88
2013-05-13,103.91,104.80,99.62,101.41,2212100,101.21
2013-05-06,105.11,105.30,102.83,104.18,1885100,103.97
2013-04-29,112.48,114.91,96.77,104.77,6055100,104.56
2013-04-22,113.90,115.25,110.60,111.98,1222200,111.76
2013-04-15,115.74,116.04,111.83,113.74,1148400,113.51
2013-04-10,114.13,116.45,113.57,116.02,754700,115.79
