Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,51.26,51.31,50.62,51.02,6972500,51.02
2014-03-03,49.13,51.86,49.00,51.25,9558300,51.25
2014-02-24,49.10,50.20,48.28,49.77,10767700,49.65
2014-02-18,49.15,50.43,48.91,48.98,11437900,48.86
2014-02-10,49.02,49.74,48.00,48.98,13119700,48.86
2014-02-03,48.00,49.05,46.80,49.01,9818000,48.89
2014-01-27,48.02,49.13,46.81,47.96,12202300,47.84
2014-01-21,51.17,51.42,47.85,47.86,10203900,47.74
2014-01-13,52.07,52.47,50.80,50.89,6836600,50.77
2014-01-06,51.55,52.29,50.48,52.11,9112700,51.98
2013-12-30,51.10,51.34,50.47,50.92,6397300,50.80
2013-12-23,51.42,51.47,50.90,51.18,4057300,51.06
2013-12-16,50.86,51.11,49.00,51.03,13170100,50.91
2013-12-09,49.69,50.21,48.42,49.73,9545200,49.61
2013-12-02,49.77,50.25,48.03,49.55,9576100,49.43
2013-11-25,49.59,50.40,49.11,49.75,6249700,49.53
2013-11-18,49.47,49.67,48.03,49.59,8768800,49.37
2013-11-11,48.46,49.59,47.90,49.30,10151900,49.08
2013-11-04,48.47,49.17,47.11,48.54,16874200,48.32
2013-10-28,51.83,52.50,48.02,48.28,17516900,48.07
2013-10-21,52.48,53.33,51.34,51.85,7480800,51.62
2013-10-14,49.63,52.40,49.57,52.30,7740800,52.07
2013-10-07,49.04,50.00,47.18,50.00,8563500,49.78
2013-09-30,48.61,49.55,48.32,49.53,6943600,49.31
2013-09-23,49.60,49.93,48.92,49.15,7529400,48.93
2013-09-16,50.16,50.99,49.33,49.95,9808700,49.73
2013-09-09,48.36,49.93,48.35,49.70,8647300,49.48
2013-09-03,47.10,48.94,47.04,48.18,10643800,47.87
2013-08-26,47.36,47.93,45.94,46.46,7434900,46.16
2013-08-19,47.02,47.67,46.01,47.39,8633600,47.08
2013-08-12,47.78,48.48,46.81,47.10,8204500,46.80
2013-08-05,48.29,48.99,47.55,48.03,11790600,47.72
2013-07-29,46.42,49.50,45.50,48.33,18427200,48.02
2013-07-22,46.94,47.68,45.64,46.54,8469800,46.24
2013-07-15,46.99,47.09,46.02,46.88,9338900,46.58
2013-07-08,45.47,46.83,45.31,46.74,12736100,46.44
2013-07-01,44.82,45.56,44.17,45.19,11757500,44.90
2013-06-24,43.01,45.11,41.53,44.70,22898800,44.41
2013-06-17,45.51,45.85,43.33,43.69,18722700,43.41
2013-06-10,45.43,46.45,44.23,45.38,14740000,45.09
2013-06-03,44.68,45.50,43.23,45.28,18057100,44.99
2013-05-28,45.60,46.46,44.45,44.46,19373800,44.17
2013-05-20,45.17,45.74,43.25,44.69,13794000,44.40
2013-05-13,44.81,46.45,44.15,45.23,14648900,44.94
2013-05-06,44.65,45.85,43.66,44.18,16650200,43.89
2013-04-29,41.29,44.90,40.37,44.52,22227300,44.23
2013-04-22,38.88,42.66,38.19,40.87,22472000,40.61
2013-04-15,39.80,40.06,38.05,38.88,13516800,38.63
2013-04-10,39.73,40.68,39.45,40.13,13235600,39.87
