Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,30.62,30.62,30.24,30.39,1004200,30.39
2014-03-03,29.68,31.28,29.68,30.64,1731500,30.64
2014-02-24,29.55,30.05,29.46,29.89,1442000,29.89
2014-02-18,29.75,30.03,29.07,29.47,2120800,29.47
2014-02-10,29.57,30.76,29.49,29.74,2546800,29.74
2014-02-03,28.00,29.58,27.60,29.52,2338000,29.27
2014-01-27,26.75,28.10,26.45,27.97,1913000,27.73
2014-01-21,27.21,27.44,26.71,26.73,1089400,26.50
2014-01-13,26.33,27.22,26.25,27.13,1397200,26.90
2014-01-06,25.89,26.59,25.52,26.41,1613800,26.18
2013-12-30,26.07,26.22,25.66,25.91,858300,25.69
2013-12-23,25.97,26.16,25.64,26.06,621100,25.84
2013-12-16,25.75,26.11,25.07,25.89,1529600,25.67
2013-12-09,25.79,26.38,25.24,25.67,1244100,25.45
2013-12-02,25.01,26.30,24.78,25.85,1640000,25.63
2013-11-25,25.64,25.67,24.97,25.11,925400,24.89
2013-11-18,26.19,26.38,25.39,25.60,799400,25.38
2013-11-11,26.59,26.79,26.06,26.24,792500,26.01
2013-11-04,27.76,27.98,25.92,26.50,1343400,26.03
2013-10-28,29.40,29.40,26.66,27.65,1183100,27.16
2013-10-21,29.38,29.62,28.77,29.37,943200,28.85
2013-10-14,28.61,29.57,28.21,29.34,844700,28.82
2013-10-07,27.60,28.71,27.37,28.70,853500,28.19
2013-09-30,28.10,28.64,27.43,27.76,1117100,27.27
2013-09-23,28.90,29.09,27.89,28.19,707000,27.69
2013-09-16,29.03,30.25,28.22,29.01,856300,28.50
2013-09-09,27.83,28.64,27.69,28.56,745200,28.06
2013-09-03,27.76,28.00,26.95,27.72,771300,27.23
2013-08-26,28.42,28.52,27.46,27.53,860100,27.04
2013-08-19,27.64,28.45,27.26,28.43,1182800,27.93
2013-08-12,29.06,29.06,27.62,27.64,1056200,27.15
2013-08-05,29.00,29.50,28.71,29.21,734100,28.46
2013-07-29,30.66,30.77,28.96,29.01,1217200,28.26
2013-07-22,30.78,31.31,30.15,30.75,822700,29.96
2013-07-15,30.86,31.76,30.50,30.77,1017600,29.98
2013-07-08,29.90,31.26,29.83,30.89,1016300,30.09
2013-07-01,30.31,30.53,29.11,29.90,1092700,29.13
2013-06-24,27.62,30.29,27.31,30.04,1544700,29.26
2013-06-17,29.09,29.28,27.44,27.89,1651900,27.17
2013-06-10,29.82,29.89,28.12,28.93,2738400,28.18
2013-06-03,30.41,31.17,29.59,29.79,1712500,29.02
2013-05-28,31.93,32.04,30.05,30.26,1828300,29.48
2013-05-20,33.02,33.44,31.41,31.61,1125600,30.79
2013-05-13,31.88,33.25,31.79,33.08,1123000,32.23
2013-05-06,30.49,31.98,30.46,31.89,1060400,30.84
2013-04-29,30.84,31.39,30.09,30.46,1333200,29.46
2013-04-22,31.18,31.28,30.69,30.74,694300,29.73
2013-04-15,31.60,31.88,30.67,31.12,1351600,30.09
2013-04-10,31.69,31.91,31.45,31.64,934800,30.60
