Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,67.69,69.12,67.55,68.70,946200,68.70
2014-03-03,64.90,68.29,64.79,67.94,606700,67.94
2014-02-24,63.69,65.81,63.33,65.63,735200,65.63
2014-02-18,64.17,65.36,62.93,63.64,546600,63.64
2014-02-10,64.31,64.56,62.54,64.05,631400,63.80
2014-02-03,65.43,65.93,59.17,64.37,1112900,64.12
2014-01-27,64.29,66.01,64.05,65.35,704800,65.09
2014-01-21,67.85,68.38,64.12,64.14,528200,63.89
2014-01-13,67.81,68.26,66.55,67.65,454100,67.38
2014-01-06,66.18,68.95,65.88,67.74,877000,67.47
2013-12-30,66.10,66.69,65.15,65.72,367800,65.46
2013-12-23,66.13,66.73,65.50,66.08,301900,65.82
2013-12-16,64.69,66.24,63.60,65.74,731000,65.48
2013-12-09,65.05,65.72,63.68,64.25,642700,64.00
2013-12-02,64.96,66.24,63.08,65.33,875600,65.07
2013-11-25,64.14,65.38,63.66,64.94,472200,64.69
2013-11-18,63.86,64.14,60.46,64.04,536600,63.54
2013-11-11,59.89,61.75,59.42,61.35,399400,60.87
2013-11-04,58.79,59.87,58.27,59.84,478800,59.38
2013-10-28,57.77,59.21,57.66,58.60,583800,58.14
2013-10-21,59.39,60.26,56.77,57.75,661900,57.30
2013-10-14,57.49,59.62,57.28,59.33,530700,58.87
2013-10-07,54.85,58.01,54.58,57.69,662500,57.24
2013-09-30,53.81,55.26,53.52,55.25,479600,54.82
2013-09-23,53.81,55.25,53.45,54.30,561200,53.88
2013-09-16,55.94,56.42,53.67,53.81,846900,53.39
2013-09-09,53.40,55.87,53.40,55.21,459500,54.78
2013-09-03,53.73,54.77,53.05,53.72,380200,53.30
2013-08-26,56.03,56.12,52.94,53.04,517300,52.63
2013-08-19,55.16,56.07,54.20,56.03,408600,55.59
2013-08-12,55.03,56.12,54.55,55.23,565200,54.55
2013-08-05,54.73,55.43,53.90,55.20,866300,54.52
2013-07-29,53.12,55.19,52.67,54.83,501500,54.16
2013-07-22,53.17,53.69,51.50,53.09,440300,52.44
2013-07-15,53.28,53.72,52.53,53.18,391600,52.53
2013-07-08,51.29,53.09,51.29,53.09,465500,52.44
2013-07-01,51.17,51.65,50.20,50.95,516700,50.32
2013-06-24,49.76,51.42,49.03,50.91,590900,50.28
2013-06-17,50.82,51.92,49.64,50.24,510100,49.62
2013-06-10,50.03,51.10,49.92,50.56,412300,49.94
2013-06-03,49.84,50.26,48.41,49.97,537900,49.36
2013-05-28,50.33,51.03,49.41,49.74,669900,49.13
2013-05-20,49.44,51.19,49.13,49.71,611000,49.10
2013-05-13,47.39,49.94,47.39,49.84,537900,48.98
2013-05-06,47.54,48.31,47.29,47.38,823400,46.56
2013-04-29,46.73,48.50,46.72,47.45,701600,46.63
2013-04-22,46.61,47.75,45.03,46.52,724100,45.72
2013-04-15,47.24,47.57,45.96,46.66,840700,45.86
2013-04-10,46.59,47.86,46.49,47.49,879100,46.67
