Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,55.68,55.81,55.37,55.80,1956900,55.80
2014-03-03,53.71,55.73,53.60,55.71,2783500,55.71
2014-02-24,53.59,54.80,53.25,54.26,2926000,54.26
2014-02-18,53.09,54.01,51.64,53.86,3756400,53.58
2014-02-10,52.62,53.06,51.50,52.96,3004000,52.68
2014-02-03,51.20,52.82,49.18,52.76,4214900,52.49
2014-01-27,50.62,52.37,50.35,51.20,3260100,50.93
2014-01-21,53.28,53.42,50.62,50.62,3095700,50.36
2014-01-13,53.94,54.18,52.85,52.90,2576700,52.62
2014-01-06,53.54,54.34,52.83,54.09,2413400,53.81
2013-12-30,53.68,54.60,53.11,53.33,1854300,53.05
2013-12-23,54.00,54.07,53.46,53.65,1423200,53.37
2013-12-16,53.19,54.05,51.75,53.77,3186200,53.49
2013-12-09,54.05,54.45,52.73,52.81,1860000,52.54
2013-12-02,54.28,54.46,53.03,54.32,2311700,54.04
2013-11-25,54.75,54.84,54.19,54.27,1567700,53.99
2013-11-18,54.70,54.75,53.58,54.71,1728400,54.18
2013-11-11,54.07,54.71,53.13,54.70,1813200,54.17
2013-11-04,53.50,54.16,52.78,54.12,1939200,53.59
2013-10-28,53.26,53.58,52.29,53.28,2944000,52.76
2013-10-21,53.97,54.57,52.77,53.35,2523800,52.83
2013-10-14,52.30,54.14,52.23,53.87,2258500,53.34
2013-10-07,51.86,52.52,50.21,52.52,2856100,52.01
2013-09-30,50.77,52.37,50.24,52.35,3699000,51.84
2013-09-23,51.78,52.49,50.97,51.07,3053900,50.57
2013-09-16,50.46,52.98,50.39,52.00,3486600,51.49
2013-09-09,48.45,50.72,48.45,50.06,2696500,49.57
2013-09-03,48.92,49.08,47.83,48.40,2825300,47.93
2013-08-26,49.18,49.19,47.32,47.92,2397500,47.45
2013-08-19,49.28,49.54,48.61,49.27,1984500,48.53
2013-08-12,50.38,50.76,49.07,49.39,2669000,48.65
2013-08-05,51.83,51.83,50.14,50.66,3467800,49.90
2013-07-29,51.57,52.61,50.75,52.15,2775600,51.37
2013-07-22,52.08,52.45,50.61,51.52,2494700,50.75
2013-07-15,51.21,52.38,50.65,52.10,2402100,51.32
2013-07-08,49.32,51.11,49.32,51.11,2965000,50.35
2013-07-01,48.30,49.21,48.04,49.13,2049900,48.40
2013-06-24,46.68,48.57,46.29,48.12,3632600,47.40
2013-06-17,47.09,47.99,46.47,47.23,4058700,46.52
2013-06-10,47.51,47.74,46.53,46.87,3542600,46.17
2013-06-03,48.24,48.37,45.60,47.46,4595300,46.75
2013-05-28,49.15,49.49,48.10,48.24,3183300,47.52
2013-05-20,49.99,50.18,48.03,48.73,4202600,47.76
2013-05-13,49.22,50.69,49.12,50.00,3267100,49.00
2013-05-06,48.57,49.70,48.55,49.39,3096400,48.40
2013-04-29,49.30,49.54,48.08,48.69,4146300,47.72
2013-04-22,48.96,49.98,48.50,49.09,3211900,48.11
2013-04-15,50.17,50.24,48.22,48.97,3320600,47.99
2013-04-10,49.86,50.56,49.57,50.35,3283500,49.34
