Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,53.20,53.67,52.24,53.29,1155300,53.21
2014-03-03,54.67,55.00,52.59,53.39,727600,53.31
2014-02-24,52.36,55.78,52.36,54.35,1200800,54.27
2014-02-18,49.72,52.79,49.03,52.37,2161700,52.29
2014-02-10,49.99,51.00,49.33,49.63,1040300,49.56
2014-02-03,49.35,50.27,47.15,49.94,1181000,49.87
2014-01-27,45.20,49.96,45.20,49.35,1099700,49.28
2014-01-21,49.38,49.38,45.83,46.84,1134400,46.77
2014-01-13,45.70,49.19,45.20,48.00,1820100,47.93
2014-01-06,43.97,46.08,42.16,45.73,1295600,45.66
2013-12-30,44.45,44.88,43.17,43.96,656700,43.90
2013-12-23,44.17,45.02,43.55,44.64,496200,44.57
2013-12-16,43.01,44.50,42.11,44.26,1609400,44.19
2013-12-09,40.70,43.80,40.24,43.25,2437000,43.19
2013-12-02,43.08,44.85,40.63,40.70,3838100,40.64
2013-11-25,44.28,45.62,42.50,43.24,214700,43.18
2013-11-18,49.75,50.00,43.11,43.99,117300,43.93
