Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,171.98,180.82,170.83,180.00,2597200,180.00
2014-03-03,174.77,177.51,163.77,168.05,1979200,168.05
2014-02-24,185.06,185.43,173.07,176.80,1165100,176.80
2014-02-18,182.85,184.73,176.00,181.52,1583700,181.52
2014-02-10,165.00,183.32,164.07,180.55,1976300,180.55
2014-02-03,158.39,164.29,150.70,163.63,1764300,163.63
2014-01-27,133.38,169.98,126.76,158.73,2666900,158.73
2014-01-21,141.29,142.98,133.48,133.64,1233400,133.64
2014-01-13,135.59,140.98,128.85,139.71,1263700,139.71
2014-01-06,131.66,135.53,127.70,135.21,1096100,135.21
2013-12-30,131.72,134.27,130.15,131.72,646200,131.72
2013-12-23,131.38,133.75,129.47,131.57,601200,131.57
2013-12-16,124.14,131.68,121.44,130.64,1617600,130.64
2013-12-09,127.14,128.09,120.87,123.69,1263200,123.69
2013-12-02,124.58,129.22,120.14,125.45,861500,125.45
2013-11-25,123.66,124.80,120.20,124.50,610600,124.50
2013-11-18,124.52,124.69,117.33,122.79,849900,122.79
2013-11-11,118.20,124.08,113.14,124.07,1130400,124.07
2013-11-04,123.76,124.73,113.92,117.43,1167100,117.43
2013-10-28,123.93,126.39,121.50,123.36,1185400,123.36
2013-10-21,108.45,125.26,100.89,125.17,1533600,125.17
2013-10-14,107.91,111.70,105.74,108.43,950600,108.43
2013-10-07,115.00,115.77,104.42,108.81,949500,108.81
2013-09-30,115.32,118.29,112.72,116.44,965200,116.44
2013-09-23,113.94,116.91,112.00,116.42,830800,116.42
2013-09-16,115.00,116.74,112.54,113.65,860700,113.65
2013-09-09,111.84,114.79,109.75,114.14,843300,114.14
2013-09-03,109.34,113.58,108.27,111.56,666000,111.56
2013-08-26,106.01,109.99,104.95,107.76,656300,107.76
2013-08-19,104.52,107.00,103.02,105.46,665400,105.46
2013-08-12,112.07,112.07,104.25,105.00,941500,105.00
2013-08-05,116.87,117.90,112.74,114.09,765200,114.09
2013-07-29,110.70,121.47,108.97,117.28,2236900,117.28
2013-07-22,113.50,113.88,105.32,112.50,1844200,112.50
2013-07-15,115.00,115.15,106.36,112.17,2556200,112.17
2013-07-08,97.00,125.65,93.72,114.26,3208300,114.26
2013-07-01,93.73,99.04,93.34,96.45,980700,96.45
2013-06-24,88.02,94.20,87.01,92.24,1471300,92.24
2013-06-17,93.13,95.85,87.36,88.49,2016200,88.49
2013-06-10,94.66,95.40,90.50,92.22,1050600,92.22
2013-06-03,97.89,98.44,89.56,94.38,1636300,94.38
2013-05-28,100.50,102.14,97.51,97.58,956900,97.58
2013-05-20,102.79,104.50,98.00,99.17,906200,99.17
2013-05-13,103.61,108.13,100.03,102.90,1416800,102.90
2013-05-06,98.25,104.21,95.73,104.14,1346300,104.14
2013-04-29,99.55,99.58,95.68,98.17,1281400,98.17
2013-04-22,92.61,99.79,88.86,99.34,2439000,99.34
2013-04-15,99.71,100.04,91.16,92.60,2026200,92.60
2013-04-10,98.48,100.78,98.30,100.10,1196900,100.10
