Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,19.71,19.71,19.27,19.38,11602700,19.38
2014-03-03,18.70,19.67,18.55,19.64,13647300,19.64
2014-02-24,19.25,19.41,18.75,18.96,13451300,18.96
2014-02-18,18.88,19.24,18.65,19.10,14417500,19.10
2014-02-10,17.20,19.09,17.11,18.96,20532500,18.96
2014-02-03,16.60,17.23,16.55,17.18,16059500,17.09
2014-01-27,17.13,17.21,16.40,16.82,12945300,16.73
2014-01-21,17.62,17.72,17.07,17.17,9856400,17.08
2014-01-13,17.39,18.08,17.25,17.55,9917100,17.46
2014-01-06,17.50,17.51,17.18,17.47,8588500,17.38
2013-12-30,17.43,17.70,17.37,17.51,5923600,17.42
2013-12-23,17.25,17.54,17.25,17.43,5552700,17.34
2013-12-16,16.80,17.26,16.62,17.19,11895200,17.10
2013-12-09,16.81,17.02,16.60,16.70,11897900,16.61
2013-12-02,17.27,17.27,16.41,16.83,13955900,16.74
2013-11-25,17.30,17.63,17.16,17.30,7886200,17.21
2013-11-18,17.38,17.52,16.75,17.25,11191000,17.16
2013-11-11,17.75,17.99,17.11,17.52,10993600,17.32
2013-11-04,17.78,17.94,17.27,17.75,10142100,17.55
2013-10-28,17.67,18.14,17.59,17.70,9240200,17.50
2013-10-21,18.10,18.10,17.32,17.70,10990100,17.50
2013-10-14,17.88,18.18,17.72,18.05,10994200,17.85
2013-10-07,17.34,18.09,17.15,18.00,13457100,17.80
2013-09-30,17.40,17.71,17.24,17.57,13814100,17.37
2013-09-23,15.87,17.94,15.83,17.60,33112600,17.40
2013-09-16,16.08,16.43,15.82,15.93,10369200,15.75
2013-09-09,15.53,16.03,15.46,15.91,9369100,15.73
2013-09-03,15.20,15.70,14.99,15.51,10948900,15.34
2013-08-26,15.60,15.68,14.85,15.01,10501700,14.84
2013-08-19,15.50,15.75,15.34,15.62,10705300,15.45
2013-08-12,15.62,16.06,15.04,15.62,14229300,15.35
2013-08-05,16.18,16.34,15.47,15.67,11855600,15.40
2013-07-29,16.05,16.64,16.00,16.32,9453800,16.03
2013-07-22,16.71,16.71,15.92,16.13,7920900,15.85
2013-07-15,16.61,16.78,16.39,16.56,8884100,16.27
2013-07-08,15.36,16.66,15.04,16.66,18224100,16.37
2013-07-01,15.06,15.31,14.67,15.22,8180600,14.95
2013-06-24,14.96,15.42,14.62,14.92,15962800,14.66
2013-06-17,15.56,16.09,14.79,15.08,17519300,14.82
2013-06-10,15.50,15.81,15.16,15.41,12809500,15.14
2013-06-03,15.21,15.64,14.88,15.49,17314000,15.22
2013-05-28,14.66,15.43,14.62,15.20,16793300,14.93
2013-05-20,14.90,15.03,14.34,14.50,11848600,14.25
2013-05-13,14.92,15.00,14.32,14.96,17081500,14.60
2013-05-06,14.84,15.00,14.56,14.97,9174500,14.61
2013-04-29,14.15,15.18,14.07,14.83,14033600,14.47
2013-04-22,12.94,14.22,12.85,14.14,13904500,13.80
2013-04-15,13.49,13.65,12.65,12.93,14046400,12.62
2013-04-10,13.30,13.97,13.27,13.63,10986800,13.30
