Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,122.26,126.10,122.25,125.40,3786300,125.40
2014-03-03,122.89,127.42,120.26,122.26,3546400,122.26
2014-02-24,124.39,126.95,121.74,124.02,3542200,124.02
2014-02-18,124.84,126.32,122.90,123.85,3069100,123.85
2014-02-10,119.68,124.30,117.90,123.84,2649900,123.84
2014-02-03,119.68,120.50,114.57,118.90,4009200,118.30
2014-01-27,119.25,121.98,117.00,118.95,4492000,118.35
2014-01-21,119.96,124.46,118.57,119.29,4171600,118.69
2014-01-13,118.32,119.69,115.94,119.15,3174500,118.55
2014-01-06,114.47,119.00,113.12,117.99,3081000,117.39
2013-12-30,115.36,116.19,113.67,114.47,2125300,113.89
2013-12-23,114.67,115.49,112.20,115.12,1691800,114.54
2013-12-16,112.73,114.98,109.71,114.03,3640000,113.45
2013-12-09,114.18,114.45,111.31,112.16,3109200,111.59
2013-12-02,114.29,115.07,112.04,114.12,2816600,113.54
2013-11-25,113.35,114.88,112.46,114.08,2679800,113.50
2013-11-18,116.50,117.72,110.75,113.03,3855700,112.46
2013-11-11,113.00,116.76,110.85,114.98,2976000,114.40
2013-11-04,118.73,119.70,110.65,113.21,3185900,112.17
2013-10-28,115.99,118.96,115.80,118.69,2757200,117.60
2013-10-21,114.96,117.53,112.76,116.32,2990100,115.25
2013-10-14,110.02,116.00,109.59,114.92,2614400,113.86
2013-10-07,111.47,111.71,105.76,110.89,3575000,109.87
2013-09-30,112.08,114.61,110.07,112.91,2896500,111.87
2013-09-23,115.89,116.50,112.17,113.19,2774200,112.15
2013-09-16,116.21,117.91,115.01,116.85,3764000,115.77
2013-09-09,111.34,115.22,110.42,115.06,3029100,114.00
2013-09-03,110.53,113.28,109.99,111.01,3001100,109.99
2013-08-26,110.77,116.25,108.02,108.94,5061500,107.94
2013-08-19,105.11,107.36,103.88,105.60,1921400,104.63
2013-08-12,108.78,109.42,104.59,104.91,2500200,103.94
2013-08-05,108.90,113.30,103.31,109.63,4594400,108.15
2013-07-29,109.58,111.30,106.44,109.06,2988300,107.59
2013-07-22,108.25,109.88,105.36,109.60,2629900,108.12
2013-07-15,104.25,109.68,102.93,109.39,2871600,107.91
2013-07-08,98.46,104.27,97.90,104.27,3200600,102.86
2013-07-01,100.20,101.72,95.05,97.64,3317700,96.32
2013-06-24,96.73,100.62,95.41,98.66,3611600,97.33
2013-06-17,98.72,102.29,95.06,98.28,4210000,96.95
2013-06-10,98.95,99.50,95.94,97.42,2725900,96.10
2013-06-03,100.61,101.25,94.15,98.81,4283200,97.47
2013-05-28,106.76,108.03,100.39,100.53,3630700,99.17
2013-05-20,105.33,107.40,101.25,105.91,3302200,104.48
2013-05-13,106.18,109.56,103.60,105.63,3163700,104.20
2013-05-06,106.08,106.75,104.13,106.72,2834200,104.81
2013-04-29,108.15,108.38,103.85,106.48,3811100,104.58
2013-04-22,112.01,114.95,104.02,108.38,5528600,106.44
2013-04-15,111.31,111.61,106.30,111.38,4511000,109.39
2013-04-10,104.53,112.10,104.50,111.57,4880300,109.58
