Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,112.37,112.73,111.48,112.05,815000,112.05
2014-03-03,107.22,113.29,106.85,112.65,1170400,112.65
2014-02-24,106.50,110.09,106.25,108.99,1081300,108.99
2014-02-18,107.94,109.30,105.49,106.81,1024400,106.81
2014-02-10,107.36,107.75,105.36,107.09,1143700,107.09
2014-02-03,105.65,108.80,101.29,107.61,1731900,107.09
2014-01-27,106.89,107.38,104.01,105.64,1455500,105.13
2014-01-21,113.92,114.95,106.70,106.79,1347800,106.27
2014-01-13,114.93,115.33,112.89,113.37,1196000,112.82
2014-01-06,114.55,116.82,112.77,115.06,1720700,114.50
2013-12-30,113.86,115.36,113.39,113.90,735700,113.35
2013-12-23,112.76,114.27,112.20,113.94,531300,113.39
2013-12-16,107.51,112.67,107.38,111.81,1332100,111.27
2013-12-09,109.03,109.87,106.09,106.68,1191500,106.16
2013-12-02,108.31,109.56,105.68,108.99,921800,108.46
2013-11-25,107.96,109.12,107.34,108.25,799400,107.72
2013-11-18,105.92,107.69,104.81,107.58,1048200,107.06
2013-11-11,103.31,105.79,102.09,105.47,1002900,104.96
2013-11-04,101.00,103.22,100.22,103.12,1362900,102.62
2013-10-28,99.65,102.26,98.71,101.06,1216500,100.06
2013-10-21,99.81,100.19,98.20,99.56,1039000,98.57
2013-10-14,93.48,99.84,92.89,99.75,1150600,98.76
2013-10-07,91.78,94.73,89.37,94.30,1023900,93.37
2013-09-30,90.36,92.92,90.05,92.89,873600,91.97
2013-09-23,91.40,92.17,90.46,91.43,825100,90.52
2013-09-16,92.09,94.45,91.69,92.22,1455100,91.31
2013-09-09,87.85,91.12,87.84,90.80,756700,89.90
2013-09-03,87.59,88.65,85.93,87.59,1028100,86.72
2013-08-26,89.02,89.50,85.24,86.15,843100,85.30
2013-08-19,88.23,89.26,86.98,89.03,732000,88.15
2013-08-12,89.69,90.76,87.50,88.23,902500,87.36
2013-08-05,90.69,91.20,88.59,90.08,876100,89.19
2013-07-29,87.76,91.22,87.19,91.21,1286200,90.31
2013-07-22,86.33,88.26,85.92,88.18,1369500,86.80
2013-07-15,86.92,87.06,85.24,86.31,1048200,84.96
2013-07-08,83.87,86.78,83.40,86.60,1018100,85.24
2013-07-01,81.60,83.12,80.49,83.10,818000,81.80
2013-06-24,78.25,81.75,76.77,80.88,1394200,79.61
2013-06-17,82.66,83.80,78.26,79.16,1689700,77.92
2013-06-10,83.48,83.70,80.85,81.86,1124700,80.57
2013-06-03,81.91,83.18,79.33,83.07,1713900,81.77
2013-05-28,81.66,84.29,81.51,81.52,1262000,80.24
2013-05-20,81.49,82.97,79.14,80.20,1188800,78.94
2013-05-13,78.10,81.93,77.65,81.69,1295500,80.41
2013-05-06,75.74,78.25,75.66,78.20,1218500,76.97
2013-04-29,73.66,75.96,72.30,75.80,1473000,74.61
2013-04-22,71.98,74.57,70.85,73.48,1360400,71.81
2013-04-15,74.47,74.53,69.35,72.18,1689800,70.54
2013-04-10,72.79,75.50,72.79,74.73,981300,73.03
