Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,81.09,81.49,80.48,81.18,1293500,81.18
2014-03-03,81.08,82.43,80.29,81.31,2226100,81.31
2014-02-24,84.06,84.52,79.76,81.47,3323200,81.47
2014-02-18,83.30,84.90,82.62,84.05,2044700,84.05
2014-02-10,80.48,83.35,80.40,83.20,1437800,83.20
2014-02-03,80.74,81.01,78.38,80.38,2170200,80.38
2014-01-27,79.76,81.80,78.60,80.88,2474300,80.88
2014-01-21,83.47,84.65,78.77,79.62,3681800,79.62
2014-01-13,82.33,83.68,81.96,83.15,1909700,83.15
2014-01-06,79.86,82.87,79.39,82.64,2328900,82.64
2013-12-30,78.95,80.13,78.85,79.68,1532600,79.68
2013-12-23,79.02,79.30,78.22,78.82,1185300,78.82
2013-12-16,76.86,78.76,75.65,77.95,2969000,77.95
2013-12-09,78.17,79.48,76.50,76.76,2254600,76.76
2013-12-02,77.63,78.63,76.72,78.08,1951400,77.79
2013-11-25,77.34,78.88,76.63,77.77,1931100,77.48
2013-11-18,79.18,79.56,76.22,77.28,1922200,76.99
2013-11-11,79.01,79.49,77.19,79.28,2120800,78.98
2013-11-04,79.42,80.05,76.44,77.79,2769400,77.50
2013-10-28,80.94,81.36,78.61,79.37,2891700,79.07
2013-10-21,78.70,80.97,78.26,80.82,2706400,80.52
2013-10-14,74.01,79.95,73.82,79.01,2857800,78.72
2013-10-07,72.39,74.73,71.55,74.44,2159000,74.16
2013-09-30,73.85,74.56,72.36,72.69,2413500,72.42
2013-09-23,73.65,74.90,72.37,74.52,2327600,74.24
2013-09-16,75.16,75.99,72.76,73.92,3226100,73.64
2013-09-09,72.16,75.15,72.16,73.71,3003300,73.16
2013-09-03,69.82,72.44,68.69,71.91,3797000,71.38
2013-08-26,70.02,70.49,68.84,69.49,2689400,68.98
2013-08-19,68.57,70.10,67.89,70.06,2318300,69.54
2013-08-12,70.10,70.19,68.55,68.58,3231400,68.07
2013-08-05,70.22,71.28,68.03,70.16,4012400,69.64
2013-07-29,72.57,73.45,69.74,70.50,4206100,69.98
2013-07-22,75.15,75.26,72.03,72.58,3517300,72.04
2013-07-15,76.45,77.72,71.50,75.13,9552400,74.57
2013-07-08,72.00,78.33,71.67,77.84,4528400,77.26
2013-07-01,73.43,73.96,70.02,71.67,4106000,71.14
2013-06-24,71.24,75.55,69.54,73.17,4309100,72.63
2013-06-17,77.72,78.14,70.24,71.99,4533000,71.46
2013-06-10,78.79,78.86,74.33,77.33,3665700,76.76
2013-06-03,77.83,79.05,75.77,78.77,3583800,77.90
2013-05-28,82.57,83.08,77.84,77.84,2975000,76.98
2013-05-20,84.46,85.26,80.48,81.72,1965700,80.82
2013-05-13,83.15,84.48,82.92,84.45,1724200,83.52
2013-05-06,83.59,85.15,82.76,83.10,1811900,82.19
2013-04-29,83.04,84.98,78.54,83.56,1829400,82.64
2013-04-22,81.39,84.29,80.57,82.97,1909000,82.06
2013-04-15,80.63,81.41,79.08,81.05,1869400,80.16
2013-04-10,79.48,80.73,79.39,80.67,1623100,79.78
