Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,372.69,372.73,367.00,370.53,2105800,370.53
2014-03-03,358.74,375.33,354.48,372.06,2911400,372.06
2014-02-24,345.19,365.87,343.29,362.10,3598000,362.10
2014-02-18,355.28,355.73,344.38,346.76,4217200,346.76
2014-02-10,361.61,365.00,346.32,357.35,4190900,357.35
2014-02-03,358.98,361.80,337.73,361.08,5439000,361.08
2014-01-27,390.50,406.25,357.76,358.69,7368400,358.69
2014-01-21,403.00,408.06,387.27,387.60,3166600,387.60
2014-01-13,397.98,403.49,388.45,399.61,2993900,399.61
2014-01-06,395.85,406.89,388.42,397.66,2437100,397.66
2013-12-30,399.41,402.71,392.45,396.44,2207900,396.44
2013-12-23,403.69,405.63,396.25,398.08,1973800,398.08
2013-12-16,385.03,404.72,383.10,402.20,3109100,402.20
2013-12-09,388.11,389.42,379.50,384.24,2619700,384.24
2013-12-02,399.00,399.00,381.37,386.95,2932600,386.95
2013-11-25,373.82,394.10,373.18,393.62,2593100,393.62
2013-11-18,370.28,374.50,360.45,372.31,2268700,372.31
2013-11-11,350.59,372.90,345.68,369.17,3205900,369.17
2013-11-04,360.12,362.87,341.88,350.31,2626200,350.31
2013-10-28,359.92,366.00,356.10,359.00,3224200,359.00
2013-10-21,329.89,368.40,323.80,363.39,5439500,363.39
2013-10-14,309.22,331.89,305.24,328.93,2997800,328.93
2013-10-07,315.24,315.34,296.50,310.89,2643000,310.89
2013-09-30,313.41,322.92,311.06,319.04,2145400,319.04
2013-09-23,314.01,319.37,308.77,316.01,1914900,316.01
2013-09-16,299.82,320.57,295.26,316.34,2940900,316.34
2013-09-09,297.22,302.00,296.20,297.92,1624200,297.92
2013-09-03,284.73,298.88,284.17,295.86,2361200,295.86
2013-08-26,290.43,291.05,279.33,280.98,1749100,280.98
2013-08-19,285.19,291.50,283.48,290.01,1852700,290.01
2013-08-12,295.79,299.08,284.50,284.82,1990600,284.82
2013-08-05,303.40,303.62,292.55,297.26,2067300,297.26
2013-07-29,311.07,313.00,298.90,304.21,2726100,304.21
2013-07-22,309.25,313.62,295.55,312.01,4148800,312.01
2013-07-15,307.27,309.39,301.87,305.23,2594400,305.23
2013-07-08,286.42,307.55,286.14,307.55,3235800,307.55
2013-07-01,279.00,286.58,277.16,285.88,2371200,285.88
2013-06-24,271.29,280.20,265.00,277.69,3011100,277.69
2013-06-17,276.35,283.34,269.79,273.36,3008500,273.36
2013-06-10,276.68,282.47,270.29,273.99,2644700,273.99
2013-06-03,268.96,280.10,262.95,276.87,3050700,276.87
2013-05-28,266.48,271.91,264.84,269.20,2604000,269.20
2013-05-20,269.00,271.79,258.34,261.74,2195700,261.74
2013-05-13,262.77,269.98,262.00,269.90,2348100,269.90
2013-05-06,258.09,263.65,252.91,263.63,2814600,263.63
2013-04-29,254.90,259.25,245.75,258.05,4641400,258.05
2013-04-22,259.35,275.80,252.81,254.81,5277800,254.81
2013-04-15,271.08,275.12,256.60,260.32,2867600,260.32
2013-04-10,261.78,273.27,259.32,272.87,2759700,272.87
