Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,86.72,87.19,86.15,86.67,1030500,86.67
2014-03-03,84.86,87.45,84.08,86.95,1273800,86.95
2014-02-24,85.86,87.27,84.87,85.60,2114000,85.60
2014-02-18,84.24,86.45,83.25,86.22,1787800,86.22
2014-02-10,80.91,85.42,80.54,85.23,1782400,85.23
2014-02-03,80.19,81.20,76.49,81.02,2233600,81.02
2014-01-27,78.67,80.88,77.85,80.46,1943500,80.46
2014-01-21,84.35,84.63,78.41,78.41,1727700,78.24
2014-01-13,82.15,84.51,80.68,84.15,1128900,83.96
2014-01-06,83.02,83.75,81.51,82.52,1404500,82.34
2013-12-30,83.13,84.33,82.26,82.60,1145100,82.42
2013-12-23,83.34,84.00,82.30,83.41,947400,83.23
2013-12-16,81.89,84.06,81.36,82.94,1752600,82.76
2013-12-09,82.61,83.34,81.43,81.61,1200600,81.43
2013-12-02,81.55,82.95,81.02,82.75,1152800,82.57
2013-11-25,82.50,82.50,81.29,81.64,1153100,81.46
2013-11-18,81.60,82.55,80.17,82.55,1169600,82.37
2013-11-11,80.62,81.73,79.15,81.58,1625500,81.40
2013-11-04,78.88,80.63,77.79,80.60,1822600,80.42
2013-10-28,77.59,80.42,77.55,78.77,2658700,78.60
2013-10-21,75.30,78.75,74.60,77.54,2442400,77.20
2013-10-14,72.92,75.55,72.56,75.39,2223600,75.06
2013-10-07,72.09,73.24,70.72,73.10,1699800,72.78
2013-09-30,74.48,74.86,72.28,72.83,3026900,72.51
2013-09-23,75.35,76.30,74.94,75.07,1662700,74.74
2013-09-16,69.12,76.06,68.51,75.52,3232000,75.19
2013-09-09,66.82,68.89,66.61,68.52,1086300,68.22
2013-09-03,67.17,67.49,65.91,66.49,844800,66.20
2013-08-26,68.43,68.66,66.08,66.38,1430400,66.09
2013-08-19,68.14,69.11,67.77,68.50,1543600,68.20
2013-08-12,68.70,69.17,67.87,68.39,1673500,68.09
2013-08-05,68.85,69.31,68.32,69.08,1352600,68.78
2013-07-29,67.47,69.59,66.34,69.08,1591000,68.78
2013-07-22,67.50,67.74,66.12,67.53,1030500,67.06
2013-07-15,66.94,67.95,66.73,67.48,1104100,67.01
2013-07-08,65.76,67.25,65.04,67.02,1046900,66.55
2013-07-01,64.87,65.92,64.20,65.66,833500,65.20
2013-06-24,62.87,65.00,62.19,64.35,1511400,63.90
2013-06-17,65.19,65.73,62.70,63.26,1368100,62.82
2013-06-10,65.61,65.76,64.03,64.89,1160800,64.44
2013-06-03,63.69,65.61,62.64,65.55,1572900,65.09
2013-05-28,66.10,67.26,63.64,63.67,2413300,63.22
2013-05-20,66.17,66.63,64.76,65.73,1500900,65.27
2013-05-13,64.28,66.73,64.28,66.29,1547100,65.83
2013-05-06,63.15,64.99,63.06,64.50,2127600,64.05
2013-04-29,59.07,63.40,58.84,63.31,2117300,62.87
2013-04-22,60.26,61.72,58.48,59.00,1728300,58.41
2013-04-15,62.56,62.75,59.50,60.15,1890600,59.55
2013-04-10,61.07,63.07,60.84,62.62,1436200,62.00
