Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,79.85,80.61,79.55,80.50,2781800,80.50
2014-03-03,79.00,80.78,78.76,80.05,3440600,80.05
2014-02-24,85.01,85.83,79.05,79.29,4778500,79.29
2014-02-18,83.42,85.95,82.53,84.56,3379900,84.56
2014-02-10,81.46,83.82,78.53,83.39,3464600,83.39
2014-02-03,80.26,81.62,77.31,81.40,3197600,81.40
2014-01-27,81.93,82.63,79.84,80.26,2328500,80.26
2014-01-21,84.78,85.23,82.13,82.42,2470300,82.42
2014-01-13,85.95,86.41,83.75,84.31,3010800,84.31
2014-01-06,85.76,87.91,85.12,86.20,2474400,86.00
2013-12-30,87.16,87.83,85.16,85.54,2197700,85.34
2013-12-23,87.04,87.63,85.81,86.68,1443300,86.48
2013-12-16,86.13,87.15,84.15,86.41,2719700,86.21
2013-12-09,89.09,90.03,85.07,86.16,2765200,85.96
2013-12-02,91.22,91.85,88.95,89.02,2431900,88.81
2013-11-25,93.85,94.55,90.87,91.49,2091400,91.28
2013-11-18,91.42,94.84,91.42,94.42,2612800,94.20
2013-11-11,90.00,92.84,88.84,92.50,2708600,92.28
2013-11-04,89.59,91.10,87.73,89.80,3083100,89.59
2013-10-28,90.53,91.21,88.21,89.24,1950800,89.03
2013-10-21,90.60,91.13,88.09,90.45,2213900,90.24
2013-10-14,87.24,91.65,87.13,91.26,2457700,91.05
2013-10-07,86.04,88.31,84.95,87.95,2091500,87.55
2013-09-30,85.43,87.29,84.75,87.00,2184600,86.61
2013-09-23,87.50,87.88,86.03,86.25,1993300,85.86
2013-09-16,87.78,89.17,86.91,87.85,3028100,87.45
2013-09-09,86.06,87.76,86.01,86.81,2645300,86.42
2013-09-03,86.50,87.17,84.41,86.51,3692100,86.12
2013-08-26,79.95,85.99,78.16,85.68,4649500,85.29
2013-08-19,78.42,79.92,75.07,79.80,4093300,79.44
2013-08-12,82.56,83.37,78.83,78.99,2530200,78.63
2013-08-05,81.97,83.51,81.35,83.20,2633200,82.82
2013-07-29,81.80,82.33,79.99,82.00,2917100,81.63
2013-07-22,84.90,84.97,81.73,82.06,2285700,81.69
2013-07-15,82.39,85.41,81.45,84.98,3446800,84.59
2013-07-08,82.52,82.88,80.07,82.41,3728000,81.84
2013-07-01,84.21,84.33,79.50,82.17,5045900,81.60
2013-06-24,83.72,84.59,81.67,83.83,3208400,83.25
2013-06-17,85.34,87.57,84.20,85.04,3925200,84.45
2013-06-10,84.93,85.82,83.90,84.89,3559200,84.30
2013-06-03,82.71,86.31,82.12,84.73,4037600,84.14
2013-05-28,82.71,85.29,81.41,82.13,3660100,81.56
2013-05-20,81.30,85.52,80.74,81.66,3731900,81.09
2013-05-13,81.84,83.80,80.55,81.30,3784000,80.74
2013-05-06,75.25,83.41,75.01,83.33,4870200,82.75
2013-04-29,72.63,75.91,71.71,75.24,2754200,74.72
2013-04-22,69.12,73.26,67.91,72.27,3141100,71.77
2013-04-15,74.34,74.52,68.57,68.84,5025000,68.36
2013-04-10,75.75,76.78,74.99,75.09,3053300,74.36
