Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,85.06,85.21,84.23,84.87,2589800,84.87
2014-03-03,83.92,86.86,83.75,85.26,4741200,85.08
2014-02-24,83.01,85.21,82.00,84.16,3877600,83.98
2014-02-18,81.70,84.39,81.70,82.31,4203600,82.14
2014-02-10,80.18,82.62,79.43,81.54,3512500,81.37
2014-02-03,80.73,81.47,78.15,80.17,5283900,80.00
2014-01-27,81.11,81.99,79.04,80.69,3892700,80.52
2014-01-21,80.65,83.97,80.63,81.09,5490900,80.92
2014-01-13,79.50,82.38,78.19,80.06,5788000,79.89
2014-01-06,78.37,80.00,77.80,79.83,4183600,79.66
2013-12-30,79.33,79.86,78.01,78.31,2542800,78.14
2013-12-23,79.11,79.69,77.89,79.40,2855100,79.23
2013-12-16,78.45,79.90,78.00,78.77,7809100,78.60
2013-12-09,86.66,87.28,73.60,78.30,11605800,78.13
2013-12-02,88.92,89.70,86.37,86.65,3379600,86.29
2013-11-25,91.96,91.96,87.66,88.82,2826400,88.45
2013-11-18,91.23,92.75,89.50,92.04,2523500,91.65
2013-11-11,91.15,91.76,89.30,90.93,3082900,90.55
2013-11-04,95.34,96.54,89.47,90.97,3885200,90.59
2013-10-28,96.27,98.47,93.29,94.39,2879500,94.00
2013-10-21,97.71,98.23,91.27,96.15,3849300,95.75
2013-10-14,94.53,98.13,94.27,97.42,2612000,97.01
2013-10-07,93.27,95.98,91.60,95.46,2017900,95.06
2013-09-30,93.27,94.79,92.38,93.90,2333900,93.51
2013-09-23,93.45,96.01,92.65,94.53,2205400,94.13
2013-09-16,95.78,95.81,92.70,93.69,2696500,93.30
2013-09-09,93.14,96.75,92.38,94.70,2724100,94.30
2013-09-03,92.43,94.00,91.70,93.01,2077200,92.44
2013-08-26,91.95,93.14,90.19,91.42,2948600,90.86
2013-08-19,91.19,91.23,88.33,89.80,2187800,89.25
2013-08-12,88.93,91.94,87.57,91.52,2882600,90.96
2013-08-05,90.17,91.15,88.23,89.80,2574000,89.25
2013-07-29,88.56,90.71,86.57,90.46,3936400,89.91
2013-07-22,92.45,92.90,88.11,88.51,2889800,87.97
2013-07-15,90.67,92.86,87.85,92.85,3172200,92.28
2013-07-08,88.72,90.85,88.09,90.70,2672200,90.15
2013-07-01,86.33,88.53,86.08,88.38,2058700,87.84
2013-06-24,82.27,87.49,80.44,85.93,3428900,85.40
2013-06-17,87.00,87.85,82.10,83.44,3065400,82.93
2013-06-10,88.12,88.53,85.44,86.11,2248300,85.58
2013-06-03,87.85,89.09,85.34,87.98,2608600,87.35
2013-05-28,90.74,91.96,87.41,87.47,3445800,86.85
2013-05-20,89.89,92.18,86.96,89.34,3304800,88.70
2013-05-13,86.00,90.46,85.95,90.03,3250800,89.39
2013-05-06,87.00,89.72,85.53,86.45,3660400,85.83
2013-04-29,84.43,86.79,82.52,86.60,2475800,85.98
2013-04-22,80.27,85.50,79.25,83.84,3398800,83.24
2013-04-15,83.79,83.88,78.30,79.99,4663100,79.42
2013-04-10,87.15,87.39,85.05,85.29,3145400,84.68
