Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,121.60,121.80,120.00,121.10,1283000,121.10
2014-03-03,120.59,123.60,119.65,121.67,946600,121.67
2014-02-24,117.98,122.24,117.38,121.32,1815200,121.32
2014-02-18,117.50,119.23,116.15,118.27,1349100,118.27
2014-02-10,109.00,117.55,109.00,117.38,1930500,117.38
2014-02-03,105.47,109.34,102.73,109.23,1407100,109.23
2014-01-27,107.07,107.95,103.81,105.14,1375900,105.14
2014-01-21,112.38,113.22,106.65,106.71,963700,106.71
2014-01-13,109.44,112.53,108.17,112.01,1127700,112.01
2014-01-06,111.57,112.20,109.10,109.63,1150200,109.63
2013-12-30,112.48,113.32,110.73,111.22,874600,111.22
2013-12-23,111.74,113.99,111.16,113.43,526000,113.43
2013-12-16,108.01,112.26,105.74,111.30,1551100,111.30
2013-12-09,109.36,109.77,106.13,107.72,709000,107.72
2013-12-02,108.95,109.55,106.18,109.51,852500,109.51
2013-11-25,111.17,111.61,108.58,108.83,688500,108.83
2013-11-18,110.54,111.42,109.13,111.17,943100,111.17
2013-11-11,109.50,110.69,107.43,110.59,1042200,110.59
2013-11-04,108.12,110.10,107.74,109.45,904600,109.45
2013-10-28,111.53,111.58,106.40,108.00,1675400,108.00
2013-10-21,109.98,111.95,109.91,111.73,724300,111.73
2013-10-14,107.62,110.51,107.52,110.19,994500,110.19
2013-10-07,105.79,108.75,102.23,108.72,1419400,108.72
2013-09-30,106.16,107.92,105.10,106.31,1324600,106.31
2013-09-23,108.14,114.75,106.91,107.00,1417000,107.00
2013-09-16,107.41,111.40,106.16,108.57,1501400,107.87
2013-09-09,103.48,106.70,103.12,106.15,644000,105.46
2013-09-03,103.30,104.37,102.03,102.99,742300,102.32
2013-08-26,104.14,104.50,101.14,102.14,764100,101.48
2013-08-19,100.60,104.16,100.58,104.00,1336100,103.33
2013-08-12,105.91,105.91,99.76,100.89,1708800,100.24
2013-08-05,108.08,108.08,106.04,106.70,1145400,106.01
2013-07-29,104.28,111.00,102.75,106.95,3461200,106.26
2013-07-22,96.73,108.66,96.72,104.12,5045600,103.45
2013-07-15,96.62,97.47,94.80,96.99,1382000,96.36
2013-07-08,91.75,97.66,91.38,96.65,2209700,96.02
2013-07-01,91.51,95.02,90.12,91.88,2563200,91.29
2013-06-24,93.64,96.40,91.31,91.57,2214700,90.98
2013-06-17,96.64,97.12,93.62,94.59,1745200,93.28
2013-06-10,95.10,96.59,93.75,96.35,1685200,95.02
2013-06-03,94.39,95.54,93.76,95.09,1647900,93.78
2013-05-28,94.97,95.27,94.02,94.41,1018000,93.11
2013-05-20,94.08,96.15,93.11,93.93,1213300,92.63
2013-05-13,90.97,94.49,90.50,94.33,962300,93.03
2013-05-06,90.00,91.42,88.53,91.21,1047800,89.95
2013-04-29,85.93,90.90,85.59,89.80,1848600,88.56
2013-04-22,85.71,86.69,84.53,85.59,1218000,84.41
2013-04-15,86.45,86.63,84.66,85.71,1367800,84.53
2013-04-10,86.20,87.32,85.86,86.93,1198000,85.73
