Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,89.95,90.78,88.40,90.49,536100,90.49
2014-03-03,87.51,91.16,86.76,90.41,488200,90.21
2014-02-24,88.53,89.73,86.74,88.02,601100,87.83
2014-02-18,88.36,89.68,87.96,88.16,442500,87.96
2014-02-10,87.29,88.69,86.45,88.27,374300,88.07
2014-02-03,86.80,87.43,84.11,87.36,684200,87.17
2014-01-27,85.90,87.20,84.99,86.88,944700,86.69
2014-01-21,92.10,92.42,85.89,85.89,852800,85.70
2014-01-13,89.12,92.42,88.78,92.08,631800,91.88
2014-01-06,88.46,89.98,87.17,89.34,407900,89.14
2013-12-30,88.42,89.46,87.46,88.06,344000,87.87
2013-12-23,88.30,88.80,87.61,88.27,282000,88.07
2013-12-16,85.42,88.22,85.01,87.80,567400,87.61
2013-12-09,86.29,86.88,84.59,85.16,537100,84.97
2013-12-02,85.03,86.31,84.34,86.11,431700,85.72
2013-11-25,85.11,85.62,84.65,85.00,354700,84.61
2013-11-18,84.25,85.31,84.25,85.11,762400,84.72
2013-11-11,81.13,84.13,80.53,84.10,521000,83.72
2013-11-04,80.16,81.38,79.46,81.34,400000,80.97
2013-10-28,81.39,81.40,79.67,79.93,512600,79.57
2013-10-21,82.43,82.95,80.75,81.27,549100,80.90
2013-10-14,76.61,82.52,76.32,82.33,1034900,81.96
2013-10-07,75.89,77.11,74.17,77.05,645200,76.70
2013-09-30,76.79,77.92,75.73,76.49,463100,76.14
2013-09-23,77.01,78.26,76.58,77.54,416500,77.19
2013-09-16,78.42,78.79,76.61,76.76,534200,76.41
2013-09-09,75.79,78.35,75.79,77.29,588700,76.94
2013-09-03,76.25,76.68,74.74,75.15,603700,74.61
2013-08-26,77.79,78.04,75.09,75.77,308700,75.23
2013-08-19,74.70,78.35,74.06,77.80,597500,77.24
2013-08-12,77.47,78.15,74.65,74.79,444500,74.25
2013-08-05,79.15,80.78,76.87,77.57,661300,77.01
2013-07-29,77.14,79.97,76.83,79.09,708400,78.52
2013-07-22,77.03,78.80,76.53,77.51,904400,76.95
2013-07-15,85.41,85.66,75.08,76.78,1226700,76.23
2013-07-08,80.41,85.59,79.83,85.38,639200,84.77
2013-07-01,78.59,80.26,77.62,80.25,793400,79.67
2013-06-24,75.47,79.52,74.88,77.94,772400,77.38
2013-06-17,76.76,79.68,75.45,76.39,677100,75.84
2013-06-10,77.84,77.95,75.71,76.20,427000,75.65
2013-06-03,78.18,79.21,76.10,77.72,755400,77.06
2013-05-28,79.23,79.49,77.63,77.90,620800,77.24
2013-05-20,83.03,83.23,76.80,78.34,887700,77.67
2013-05-13,80.12,83.37,79.45,83.29,492900,82.58
2013-05-06,77.00,80.29,76.68,80.29,552400,79.61
2013-04-29,74.05,77.25,74.05,77.16,756500,76.50
2013-04-22,72.92,75.86,72.79,74.30,550200,73.67
2013-04-15,73.22,73.52,70.09,72.78,892900,72.16
2013-04-10,73.15,74.92,72.94,73.49,463700,72.86
