Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,107.50,108.34,107.20,108.32,414600,107.84
2014-03-03,106.92,108.68,106.06,107.58,439000,107.10
2014-02-24,105.09,108.47,104.49,107.80,441400,107.32
2014-02-18,106.62,107.32,104.62,105.20,320600,104.73
2014-02-10,104.06,106.96,103.55,106.41,439800,105.94
2014-02-03,104.78,104.78,99.32,104.19,593400,103.73
2014-01-27,108.94,109.38,102.07,103.24,858800,102.78
2014-01-21,112.59,113.16,108.65,108.82,504200,108.34
2014-01-13,109.75,112.71,109.22,112.15,506200,111.65
2014-01-06,109.64,110.49,108.73,110.36,390200,109.87
2013-12-30,111.42,112.49,108.98,108.98,395800,108.49
2013-12-23,110.25,112.60,109.04,111.30,240000,110.80
2013-12-16,107.14,110.13,106.34,109.90,367000,109.41
2013-12-09,109.87,111.17,106.16,106.34,382500,105.87
2013-12-02,108.59,109.77,106.48,109.72,346600,108.76
2013-11-25,110.18,110.22,108.44,108.63,167200,107.67
2013-11-18,110.63,110.72,107.92,110.01,189100,109.04
2013-11-11,108.30,110.32,107.71,110.32,247700,109.35
2013-11-04,108.26,108.89,106.89,108.28,306300,107.33
2013-10-28,109.33,109.88,107.55,108.01,360000,107.06
2013-10-21,111.41,112.43,105.00,109.14,682200,108.18
2013-10-14,108.00,111.67,107.96,111.58,210700,110.60
2013-10-07,107.71,109.10,104.60,108.45,255900,107.50
2013-09-30,105.54,109.37,105.07,108.82,565900,107.86
2013-09-23,105.11,106.87,104.01,105.93,276200,105.00
2013-09-16,105.35,107.72,103.68,105.35,308900,104.42
2013-09-09,103.59,106.36,103.17,103.86,480400,102.95
2013-09-03,102.94,105.00,102.25,103.33,407600,101.95
2013-08-26,103.36,104.00,100.53,101.65,147900,100.30
2013-08-19,101.47,104.04,100.72,103.30,231800,101.92
2013-08-12,105.25,105.68,100.78,101.58,215800,100.23
2013-08-05,105.65,106.63,104.39,105.52,222400,104.11
2013-07-29,100.45,106.00,99.90,105.83,442200,104.42
2013-07-22,100.99,103.26,99.75,100.31,530900,98.97
2013-07-15,100.29,101.22,99.14,100.90,370700,99.56
2013-07-08,97.48,100.68,97.29,100.29,410200,98.95
2013-07-01,95.73,97.98,94.37,97.11,371600,95.82
2013-06-24,93.82,96.98,92.86,95.46,622200,94.19
2013-06-17,96.50,97.68,93.71,95.03,778300,93.76
2013-06-10,101.25,101.35,95.27,95.94,613600,94.66
2013-06-03,102.82,103.89,99.75,101.15,326100,99.32
2013-05-28,103.58,104.40,102.58,102.89,348000,101.03
2013-05-20,101.51,103.79,100.49,102.71,380000,100.85
2013-05-13,97.56,102.06,95.60,101.87,544300,100.02
2013-05-06,96.81,99.47,95.98,97.78,341600,96.01
2013-04-29,97.09,97.28,93.41,96.83,682100,95.08
2013-04-22,96.81,98.45,95.15,96.70,414700,94.95
2013-04-15,97.94,97.94,93.63,95.87,400400,94.13
2013-04-10,96.88,98.57,96.14,97.20,467300,95.44
