Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,15.14,15.21,15.02,15.20,2083700,15.20
2014-03-03,15.30,15.37,14.86,15.17,3714800,15.17
2014-02-24,15.24,15.67,15.20,15.47,3182400,15.47
2014-02-18,14.56,15.30,14.56,15.16,5223700,15.10
2014-02-10,14.83,15.37,14.24,14.55,7183000,14.49
2014-02-03,14.77,14.89,14.24,14.80,3746800,14.74
2014-01-27,15.47,15.88,14.62,14.89,6516600,14.83
2014-01-21,16.42,16.54,15.33,15.50,4723100,15.44
2014-01-13,16.75,17.00,16.11,16.31,4167700,16.25
2014-01-06,17.14,17.25,16.70,16.80,3192900,16.73
2013-12-30,17.10,17.41,16.92,17.06,2221900,16.99
2013-12-23,17.46,17.50,17.11,17.32,1348400,17.25
2013-12-16,16.94,17.41,16.52,17.31,3012300,17.24
2013-12-09,17.75,18.09,16.65,16.82,4399400,16.75
2013-12-02,17.86,17.95,17.50,17.67,2829100,17.60
2013-11-25,17.66,18.12,17.36,17.83,2655900,17.76
2013-11-18,17.45,17.55,17.01,17.48,3618100,17.41
2013-11-11,17.51,17.56,17.15,17.32,4789600,17.25
2013-11-04,18.35,18.39,17.38,17.46,8591900,17.33
2013-10-28,22.03,22.86,17.02,18.27,12318400,18.14
2013-10-21,21.35,22.00,21.03,21.99,2421600,21.83
2013-10-14,20.68,21.64,20.47,21.44,1788700,21.28
2013-10-07,20.00,20.86,19.81,20.82,3296800,20.67
2013-09-30,20.48,21.12,20.16,20.21,2787000,20.06
2013-09-23,21.28,21.36,20.62,20.73,1689400,20.58
2013-09-16,20.96,21.94,20.81,21.42,2691900,21.26
2013-09-09,19.93,20.83,19.84,20.75,2202700,20.60
2013-09-03,19.98,20.09,19.37,19.82,2761200,19.67
2013-08-26,20.30,20.32,19.56,19.77,2826000,19.62
2013-08-19,20.63,20.83,20.17,20.33,3200800,20.18
2013-08-12,21.85,22.00,20.47,20.63,3018000,20.48
2013-08-05,22.00,22.39,21.81,21.98,2806000,21.76
2013-07-29,23.08,24.71,21.38,22.20,5362800,21.98
2013-07-22,23.30,23.45,22.83,23.15,2863800,22.92
2013-07-15,22.55,23.39,22.28,23.32,2650500,23.09
2013-07-08,21.05,22.59,20.98,22.54,3398900,22.31
2013-07-01,21.06,21.40,20.74,21.00,2408300,20.79
2013-06-24,20.48,21.69,19.95,21.03,4328200,20.82
2013-06-17,22.96,23.49,20.61,20.80,5506300,20.59
2013-06-10,23.79,23.88,22.68,22.86,3595000,22.63
2013-06-03,23.57,23.91,22.41,23.70,4316000,23.46
2013-05-28,23.83,24.30,23.22,23.57,3857200,23.33
2013-05-20,23.99,24.53,23.21,23.59,3249300,23.35
2013-05-13,23.37,24.03,23.20,24.02,2719400,23.78
2013-05-06,23.23,23.53,23.06,23.39,2508200,23.15
2013-04-29,22.07,24.30,21.86,23.24,6007400,22.95
2013-04-22,22.00,22.59,21.68,22.05,5178900,21.77
2013-04-15,21.36,22.00,20.88,21.99,4476500,21.71
2013-04-10,20.80,21.64,20.70,21.54,4423900,21.27
