Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,51.50,51.53,50.65,51.21,859500,51.21
2014-03-03,49.05,52.10,48.99,51.56,1045000,51.56
2014-02-24,48.97,50.06,48.43,49.82,795600,49.53
2014-02-18,49.49,50.05,48.86,48.89,577700,48.61
2014-02-10,47.98,49.71,47.82,49.40,939500,49.11
2014-02-03,49.44,49.90,46.25,47.89,1101400,47.61
2014-01-27,49.17,49.85,47.90,49.27,999600,48.98
2014-01-21,51.53,52.17,49.11,49.13,922900,48.84
2014-01-13,50.58,51.37,50.19,51.15,791500,50.85
2014-01-06,49.79,51.14,49.26,50.88,1305200,50.58
2013-12-30,50.48,50.54,49.42,49.55,592900,49.26
2013-12-23,49.88,50.88,49.41,50.48,550300,50.19
2013-12-16,48.76,49.74,48.30,49.58,817700,49.29
2013-12-09,49.74,49.89,47.94,48.66,777600,48.38
2013-12-02,48.60,49.69,48.16,49.66,1022200,49.37
2013-11-25,49.41,49.51,48.66,48.90,488000,48.33
2013-11-18,48.58,49.52,47.98,49.37,529200,48.79
2013-11-11,47.51,48.45,46.89,48.28,550700,47.71
2013-11-04,47.54,47.69,46.03,47.57,734600,47.01
2013-10-28,47.83,48.18,46.88,47.37,867300,46.81
2013-10-21,44.60,49.97,43.56,47.74,1038400,47.18
2013-10-14,42.69,44.66,42.67,44.64,599700,44.12
2013-10-07,42.60,43.44,42.01,43.07,776300,42.57
2013-09-30,43.19,43.59,42.55,43.05,720400,42.55
2013-09-23,43.99,44.23,43.30,43.57,614000,43.06
2013-09-16,44.83,44.90,43.99,44.14,903600,43.62
2013-09-09,43.00,44.90,43.00,44.14,611300,43.62
2013-09-03,43.30,43.66,42.47,42.98,745000,42.48
2013-08-26,44.26,44.84,42.60,42.76,573900,42.26
2013-08-19,44.32,44.59,43.79,44.23,375900,43.42
2013-08-12,45.91,46.27,43.80,44.27,629100,43.46
2013-08-05,45.73,46.20,44.09,45.86,767500,45.02
2013-07-29,44.04,46.18,43.97,45.73,738800,44.89
2013-07-22,44.63,46.96,43.49,44.15,935000,43.34
2013-07-15,44.73,45.05,43.95,44.79,683300,43.97
2013-07-08,44.64,45.44,44.17,44.70,670200,43.88
2013-07-01,42.96,44.44,42.85,44.44,402100,43.63
2013-06-24,41.21,43.01,40.71,42.76,613400,41.98
2013-06-17,43.31,44.25,41.25,41.67,552900,40.91
2013-06-10,43.51,43.58,42.54,43.04,346300,42.25
2013-06-03,43.40,43.60,41.83,43.39,597200,42.60
2013-05-28,44.07,44.75,43.46,43.50,541800,42.42
2013-05-20,44.15,44.72,43.02,43.66,500300,42.58
2013-05-13,43.37,44.92,42.65,44.28,787100,43.18
2013-05-06,42.34,43.61,42.08,43.44,546800,42.36
2013-04-29,41.57,42.62,39.72,42.39,848000,41.34
2013-04-22,40.90,42.80,40.17,41.45,1089900,40.42
2013-04-15,42.66,42.87,39.92,40.81,940100,39.80
2013-04-10,43.14,43.49,42.45,42.81,1212100,41.75
