Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,93.62,93.88,93.14,93.70,2218700,93.70
2014-03-03,90.60,94.35,89.16,93.86,3625200,93.86
2014-02-24,88.79,92.14,88.79,91.28,3756200,91.28
2014-02-18,88.80,90.32,88.12,88.75,4036100,88.75
2014-02-10,87.83,89.27,87.50,89.00,3382000,89.00
2014-02-03,84.99,87.17,82.63,87.00,4867600,87.00
2014-01-27,87.15,87.77,84.91,85.02,4431000,85.02
2014-01-21,91.97,92.71,86.66,86.95,5838300,86.95
2014-01-13,88.52,93.62,86.07,90.97,6645900,90.97
2014-01-06,89.70,90.70,88.07,88.55,3427000,88.55
2013-12-30,89.19,91.08,88.63,89.74,3463200,89.51
2013-12-23,88.00,89.51,87.94,89.19,1956900,88.96
2013-12-16,83.96,87.78,83.55,87.57,4415100,87.34
2013-12-09,86.17,86.40,83.21,83.68,3148400,83.46
2013-12-02,86.02,86.53,83.76,85.93,3418200,85.71
2013-11-25,84.32,86.19,84.08,85.80,3304700,85.58
2013-11-18,82.85,84.00,81.96,83.85,3287100,83.63
2013-11-11,81.59,83.26,80.22,82.80,2802600,82.59
2013-11-04,82.41,82.64,80.88,81.78,3145400,81.57
2013-10-28,82.72,83.83,81.69,82.16,4159100,81.95
2013-10-21,80.47,82.67,80.01,82.61,3871900,82.40
2013-10-14,75.33,80.68,75.10,80.52,6312700,80.31
2013-10-07,73.50,75.44,72.08,75.40,3930200,75.21
2013-09-30,74.97,76.01,73.30,74.31,3582300,74.12
2013-09-23,77.29,77.66,75.43,75.89,3127700,75.47
2013-09-16,76.34,77.90,75.44,77.32,5364500,76.89
2013-09-09,73.59,75.75,73.15,75.30,2984600,74.88
2013-09-03,72.59,74.23,72.14,73.35,3469300,72.94
2013-08-26,73.76,74.47,71.47,71.91,3156900,71.51
2013-08-19,75.12,75.21,73.13,73.65,2847200,73.24
2013-08-12,75.11,76.44,74.62,75.17,3257100,74.75
2013-08-05,75.47,77.27,74.85,75.50,3028800,75.08
2013-07-29,75.16,76.10,73.47,75.69,5159800,75.27
2013-07-22,74.43,76.07,74.21,75.34,4665300,74.92
2013-07-15,78.61,78.63,73.47,74.06,8722200,73.65
2013-07-08,76.91,78.45,75.94,78.33,4897300,77.89
2013-07-01,75.53,76.46,73.91,76.31,4389300,75.88
2013-06-24,72.57,75.43,71.68,74.76,5624200,74.12
2013-06-17,73.69,75.47,72.37,73.31,6185700,72.68
2013-06-10,77.98,78.61,72.72,72.97,6345000,72.34
2013-06-03,75.89,78.12,74.64,78.04,6198900,77.37
2013-05-28,75.91,77.39,75.39,75.71,6406400,75.06
2013-05-20,73.31,77.01,73.22,75.27,7294700,74.62
2013-05-13,70.09,73.38,69.34,73.32,5039300,72.69
2013-05-06,70.22,70.58,69.57,70.08,3989100,69.48
2013-04-29,68.01,71.09,67.60,70.23,4389200,69.62
2013-04-22,67.12,69.05,66.25,67.75,4967700,67.17
2013-04-15,65.53,67.25,63.43,67.24,7810300,66.66
2013-04-10,65.45,65.93,65.18,65.68,6069100,65.11
