Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,126.51,127.28,124.76,126.89,7039200,126.89
2014-03-03,127.18,131.00,126.52,128.54,4451700,128.54
2014-02-24,128.38,130.80,126.21,128.92,5151800,128.92
2014-02-18,130.13,130.94,127.51,128.28,4855500,128.28
2014-02-10,128.96,130.69,126.35,130.16,6171400,130.16
2014-02-03,124.24,127.21,118.77,127.02,8789500,126.31
2014-01-27,136.70,138.46,123.08,125.26,9159200,124.56
2014-01-21,141.46,144.57,136.32,136.65,4494300,135.88
2014-01-13,141.55,142.14,137.80,140.46,4476000,139.67
2014-01-06,139.40,142.80,137.80,141.90,4254600,141.10
2013-12-30,137.16,138.50,135.51,137.62,2760900,136.85
2013-12-23,137.69,138.88,136.14,136.90,2128500,136.13
2013-12-16,134.27,138.10,132.84,136.67,4999300,135.90
2013-12-09,135.49,135.95,131.90,133.83,3595100,133.08
2013-12-02,134.99,135.75,130.55,135.18,4538800,134.42
2013-11-25,134.01,136.30,130.58,134.25,4103500,133.50
2013-11-18,140.25,142.00,131.20,135.97,5947700,135.21
2013-11-11,133.14,136.57,131.10,136.08,3433000,135.32
2013-11-04,133.75,134.58,130.59,133.49,4070000,132.74
2013-10-28,128.75,133.50,128.64,133.03,4380100,131.80
2013-10-21,122.69,131.43,121.06,131.19,5769800,129.98
2013-10-14,117.42,122.86,116.69,122.52,3688500,121.39
2013-10-07,115.51,119.40,113.34,117.98,4651800,116.89
2013-09-30,117.35,118.30,114.73,117.20,3647700,116.12
2013-09-23,117.15,119.89,115.80,118.74,3941200,117.65
2013-09-16,113.73,120.38,113.26,116.63,6772400,115.55
2013-09-09,106.58,111.33,106.56,111.33,3667900,110.30
2013-09-03,105.13,107.38,104.62,106.07,3338200,105.09
2013-08-26,105.75,106.52,102.57,103.92,3098500,102.96
2013-08-19,103.00,105.50,102.88,105.48,3296100,104.51
2013-08-12,104.86,106.55,101.77,103.47,3943700,102.52
2013-08-05,107.14,107.80,104.88,105.33,3797100,104.36
2013-07-29,103.52,107.95,103.50,107.90,4537800,106.42
2013-07-22,107.27,109.49,105.31,105.60,5291400,104.15
2013-07-15,103.83,107.98,103.10,106.96,7395800,105.49
2013-07-08,104.00,108.15,98.99,101.87,12201700,100.47
2013-07-01,102.93,104.20,100.78,104.20,3700400,102.77
2013-06-24,99.06,103.52,96.31,102.44,5284100,101.04
2013-06-17,102.69,104.15,97.42,99.98,5976700,98.61
2013-06-10,102.51,103.22,100.61,101.83,3629800,100.43
2013-06-03,99.36,102.59,98.05,102.49,5051600,101.09
2013-05-28,100.85,101.47,98.90,99.02,4786200,97.66
2013-05-20,99.12,100.58,97.06,100.00,6614400,98.63
2013-05-13,94.12,99.04,94.10,98.92,5091800,97.56
2013-05-06,93.44,95.15,93.36,94.24,4032700,92.95
2013-04-29,91.40,93.95,90.72,93.74,4952400,91.98
2013-04-22,88.08,93.38,86.44,92.85,5657500,91.11
2013-04-15,88.44,88.77,85.75,87.96,4490800,86.31
2013-04-10,87.34,89.46,87.06,88.89,4205900,87.22
