Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,17.27,17.47,17.25,17.47,81732700,17.47
2014-03-03,16.30,17.63,16.19,17.33,128636500,17.33
2014-02-24,16.30,16.65,16.13,16.53,94352900,16.52
2014-02-18,16.70,16.74,16.18,16.29,118293900,16.28
2014-02-10,16.71,16.92,16.60,16.70,96360000,16.69
2014-02-03,16.77,16.88,16.15,16.82,125698900,16.81
2014-01-27,16.37,16.99,16.06,16.75,117650200,16.74
2014-01-21,17.08,17.16,16.45,16.45,105762200,16.44
2014-01-14,16.54,17.42,16.53,17.01,171741200,17.00
2014-01-06,16.63,16.93,16.45,16.83,106755000,16.82
2013-12-30,15.64,16.50,15.51,16.41,98009800,16.40
2013-12-23,15.72,15.79,15.58,15.67,40797200,15.66
2013-12-16,15.22,15.87,15.06,15.60,105703600,15.59
2013-12-09,15.62,15.68,15.12,15.18,74581600,15.17
2013-12-02,15.84,15.97,15.36,15.56,96673800,15.55
2013-11-25,15.67,15.98,15.66,15.82,97097800,15.80
2013-11-18,14.98,15.79,14.86,15.64,133323900,15.62
2013-11-11,14.27,14.95,14.20,14.92,99669700,14.90
2013-11-04,14.09,14.32,13.80,14.32,86117600,14.30
2013-10-28,14.29,14.32,13.96,14.02,79967800,14.00
2013-10-21,14.53,14.63,14.07,14.26,90760900,14.24
2013-10-14,14.06,14.72,14.05,14.63,105005000,14.61
2013-10-07,13.91,14.28,13.68,14.19,87861900,14.17
2013-09-30,13.69,14.10,13.60,14.05,82004300,14.03
2013-09-23,14.31,14.32,13.88,13.90,95850100,13.88
2013-09-16,14.61,14.83,14.40,14.44,98188100,14.42
2013-09-09,14.41,14.69,14.37,14.49,69575100,14.47
2013-09-03,14.30,14.55,14.18,14.36,73125800,14.34
2013-08-26,14.53,14.70,13.99,14.12,87574300,14.09
2013-08-19,14.37,14.69,13.98,14.57,89689000,14.54
2013-08-12,14.36,14.75,14.21,14.42,83879400,14.39
2013-08-05,14.77,14.84,14.25,14.45,87219400,14.42
2013-07-29,14.65,14.97,14.45,14.84,96079200,14.81
2013-07-22,14.74,15.03,14.54,14.73,101389000,14.70
2013-07-15,13.93,14.85,13.76,14.75,168894900,14.72
2013-07-08,13.11,13.80,13.08,13.78,107115300,13.75
2013-07-01,12.95,13.10,12.73,13.06,71396200,13.03
2013-06-24,12.40,13.03,12.13,12.86,122560400,12.84
2013-06-17,13.17,13.40,12.39,12.69,133658900,12.67
2013-06-10,13.49,13.55,12.97,13.07,106664800,13.04
2013-06-03,13.69,13.73,12.85,13.38,155284300,13.35
2013-05-28,13.49,13.99,13.27,13.66,143377400,13.62
2013-05-20,13.39,13.73,12.82,13.24,129851600,13.20
2013-05-13,12.98,13.55,12.95,13.43,122692900,13.39
2013-05-06,12.39,13.18,12.36,13.02,166728700,12.98
2013-04-29,12.45,12.48,12.05,12.24,82813000,12.21
2013-04-22,11.68,12.54,11.57,12.42,117552200,12.39
2013-04-15,12.19,12.36,11.23,11.66,199927400,11.63
2013-04-10,12.31,12.40,12.07,12.17,98095800,12.14
