Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,25.78,26.31,25.53,26.24,7770400,26.24
2014-03-03,26.40,26.67,24.70,25.80,8750900,25.80
2014-02-24,24.75,28.20,24.59,26.63,16587300,26.63
2014-02-18,24.94,25.17,24.58,24.64,5274400,24.64
2014-02-10,24.51,25.66,24.16,24.78,8223500,24.78
2014-02-03,23.54,24.78,22.30,24.55,9056300,24.55
2014-01-27,25.04,25.13,22.15,23.54,11059600,23.54
2014-01-21,24.59,26.34,24.25,25.02,18756600,25.02
2014-01-13,37.80,38.43,24.41,24.43,35444100,24.43
2014-01-06,39.96,40.45,36.86,37.81,7740600,37.81
2013-12-30,40.26,41.00,39.32,40.68,3313600,40.68
2013-12-23,39.76,41.24,39.58,40.17,3136800,40.17
2013-12-16,40.86,42.21,39.64,39.66,5120400,39.66
2013-12-09,41.07,41.93,40.00,40.51,3833100,40.51
2013-12-02,40.59,43.19,40.32,41.05,5953500,41.05
2013-11-25,40.01,40.60,39.23,40.55,4835300,40.38
2013-11-18,43.94,44.35,37.91,39.37,13367100,39.21
2013-11-11,43.44,44.66,42.92,43.69,5328900,43.51
2013-11-04,43.03,44.26,40.85,42.41,5410700,42.24
2013-10-28,43.01,43.85,41.81,42.93,3584800,42.75
2013-10-21,43.01,43.70,42.31,42.77,5259400,42.60
2013-10-14,38.98,43.27,38.80,42.97,8256400,42.79
2013-10-07,37.71,39.64,34.88,39.26,6538600,39.10
2013-09-30,37.27,38.45,36.86,38.15,3430000,37.99
2013-09-23,38.52,39.16,37.45,37.98,4705600,37.82
2013-09-16,38.71,39.28,38.13,38.30,4883400,38.14
2013-09-09,37.22,38.56,37.01,38.28,4094500,38.12
2013-09-03,36.44,37.98,36.44,37.02,6700600,36.87
2013-08-26,35.09,36.65,34.75,36.00,6141300,35.69
2013-08-19,30.47,35.68,30.40,35.08,12693800,34.78
2013-08-12,30.46,32.17,30.33,30.37,4987500,30.11
2013-08-05,31.19,31.73,30.16,30.63,4437700,30.37
2013-07-29,29.50,31.33,28.64,31.30,3460800,31.03
2013-07-22,28.97,29.94,28.65,29.65,2156700,29.39
2013-07-15,29.76,29.92,28.31,28.97,3313000,28.72
2013-07-08,29.94,30.35,28.03,29.73,7001100,29.47
2013-07-01,27.90,29.91,27.72,29.73,6916100,29.47
2013-06-24,26.36,27.96,25.78,27.33,3815200,27.09
2013-06-17,27.02,28.20,26.27,26.77,4891700,26.54
2013-06-10,27.38,28.22,26.63,26.87,5722800,26.64
2013-06-03,28.23,28.37,26.82,27.36,6822600,27.12
2013-05-28,26.27,28.26,26.22,27.55,8867300,27.15
2013-05-20,26.89,27.37,25.17,26.03,9591100,25.65
2013-05-13,25.47,27.15,25.11,26.90,5194900,26.50
2013-05-06,26.47,26.59,24.98,25.37,4598000,25.00
2013-04-29,23.58,26.92,23.30,26.52,9103900,26.13
2013-04-22,23.14,24.38,22.87,23.50,5185500,23.15
2013-04-15,23.91,24.27,22.55,23.25,7188500,22.91
2013-04-10,25.76,25.76,23.42,24.09,13675700,23.74
