Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,143.90,145.86,143.50,145.36,788300,145.36
2014-03-03,143.30,145.55,141.43,143.71,769500,143.71
2014-02-24,141.54,145.62,140.65,144.16,874000,144.16
2014-02-18,139.18,142.24,138.95,141.57,743100,141.57
2014-02-10,130.93,139.39,130.33,139.19,977000,139.19
2014-02-03,129.14,131.20,125.00,131.02,861700,131.02
2014-01-27,132.69,132.71,125.53,129.59,924900,129.59
2014-01-21,136.38,136.89,133.06,133.09,530400,133.09
2014-01-13,133.82,137.00,133.24,135.21,588000,135.21
2014-01-06,130.24,134.85,128.14,134.41,882700,134.20
2013-12-30,133.42,134.76,130.99,131.13,526500,130.93
2013-12-23,132.31,134.10,130.73,133.29,283400,133.08
2013-12-16,133.64,134.62,131.39,132.15,530500,131.95
2013-12-09,137.41,138.44,133.06,133.60,337500,133.39
2013-12-02,139.18,139.64,136.00,137.44,346100,137.23
2013-11-25,140.00,140.98,138.53,138.88,551900,138.67
2013-11-18,139.05,141.02,136.85,139.85,695700,139.63
2013-11-11,137.40,139.15,136.65,139.05,462900,138.84
2013-11-04,136.34,139.25,136.19,137.62,540500,137.41
2013-10-28,134.50,139.94,133.95,136.38,628800,136.17
2013-10-21,124.99,138.79,124.26,134.55,1238900,134.34
2013-10-14,118.30,128.84,118.30,124.50,598900,124.31
2013-10-07,114.99,119.11,113.81,119.08,581700,118.69
2013-09-30,115.36,116.54,113.52,115.86,577100,115.48
2013-09-23,118.55,118.88,115.58,115.74,483500,115.36
2013-09-16,119.72,121.16,118.44,118.45,610100,118.06
2013-09-09,117.80,119.99,116.62,118.62,408900,118.23
2013-09-03,115.33,118.23,113.66,117.81,490500,117.42
2013-08-26,114.58,115.89,112.97,114.87,469600,114.49
2013-08-19,111.83,114.84,111.37,114.51,471000,114.13
2013-08-12,117.03,117.30,111.24,111.82,415900,111.45
2013-08-05,115.77,117.54,115.27,117.37,439500,116.98
2013-07-29,114.05,116.00,113.01,115.77,421900,115.39
2013-07-22,114.00,115.00,110.00,114.46,550500,114.08
2013-07-15,111.90,114.55,110.74,114.17,530000,113.79
2013-07-08,108.75,111.21,107.88,111.16,397200,110.59
2013-07-01,108.54,109.16,106.72,108.41,510200,107.85
2013-06-24,109.54,110.34,107.60,108.68,811300,108.12
2013-06-17,111.78,112.36,108.81,110.10,626600,109.53
2013-06-10,105.16,112.28,103.82,111.04,745600,110.47
2013-06-03,103.22,105.88,102.55,105.40,548100,104.86
2013-05-28,105.75,106.98,103.09,103.09,464900,102.56
2013-05-20,107.18,107.95,104.22,105.14,535400,104.60
2013-05-13,104.24,107.47,104.06,107.41,676100,106.86
2013-05-06,101.55,104.68,99.44,104.61,455400,104.07
2013-04-29,98.69,101.88,98.21,101.57,925800,101.05
2013-04-22,99.61,100.00,97.90,98.55,677700,98.04
2013-04-15,102.92,103.16,97.61,99.53,738500,98.82
2013-04-10,101.98,103.32,101.98,103.05,871500,102.31
