Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,53.81,53.88,52.81,53.20,2394800,53.20
2014-03-03,52.47,54.48,51.50,53.81,4954500,53.81
2014-02-24,52.44,53.80,52.04,53.25,2474600,53.25
2014-02-18,53.16,54.68,52.28,52.48,2217100,52.48
2014-02-10,52.12,53.70,52.06,52.81,3113700,52.81
2014-02-03,51.94,52.25,49.92,52.15,3141400,52.15
2014-01-27,53.69,54.71,50.65,52.01,3247400,52.01
2014-01-21,58.70,58.87,53.57,53.60,2523300,53.60
2014-01-13,57.66,58.75,56.64,58.51,2076000,58.51
2014-01-06,57.63,57.98,56.55,57.80,1967400,57.80
2013-12-30,57.12,57.85,56.41,57.08,1132700,57.08
2013-12-23,56.91,57.44,56.36,57.23,1247000,57.23
2013-12-16,54.41,56.90,53.82,56.25,2636700,56.13
2013-12-09,54.66,55.77,53.57,54.02,2680900,53.91
2013-12-02,55.43,55.96,53.96,54.58,2331500,54.47
2013-11-25,55.72,55.77,55.06,55.39,1292800,55.27
2013-11-18,54.25,55.70,53.35,55.65,1652900,55.53
2013-11-11,52.35,54.60,51.56,54.15,2298000,54.04
2013-11-04,54.08,54.16,50.75,52.27,2506000,52.16
2013-10-28,54.53,55.18,53.76,53.98,2716100,53.87
2013-10-21,53.79,54.98,52.20,54.50,2503500,54.39
2013-10-14,50.80,53.95,50.51,53.85,1927100,53.74
2013-10-07,51.15,51.41,49.49,51.27,2736000,51.16
2013-09-30,50.09,51.73,50.00,51.67,1765700,51.56
2013-09-23,51.65,51.69,50.20,50.82,1949900,50.71
2013-09-16,49.48,54.36,49.31,51.69,4010300,51.48
2013-09-09,47.20,48.72,46.85,48.55,2363600,48.35
2013-09-03,46.68,47.32,45.95,47.11,2566000,46.92
2013-08-26,47.00,47.48,45.06,46.16,2153700,45.97
2013-08-19,46.68,48.14,46.23,46.97,1625600,46.78
2013-08-12,49.00,49.21,46.34,46.68,2149500,46.49
2013-08-05,50.01,50.39,49.02,49.31,1727400,49.11
2013-07-29,49.13,50.33,47.55,49.89,2235000,49.69
2013-07-22,145.86,148.94,47.45,48.66,3302100,48.46
2013-07-15,143.50,147.45,142.50,145.83,2712100,48.41
2013-07-08,138.06,143.59,136.30,143.49,4270800,47.63
2013-07-01,136.90,139.88,136.32,136.95,3289200,45.46
2013-06-24,136.50,139.46,132.65,136.02,4209400,45.16
2013-06-17,147.95,151.15,136.51,137.02,4512100,45.49
2013-06-10,151.00,151.29,142.67,147.13,4046400,48.75
2013-06-03,155.00,157.32,147.71,150.46,4247100,49.85
2013-05-28,164.95,167.20,154.65,154.81,2863200,51.29
2013-05-20,167.94,169.62,159.62,162.94,1936500,53.98
2013-05-13,162.00,168.76,162.00,168.32,1911700,55.77
2013-05-06,156.58,161.31,155.88,161.21,1329900,53.41
2013-04-29,154.07,158.25,152.03,156.41,1777900,51.82
2013-04-22,147.47,154.88,146.05,153.61,1394200,50.89
2013-04-15,154.84,155.00,144.10,146.83,1650800,48.65
2013-04-10,152.51,156.63,152.34,155.27,1506400,51.44
