Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,88.09,88.36,87.64,88.14,381300,88.14
2014-03-03,83.48,88.73,82.63,88.10,532200,88.10
2014-02-24,82.25,84.69,81.67,83.80,520300,83.80
2014-02-18,81.11,81.99,80.32,81.68,359800,81.68
2014-02-10,78.42,81.09,77.59,80.95,434700,80.95
2014-02-03,76.87,78.63,75.54,78.58,514800,78.58
2014-01-27,77.74,79.90,75.26,77.00,626200,77.00
2014-01-21,79.90,80.22,77.75,77.76,464700,77.76
2014-01-13,75.55,80.76,75.55,79.20,752800,79.20
2014-01-06,75.23,75.49,73.44,75.20,514400,75.20
2013-12-30,75.40,75.87,74.01,74.93,257100,74.93
2013-12-23,75.50,75.94,74.33,75.41,172000,75.41
2013-12-16,73.40,75.29,72.50,75.14,346100,75.14
2013-12-09,76.73,76.73,72.92,73.37,348400,73.37
2013-12-02,75.00,76.69,73.40,76.31,424000,76.31
2013-11-25,75.39,76.21,74.96,75.02,184200,75.02
2013-11-18,75.56,76.44,74.10,75.38,180000,75.38
2013-11-11,74.35,75.35,72.99,75.09,207300,75.09
2013-11-04,73.27,74.46,72.11,74.21,284800,74.21
2013-10-28,73.18,74.96,72.52,73.09,338600,73.09
2013-10-21,72.19,73.49,71.23,72.80,241900,72.80
2013-10-14,69.72,73.30,69.56,72.61,436400,72.61
2013-10-07,67.96,70.26,67.25,70.23,328200,70.23
2013-09-30,68.49,69.20,67.51,68.75,429100,68.75
2013-09-23,70.55,70.75,68.41,68.77,271000,68.77
2013-09-16,71.02,72.53,70.12,70.46,677300,70.46
2013-09-09,68.22,70.10,67.94,70.03,274500,70.03
2013-09-03,67.40,68.65,66.41,68.23,420700,68.23
2013-08-26,69.86,70.22,66.83,66.99,384400,66.99
2013-08-19,68.80,70.63,68.36,69.87,244900,69.87
2013-08-12,72.11,72.16,68.68,68.75,277200,68.75
2013-08-05,72.58,73.32,71.99,72.56,296700,72.56
2013-07-29,71.76,73.73,71.44,72.62,333100,72.62
2013-07-22,72.83,73.17,71.10,72.08,187800,72.08
2013-07-15,72.04,73.71,71.65,73.00,358000,73.00
2013-07-08,67.52,72.29,67.48,72.16,382100,72.16
2013-07-01,67.69,68.45,66.84,67.48,300000,67.48
2013-06-24,67.94,69.00,66.97,67.55,336800,67.55
2013-06-17,70.26,71.15,66.44,68.24,338500,68.24
2013-06-10,69.88,71.07,68.28,69.94,248900,69.94
2013-06-03,68.55,70.80,67.88,69.89,397300,69.89
2013-05-28,71.59,72.34,68.82,68.82,304300,68.57
2013-05-20,72.79,72.94,70.50,71.03,214300,70.77
2013-05-13,70.43,74.29,70.22,72.88,271500,72.61
2013-05-06,71.40,71.59,70.14,70.58,225400,70.32
2013-04-29,70.28,71.68,69.35,71.60,256700,71.33
2013-04-22,71.61,71.61,69.54,70.20,209600,69.94
2013-04-15,70.60,71.98,69.75,71.71,336200,71.44
2013-04-10,69.32,71.02,69.04,70.80,209300,70.54
