Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,33.37,33.43,33.19,33.34,3664600,33.34
2014-03-03,31.64,33.56,31.40,33.51,5341600,33.51
2014-02-24,31.13,32.11,31.13,32.00,5020900,32.00
2014-02-18,31.85,31.95,30.82,31.35,4676500,31.35
2014-02-10,31.75,32.27,31.33,31.79,4081600,31.79
2014-02-03,31.89,32.02,30.84,31.79,5870100,31.79
2014-01-27,32.34,32.59,31.66,31.96,5788500,31.96
2014-01-21,32.99,33.44,32.31,32.34,7274100,32.19
2014-01-13,34.19,34.28,32.63,32.70,6580700,32.55
2014-01-06,35.28,35.66,34.05,34.23,5295500,34.07
2013-12-30,34.63,35.34,34.30,34.96,3031000,34.80
2013-12-23,34.09,34.64,33.99,34.50,2064900,34.34
2013-12-16,33.04,34.13,32.84,33.88,4839600,33.72
2013-12-09,33.79,33.87,32.74,32.91,4105700,32.76
2013-12-02,33.79,34.04,33.01,33.62,3801900,33.46
2013-11-25,33.75,34.26,33.62,33.70,3436700,33.54
2013-11-18,33.47,33.77,32.93,33.63,4666100,33.47
2013-11-11,33.20,33.48,32.28,33.42,3716800,33.26
2013-11-04,32.40,33.17,31.95,33.15,5185600,33.00
2013-10-28,31.87,32.49,31.74,32.36,6058700,32.21
2013-10-21,31.45,31.90,31.34,31.83,5284200,31.68
2013-10-14,30.61,31.55,30.45,31.48,5553300,31.18
2013-10-07,30.17,30.95,29.55,30.77,4811200,30.48
2013-09-30,29.97,30.76,29.72,30.50,4863300,30.21
2013-09-23,30.71,30.81,30.06,30.24,3950500,29.96
2013-09-16,31.49,31.91,30.69,30.85,5206400,30.56
2013-09-09,30.55,31.37,30.40,31.11,3069400,30.82
2013-09-03,30.13,30.80,29.93,30.46,4169400,30.17
2013-08-26,30.83,31.00,29.52,29.74,3882100,29.46
2013-08-19,30.52,31.23,30.00,30.85,4134100,30.56
2013-08-12,30.75,31.02,30.11,30.57,3872000,30.28
2013-08-05,31.74,31.83,30.88,30.97,3396400,30.68
2013-07-29,31.67,32.25,31.41,31.80,4380300,31.50
2013-07-22,31.68,32.36,31.35,31.76,4486900,31.46
2013-07-15,30.39,31.82,30.18,31.77,7635600,31.32
2013-07-08,29.45,30.09,28.91,30.06,6264400,29.64
2013-07-01,28.22,29.32,28.01,29.26,5486500,28.85
2013-06-24,28.14,28.80,27.54,28.05,7670700,27.66
2013-06-17,29.37,30.21,28.10,28.45,7583900,28.05
2013-06-10,30.02,30.46,28.89,29.13,4618800,28.72
2013-06-03,30.16,30.49,28.68,29.85,6032400,29.43
2013-05-28,29.90,30.85,29.84,30.06,6841700,29.64
2013-05-20,30.40,30.64,29.24,29.51,5586600,29.10
2013-05-13,28.22,30.56,28.15,30.44,6208600,30.01
2013-05-06,28.37,28.58,28.08,28.29,4676400,27.89
2013-04-29,27.79,28.50,27.62,28.38,4700500,27.98
2013-04-22,27.03,28.07,26.79,27.89,5800400,27.50
2013-04-15,28.35,28.36,26.64,26.99,7978300,26.47
2013-04-10,27.78,29.02,27.78,28.45,5113000,27.90
