Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,55.98,56.19,55.46,55.53,675500,55.53
2014-03-03,54.94,56.33,54.79,56.09,845500,56.09
2014-02-24,54.92,55.84,54.56,55.56,650700,55.56
2014-02-18,54.60,55.56,54.45,54.92,1345500,54.79
2014-02-10,52.68,54.87,52.64,54.63,1207800,54.50
2014-02-03,51.30,52.87,50.22,52.80,1700500,52.68
2014-01-27,48.71,52.74,47.75,51.19,1672800,51.07
2014-01-21,50.73,50.81,48.58,48.60,814000,48.49
2014-01-13,51.76,51.90,50.49,50.53,679300,50.41
2014-01-06,51.65,52.45,51.08,51.93,637800,51.81
2013-12-30,51.54,51.97,51.13,51.65,572800,51.53
2013-12-23,51.09,51.77,50.71,51.58,403700,51.46
2013-12-16,49.98,51.26,49.68,50.93,915400,50.81
2013-12-09,50.04,50.90,49.60,49.91,726500,49.79
2013-12-02,50.01,50.68,49.26,50.05,779200,49.93
2013-11-25,50.19,50.61,49.94,49.98,591700,49.86
2013-11-18,50.16,50.71,49.82,50.01,673900,49.76
2013-11-11,49.54,50.42,48.84,50.17,950900,49.92
2013-11-04,49.06,50.35,48.92,49.50,966200,49.26
2013-10-28,48.62,49.24,48.36,48.88,1096600,48.64
2013-10-21,46.14,48.76,45.27,48.60,1079300,48.36
2013-10-14,45.25,46.24,44.78,46.17,963400,45.94
2013-10-07,44.82,45.50,44.29,45.48,1109200,45.26
2013-09-30,44.65,45.60,44.42,45.19,1044900,44.97
2013-09-23,45.58,46.36,44.70,45.00,852300,44.78
2013-09-16,45.03,46.80,44.98,45.79,935200,45.56
2013-09-09,44.33,45.63,44.25,44.46,609300,44.24
2013-09-03,44.95,45.17,43.94,44.40,540900,44.18
2013-08-26,45.68,45.85,44.23,44.42,653100,44.20
2013-08-19,44.88,46.49,44.75,45.70,1009200,45.34
2013-08-12,44.54,45.51,44.51,45.01,1330700,44.66
2013-08-05,45.74,45.90,43.95,44.67,947300,44.32
2013-07-29,44.93,45.93,44.67,45.85,727100,45.49
2013-07-22,45.18,45.87,44.59,44.95,996200,44.60
2013-07-15,45.34,45.37,44.43,45.17,787200,44.82
2013-07-08,42.63,45.48,42.57,45.38,1021600,45.02
2013-07-01,41.70,42.63,41.61,42.54,720100,42.21
2013-06-24,42.06,42.45,41.52,41.54,1094900,41.21
2013-06-17,43.58,43.89,42.28,42.55,965400,42.22
2013-06-10,43.65,43.66,42.36,43.34,897300,43.00
2013-06-03,43.13,43.67,42.27,43.58,1269900,43.24
2013-05-28,44.73,45.10,43.15,43.16,1453700,42.82
2013-05-20,45.73,46.60,44.29,44.39,1259500,43.91
2013-05-13,45.69,45.93,45.20,45.75,1601100,45.26
2013-05-06,45.11,46.20,45.11,45.97,1090500,45.47
2013-04-29,44.03,46.10,43.72,45.34,1454000,44.85
2013-04-22,46.54,47.61,43.80,44.03,1569200,43.56
2013-04-15,47.33,47.38,45.85,46.43,851500,45.93
2013-04-10,47.62,48.50,47.40,47.89,678600,47.37
