Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,55.88,56.16,55.21,56.14,4327400,56.14
2014-03-03,53.17,57.49,52.91,55.83,7841500,55.83
2014-02-24,54.24,54.92,53.40,53.77,6810700,53.77
2014-02-18,54.24,54.96,53.38,54.14,8899900,54.14
2014-02-10,50.90,54.47,50.62,54.37,8789800,54.37
2014-02-03,50.13,50.37,47.52,50.33,9382300,50.33
2014-01-27,51.08,51.50,49.45,49.97,11881300,49.97
2014-01-21,54.43,55.47,50.31,50.94,14460200,50.94
2014-01-13,55.96,56.83,54.14,54.36,10110800,54.36
2014-01-06,53.07,56.28,52.30,56.18,9592300,56.18
2013-12-30,53.03,53.48,52.14,52.85,4636300,52.85
2013-12-23,53.42,53.80,52.62,53.15,3458600,52.79
2013-12-16,50.79,54.49,50.31,53.37,8754800,53.01
2013-12-09,50.59,52.00,50.11,50.73,6453200,50.39
2013-12-02,51.29,52.00,50.22,50.68,6571600,50.34
2013-11-25,53.39,53.61,51.34,51.38,6272600,51.03
2013-11-18,52.62,53.54,51.31,53.41,6275400,53.05
2013-11-11,52.38,53.24,51.60,52.42,8667900,52.07
2013-11-04,52.71,53.14,51.01,52.35,7353600,52.00
2013-10-28,50.36,53.68,50.31,52.48,12435600,52.13
2013-10-21,49.67,49.92,48.53,48.77,5864900,48.44
2013-10-14,47.37,49.91,47.18,49.72,6396700,49.38
2013-10-07,47.21,47.90,46.16,47.68,5728200,47.36
2013-09-30,45.71,47.55,45.70,47.52,7393000,47.20
2013-09-23,46.61,47.12,45.90,46.20,6496200,45.55
2013-09-16,44.48,47.59,44.37,46.78,9457100,46.12
2013-09-09,41.95,43.76,41.95,43.56,5917900,42.95
2013-09-03,42.01,42.20,41.32,41.89,6402900,41.30
2013-08-26,42.24,42.53,41.37,41.69,5922000,41.10
2013-08-19,41.49,42.34,41.11,42.24,6224200,41.64
2013-08-12,43.39,43.69,41.26,41.68,6702900,41.09
2013-08-05,43.71,44.39,43.39,43.69,5528400,43.07
2013-07-29,44.10,44.32,43.04,43.84,8111200,43.22
2013-07-22,44.26,45.45,43.15,44.22,8155100,43.60
2013-07-15,45.66,45.68,43.53,44.19,7191300,43.57
2013-07-08,44.06,46.14,43.90,45.81,7056000,45.16
2013-07-01,45.06,45.54,42.96,44.18,8317200,43.56
2013-06-24,45.32,46.85,44.68,44.69,9388900,43.72
2013-06-17,46.97,47.08,44.32,45.73,10472400,44.73
2013-06-10,47.60,47.93,46.25,46.80,8307500,45.78
2013-06-03,47.10,49.57,45.77,47.50,17300400,46.46
2013-05-28,47.63,48.83,46.00,46.01,11753700,45.01
2013-05-20,43.36,47.55,43.35,47.40,13919300,46.37
2013-05-13,40.40,45.59,40.26,43.30,18925300,42.36
2013-05-06,40.12,40.49,39.32,40.49,7405900,39.61
2013-04-29,40.13,40.38,39.18,40.20,8590600,39.32
2013-04-22,41.17,42.87,39.72,40.28,10274700,39.40
2013-04-15,41.36,41.50,40.31,41.15,8854700,40.25
2013-04-10,40.84,41.50,40.68,41.42,7243100,40.52
