Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,13.73,13.84,13.43,13.46,8144900,13.46
2014-03-03,12.91,13.74,12.81,13.70,11599400,13.70
2014-02-24,13.14,13.58,12.98,13.10,9640800,13.10
2014-02-18,13.30,13.52,13.00,13.14,9190800,13.14
2014-02-10,13.05,13.44,12.76,13.30,13004300,13.30
2014-02-03,13.55,13.55,12.47,13.10,19802900,13.10
2014-01-27,13.35,13.67,13.04,13.53,10215900,13.53
2014-01-21,13.74,14.08,13.34,13.34,13554300,13.34
2014-01-13,13.07,13.68,12.88,13.51,12644600,13.51
2014-01-06,12.49,13.27,12.20,13.11,12451400,13.11
2013-12-30,12.04,12.08,11.85,11.93,7006000,11.93
2013-12-23,11.84,12.28,11.79,12.06,6889000,12.06
2013-12-16,11.37,11.85,11.24,11.84,11622400,11.84
2013-12-09,11.75,11.89,11.12,11.39,13934500,11.39
2013-12-02,11.61,11.88,11.20,11.85,11362200,11.85
2013-11-25,12.10,12.12,11.55,11.58,8606800,11.58
2013-11-18,11.88,12.15,11.55,12.05,11900300,12.05
2013-11-11,11.90,12.15,11.75,11.89,8672300,11.89
2013-11-04,11.77,12.07,11.60,11.88,11732700,11.88
2013-10-28,11.64,11.88,11.50,11.75,14431700,11.75
2013-10-21,12.25,12.40,11.17,11.62,19622900,11.62
2013-10-14,11.81,12.48,11.75,12.28,14632800,12.28
2013-10-07,11.62,11.91,11.45,11.87,12272000,11.87
2013-09-30,11.38,11.82,11.36,11.69,11905400,11.69
2013-09-23,11.56,11.69,11.36,11.52,8707900,11.52
2013-09-16,11.98,12.05,11.62,11.63,12242900,11.63
2013-09-09,11.51,12.16,11.46,11.84,23353600,11.84
2013-09-03,10.77,11.68,10.68,11.50,23992500,11.50
2013-08-26,11.12,11.39,10.54,10.58,12908000,10.58
2013-08-19,11.07,11.30,10.96,11.14,9750800,11.14
2013-08-12,11.29,11.40,10.92,11.06,12435400,11.06
2013-08-05,11.16,11.44,10.96,11.35,10429800,11.35
2013-07-29,10.96,11.49,10.76,11.24,19290500,11.24
2013-07-22,9.65,11.11,9.60,10.96,29394500,10.96
2013-07-15,9.59,9.80,9.42,9.67,12126700,9.67
2013-07-08,9.19,9.70,9.10,9.61,16567000,9.61
2013-07-01,9.32,9.42,9.05,9.30,16242100,9.30
2013-06-24,9.07,9.45,8.95,9.27,22109100,9.27
2013-06-17,9.54,9.75,9.01,9.14,13975800,9.14
2013-06-10,9.33,9.64,9.26,9.51,10502100,9.51
2013-06-03,9.25,9.43,8.93,9.30,20055100,9.30
2013-05-28,9.19,9.50,9.08,9.24,17041600,9.24
2013-05-20,9.15,9.39,8.92,9.08,25358100,9.08
2013-05-13,8.40,9.18,8.39,9.10,29409900,9.10
2013-05-06,7.69,8.59,7.52,8.45,18413700,8.45
2013-04-29,7.45,7.76,7.41,7.69,11814200,7.69
2013-04-22,7.26,7.66,7.19,7.45,19461400,7.45
2013-04-15,7.63,7.69,7.07,7.27,17616900,7.27
2013-04-10,7.83,7.91,7.61,7.66,21837100,7.66
