Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,16.50,16.50,15.95,16.08,9731900,16.08
2014-03-03,17.34,17.72,16.55,16.69,7336800,16.69
2014-02-24,17.01,17.65,16.73,17.56,6072200,17.56
2014-02-18,16.67,17.40,16.50,16.98,7198100,16.98
2014-02-10,16.43,16.96,16.30,16.65,5256400,16.65
2014-02-03,17.06,17.07,15.77,16.47,8317100,16.47
2014-01-27,17.21,17.51,16.35,17.05,10261700,16.96
2014-01-21,18.01,18.01,16.75,16.87,6761100,16.78
2014-01-13,17.53,18.17,17.29,17.97,5915800,17.88
2014-01-06,18.75,18.80,17.15,17.55,8437200,17.46
2013-12-30,19.38,19.94,18.68,18.78,6796300,18.68
2013-12-23,18.23,19.43,18.13,19.25,4451500,19.15
2013-12-16,18.44,19.26,18.12,18.23,6451100,18.14
2013-12-09,18.59,19.38,18.05,18.41,6058700,18.32
2013-12-02,18.24,19.54,18.05,18.64,7914600,18.54
2013-11-25,18.47,18.74,18.01,18.20,5236000,18.11
2013-11-18,20.05,20.21,18.22,18.45,5929100,18.36
2013-11-11,20.89,21.28,19.58,20.10,6985200,20.00
2013-11-04,20.21,20.99,19.86,20.87,6795700,20.76
2013-10-28,19.12,20.31,19.00,20.05,7415800,19.87
2013-10-21,18.54,19.42,18.35,19.16,6372600,18.98
2013-10-14,17.20,19.58,17.19,18.50,9108400,18.33
2013-10-07,17.13,17.57,16.78,17.40,4519600,17.24
2013-09-30,17.16,17.82,17.09,17.37,4026000,17.21
2013-09-23,18.14,18.40,17.29,17.49,4938400,17.33
2013-09-16,18.24,19.25,18.00,18.16,5377600,17.99
2013-09-09,18.38,19.27,17.92,17.98,6981000,17.81
2013-09-03,17.65,18.60,17.03,18.22,6179300,18.05
2013-08-26,18.24,18.80,17.04,17.20,6095000,17.04
2013-08-19,17.36,17.95,16.55,17.85,5067600,17.69
2013-08-12,17.87,18.48,17.17,17.44,6597100,17.28
2013-08-05,16.07,18.37,15.63,17.90,7804100,17.74
2013-07-29,16.73,17.14,16.01,16.12,5759400,15.89
2013-07-22,16.57,17.85,16.05,16.83,8444200,16.59
2013-07-15,16.01,16.97,15.75,16.48,5009500,16.24
2013-07-08,14.74,16.31,14.66,15.99,7588800,15.76
2013-07-01,14.72,15.07,14.34,14.65,5806200,14.44
2013-06-24,15.70,15.80,14.35,14.64,9147200,14.43
2013-06-17,17.03,17.14,15.82,16.00,7541400,15.77
2013-06-10,18.73,18.77,16.43,16.78,9538300,16.54
2013-06-03,19.77,20.01,18.44,18.74,7124100,18.47
2013-05-28,20.75,21.29,19.56,19.67,9378600,19.39
2013-05-20,20.24,21.85,20.15,20.44,7940800,20.15
2013-05-13,20.77,21.00,19.51,20.21,7537100,19.92
2013-05-06,20.67,21.54,20.36,21.01,6479000,20.71
2013-04-29,19.37,20.94,19.05,20.67,7038600,20.29
2013-04-22,19.20,20.40,18.22,19.17,9212400,18.82
2013-04-15,20.38,20.97,18.56,19.19,11735300,18.84
2013-04-10,21.19,21.38,20.26,20.77,5002300,20.39
