Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,49.16,49.61,49.08,49.57,15397100,49.57
2014-03-03,47.80,50.41,47.55,49.62,25796300,49.62
2014-02-24,48.33,49.48,47.68,48.63,24704300,48.63
2014-02-18,49.54,49.91,47.89,48.26,24657000,48.26
2014-02-10,49.55,50.15,48.83,49.52,21131900,49.52
2014-02-03,47.84,49.39,46.19,49.34,35716200,49.34
2014-01-27,49.10,49.86,47.29,47.43,38368000,47.43
2014-01-21,52.50,53.00,49.08,49.33,35574400,49.32
2014-01-13,54.46,55.17,52.13,52.27,33890100,52.26
2014-01-06,53.62,55.28,53.43,54.72,25524500,54.71
2013-12-30,52.25,53.47,51.81,53.40,16394300,53.39
2013-12-23,52.49,52.69,52.08,52.26,9906800,52.25
2013-12-16,51.39,52.44,50.33,52.21,23842500,52.20
2013-12-09,51.94,52.61,50.27,50.97,21052700,50.96
2013-12-02,52.96,53.41,50.95,51.49,23164600,51.48
2013-11-25,52.49,53.68,52.48,52.92,18574500,52.91
2013-11-18,50.80,52.54,50.57,52.41,22746800,52.40
2013-11-11,49.79,50.78,49.02,50.40,21194100,50.39
2013-11-04,48.84,50.17,48.23,49.94,22923700,49.93
2013-10-28,50.01,50.50,48.61,48.74,19689900,48.73
2013-10-21,51.19,51.57,49.77,50.06,20564300,50.04
2013-10-14,48.83,51.37,48.55,51.15,33647100,51.13
2013-10-07,48.62,49.37,47.60,49.22,22675300,49.20
2013-09-30,48.27,49.19,47.83,49.14,21769400,49.12
2013-09-23,49.95,50.17,48.50,48.89,26331000,48.87
2013-09-16,51.19,52.88,50.74,51.21,24053100,51.19
2013-09-09,49.49,51.53,49.36,50.49,20679400,50.47
2013-09-03,49.37,50.20,48.36,49.22,22562300,49.20
2013-08-26,49.80,50.34,47.64,48.33,23654100,48.31
2013-08-19,50.06,50.33,48.77,49.83,24131200,49.81
2013-08-12,51.00,52.44,50.22,50.35,21639200,50.33
2013-08-05,52.93,53.11,50.80,51.32,17448500,51.30
2013-07-29,51.90,53.20,51.30,53.00,19262200,52.98
2013-07-22,52.38,53.30,51.40,52.21,20303700,52.18
2013-07-15,52.04,52.70,51.01,52.35,36043300,52.32
2013-07-08,48.92,50.84,48.80,50.81,27533700,50.78
2013-07-01,48.50,49.20,46.70,48.53,22692400,48.50
2013-06-24,45.77,48.69,45.06,47.97,35529000,47.94
2013-06-17,49.81,50.39,45.51,46.87,41928500,46.84
2013-06-10,52.00,52.12,48.80,49.22,34802800,49.19
2013-06-03,52.06,52.62,49.63,51.60,33485400,51.57
2013-05-28,51.31,53.56,51.08,51.99,30786000,51.96
2013-05-20,51.46,52.89,49.18,50.52,32443600,50.49
2013-05-13,48.50,51.50,48.40,51.45,28564000,51.42
2013-05-06,46.92,49.46,46.89,48.75,27281800,48.72
2013-04-29,47.19,47.50,45.49,46.97,18919300,46.94
2013-04-22,45.16,47.68,44.52,46.92,22588100,46.88
2013-04-15,46.10,46.78,44.83,45.03,37355200,44.99
2013-04-10,44.23,45.55,44.06,44.78,27145300,44.74
