Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,32.94,33.00,32.66,32.82,1960300,32.82
2014-03-03,33.32,33.62,32.74,32.93,2043300,32.93
2014-02-24,32.58,33.70,32.30,33.50,2637000,33.50
2014-02-18,32.62,33.00,32.23,32.42,3018100,32.42
2014-02-10,32.08,33.15,31.86,32.99,2886500,32.74
2014-02-03,32.00,32.64,30.75,32.17,3047700,31.93
2014-01-27,32.28,32.59,31.81,32.09,3551300,31.85
2014-01-21,34.55,36.22,32.66,32.66,4702400,32.41
2014-01-13,33.97,34.52,33.32,34.43,3371100,34.17
2014-01-06,32.92,34.02,32.78,34.02,2221800,33.76
2013-12-30,33.40,33.79,33.00,33.11,1482000,32.86
2013-12-23,33.19,33.61,33.03,33.43,1983100,33.18
2013-12-16,32.40,33.19,31.61,32.93,3475100,32.68
2013-12-09,32.93,33.20,32.19,32.34,2585400,32.09
2013-12-02,32.97,33.10,32.32,32.85,2517700,32.60
2013-11-25,33.32,33.37,32.81,33.00,1683700,32.75
2013-11-18,32.90,33.14,32.21,33.13,2519500,32.88
2013-11-11,31.97,33.10,31.81,32.85,2657500,32.35
2013-11-04,31.79,32.25,31.42,31.93,2925400,31.45
2013-10-28,31.21,32.06,31.02,31.73,2622200,31.25
2013-10-21,30.04,32.95,30.03,31.40,2956600,30.92
2013-10-14,29.34,30.24,28.79,30.10,2363200,29.64
2013-10-07,29.26,29.62,28.56,29.52,2008000,29.07
2013-09-30,29.83,30.01,29.08,29.57,2548500,29.12
2013-09-23,30.52,30.79,29.94,30.06,2041700,29.60
2013-09-16,30.67,31.00,30.37,30.72,2517600,30.25
2013-09-09,29.65,30.98,29.65,30.39,2888700,29.93
2013-09-03,29.71,29.74,29.03,29.60,2143900,29.15
2013-08-26,30.16,30.25,29.19,29.25,2284200,28.81
2013-08-19,30.45,30.62,29.68,30.24,2737000,29.78
2013-08-12,30.88,31.43,30.54,30.55,2626900,29.84
2013-08-05,30.42,31.07,30.23,30.98,2550800,30.26
2013-07-29,29.64,30.44,29.54,30.39,2648000,29.68
2013-07-22,29.92,30.30,29.26,29.68,3415400,28.99
2013-07-15,29.90,30.00,29.27,29.65,3114200,28.96
2013-07-08,28.60,29.97,28.49,29.92,2740600,29.22
2013-07-01,29.00,29.00,27.75,28.26,2501600,27.60
2013-06-24,27.38,28.92,27.14,28.62,5034100,27.95
2013-06-17,28.39,28.73,27.24,27.52,3562200,26.88
2013-06-10,29.25,29.32,28.13,28.26,3900700,27.60
2013-06-03,27.30,29.83,27.09,29.14,5440800,28.46
2013-05-28,27.65,27.96,27.08,27.32,3868700,26.68
2013-05-20,27.61,27.85,26.92,27.40,3534500,26.76
2013-05-13,26.80,27.69,26.79,27.69,3817700,26.80
2013-05-06,27.82,27.89,25.77,27.22,5446300,26.35
2013-04-29,26.03,27.94,25.99,27.73,3639600,26.84
2013-04-22,24.46,26.20,24.30,25.98,2812000,25.15
2013-04-15,24.91,25.03,24.12,24.36,3106900,23.58
2013-04-10,25.03,25.09,24.62,24.93,2540300,24.13
