Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,72.23,72.63,71.70,72.47,1703800,72.47
2014-03-03,71.07,74.40,70.98,72.30,1938300,72.30
2014-02-24,71.87,72.57,70.96,71.53,1879500,71.53
2014-02-18,70.11,72.04,70.00,71.75,2084100,71.75
2014-02-10,67.30,70.96,66.09,70.27,3158600,70.27
2014-02-03,67.96,68.02,64.78,67.54,2564100,67.54
2014-01-27,65.44,69.39,65.11,68.02,2941800,68.02
2014-01-21,68.47,68.55,65.36,65.42,2704300,65.42
2014-01-13,69.51,69.51,67.56,67.68,2465900,67.68
2014-01-06,66.85,69.34,65.95,69.32,3064900,69.32
2013-12-30,66.95,67.34,65.91,66.79,1278000,66.79
2013-12-23,67.00,67.73,66.43,67.14,915100,66.84
2013-12-16,66.09,66.93,64.62,66.56,2680100,66.26
2013-12-09,64.14,67.75,63.74,65.68,3954400,65.38
2013-12-02,64.36,65.00,62.55,63.93,3158400,63.64
2013-11-25,65.45,65.45,63.98,64.60,1954400,64.31
2013-11-18,64.85,65.45,64.38,65.02,2733700,64.73
2013-11-11,62.15,64.86,62.11,64.84,3171600,64.55
2013-11-04,60.34,62.30,60.03,62.30,5111800,62.02
2013-10-28,56.15,61.18,55.39,60.25,5290100,59.98
2013-10-21,56.12,56.17,54.34,54.95,3449300,54.70
2013-10-14,54.44,56.78,54.23,55.92,1918600,55.67
2013-10-07,53.64,54.97,52.92,54.67,2546100,54.42
2013-09-30,52.00,53.96,51.79,53.85,2827700,53.61
2013-09-23,53.29,53.49,51.64,52.28,1746600,52.04
2013-09-16,53.48,53.92,52.63,53.44,2080000,52.89
2013-09-09,50.59,53.28,50.43,53.02,1889800,52.48
2013-09-03,50.82,51.05,49.65,50.39,1780500,49.87
2013-08-26,51.24,51.40,49.86,50.28,1333800,49.76
2013-08-19,51.10,51.49,50.02,51.24,1591600,50.71
2013-08-12,51.33,52.49,51.17,51.32,2406700,50.79
2013-08-05,51.00,51.78,50.86,51.57,1716900,51.04
2013-07-29,50.78,51.33,49.88,51.11,2171100,50.58
2013-07-22,50.47,51.09,49.33,51.06,1503900,50.54
2013-07-15,49.59,50.53,49.20,50.52,2098800,50.00
2013-07-08,47.82,49.63,47.48,49.61,2096700,49.10
2013-07-01,47.54,47.90,46.52,47.58,1545200,47.09
2013-06-24,47.03,48.15,46.32,47.20,3392400,46.71
2013-06-17,48.09,48.99,46.91,47.23,3164100,46.45
2013-06-10,46.99,48.37,46.44,47.83,2405600,47.04
2013-06-03,47.07,47.49,45.59,46.90,2399300,46.13
2013-05-28,47.47,47.86,46.58,46.96,2111400,46.18
2013-05-20,47.70,48.40,46.60,47.17,2821800,46.39
2013-05-13,46.46,47.79,46.10,47.79,3330100,47.00
2013-05-06,46.05,46.66,45.90,46.36,2652000,45.59
2013-04-29,44.02,46.82,43.62,46.39,3615700,45.62
2013-04-22,43.15,45.92,42.79,43.98,3669500,43.25
2013-04-15,43.42,43.62,42.40,43.07,2660800,42.36
2013-04-10,43.01,43.71,42.83,43.27,2505600,42.56
