Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,87.23,87.66,86.94,87.59,974500,87.09
2014-03-03,86.96,88.21,86.38,87.42,1089100,86.92
2014-02-24,86.95,87.95,85.98,87.48,1239900,86.98
2014-02-18,86.31,87.36,85.55,87.05,1126400,86.55
2014-02-10,84.23,86.20,83.99,86.12,1295600,85.63
2014-02-03,84.40,84.80,82.98,84.37,1687100,83.89
2014-01-27,86.02,87.19,83.32,84.54,2008600,84.05
2014-01-21,87.96,89.75,85.92,85.93,1740100,85.44
2014-01-13,91.39,91.76,89.59,89.77,1780800,89.25
2014-01-06,94.42,94.69,91.16,91.80,1539300,91.27
2013-12-30,95.62,96.82,93.62,93.84,929900,93.30
2013-12-23,94.94,96.16,94.43,95.75,573100,95.20
2013-12-16,93.40,94.90,91.91,94.44,1305700,93.90
2013-12-09,94.98,95.11,92.77,92.98,987700,92.01
2013-12-02,96.35,96.45,92.99,94.85,1246700,93.86
2013-11-25,97.02,97.79,96.40,96.45,648200,95.44
2013-11-18,94.75,96.90,94.22,96.84,737800,95.83
2013-11-11,94.12,94.99,92.55,94.82,869300,93.83
2013-11-04,92.43,94.37,92.22,94.32,873600,93.33
2013-10-28,92.26,93.38,91.83,92.09,908000,91.13
2013-10-21,92.47,94.20,92.00,92.20,1216800,91.24
2013-10-14,89.69,92.83,89.56,92.71,761500,91.74
2013-10-07,88.38,90.28,87.34,90.16,926200,89.22
2013-09-30,89.06,89.71,88.11,88.87,846800,87.94
2013-09-23,89.88,90.55,89.30,89.65,873100,88.71
2013-09-16,88.58,90.70,87.96,89.98,1075400,89.04
2013-09-09,84.36,87.80,84.36,87.61,964800,86.26
2013-09-03,84.14,84.84,83.32,84.30,997200,83.00
2013-08-26,85.20,85.25,82.80,83.17,914700,81.89
2013-08-19,84.71,85.24,83.95,85.15,928300,83.84
2013-08-12,85.38,86.16,84.76,84.98,1076100,83.67
2013-08-05,85.59,86.56,84.81,85.49,1200300,84.18
2013-07-29,87.37,87.72,86.36,87.07,1119700,85.73
2013-07-22,88.64,89.50,85.55,87.23,1079300,85.89
2013-07-15,87.52,88.84,86.75,88.64,1144400,87.28
2013-07-08,86.24,87.80,85.15,87.76,1178900,86.41
2013-07-01,84.97,85.94,84.52,85.94,862900,84.62
2013-06-24,82.37,85.11,81.68,84.65,1456800,83.35
2013-06-17,86.73,88.15,82.68,83.15,1227300,81.87
2013-06-10,87.20,87.75,85.49,86.30,846300,84.55
2013-06-03,86.96,87.24,84.82,86.96,1228900,85.20
2013-05-28,88.82,88.94,86.73,87.10,1151200,85.33
2013-05-20,89.77,89.87,87.13,88.02,955400,86.23
2013-05-13,88.96,90.64,88.73,89.88,853500,88.06
2013-05-06,88.10,90.10,87.92,89.14,835400,87.33
2013-04-29,88.00,88.42,86.96,88.12,1138200,86.33
2013-04-22,88.10,89.98,87.22,87.81,942100,86.03
2013-04-15,88.95,89.10,86.60,87.89,990300,86.11
2013-04-10,88.72,89.50,88.10,89.14,759100,87.33
