Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,67.13,67.43,66.67,66.76,3200700,66.76
2014-03-03,65.82,67.97,64.64,67.40,4406700,67.40
2014-02-24,66.38,67.47,65.17,67.08,4859600,66.96
2014-02-18,65.23,66.60,64.66,66.06,6213400,65.94
2014-02-10,60.55,65.93,60.19,64.96,7699000,64.84
2014-02-03,58.59,61.04,55.71,60.50,7906900,60.39
2014-01-27,58.38,60.17,57.37,58.72,6078000,58.62
2014-01-21,61.23,61.23,58.03,58.39,5293200,58.29
2014-01-13,62.49,62.69,60.03,60.49,5576600,60.38
2014-01-06,63.71,63.84,61.38,62.99,3179000,62.88
2013-12-30,62.99,64.06,62.41,63.14,4954200,63.03
2013-12-23,61.07,63.33,60.82,63.04,3721900,62.93
2013-12-16,58.84,61.23,58.10,60.70,4680600,60.59
2013-12-09,58.96,59.61,57.84,58.42,3297700,58.32
2013-12-02,58.60,59.28,57.52,58.90,3667400,58.68
2013-11-25,58.75,59.02,58.13,58.56,3422300,58.34
2013-11-18,60.64,60.75,58.03,58.63,4257400,58.41
2013-11-11,58.69,61.08,58.21,60.55,4416200,60.32
2013-11-04,60.07,60.91,56.63,58.74,6598700,58.52
2013-10-28,59.89,60.27,57.86,59.94,4556900,59.71
2013-10-21,59.32,60.00,58.88,59.80,3773000,59.57
2013-10-14,55.89,59.44,55.71,59.20,4138300,58.97
2013-10-07,55.57,56.59,53.01,56.25,4039600,56.04
2013-09-30,54.97,56.53,54.80,56.38,3902300,56.17
2013-09-23,56.01,57.04,54.60,55.50,4424500,55.29
2013-09-16,56.14,57.47,55.66,56.08,3707200,55.87
2013-09-09,53.79,55.67,53.44,55.46,3455100,55.25
2013-09-03,52.62,54.81,52.55,53.62,4116200,53.42
2013-08-26,53.19,53.66,50.77,51.10,3186200,50.79
2013-08-19,51.60,53.26,50.51,53.20,3841200,52.88
2013-08-12,53.21,53.90,51.51,51.68,3287100,51.37
2013-08-05,54.21,54.64,53.26,53.55,3068800,53.23
2013-07-29,53.48,55.58,52.10,54.53,5234600,54.20
2013-07-22,52.63,53.78,51.93,53.50,3348800,53.18
2013-07-15,52.78,53.84,52.13,52.50,3987400,52.18
2013-07-08,50.24,52.98,50.19,52.89,4194000,52.57
2013-07-01,48.89,50.39,48.45,50.06,3520800,49.76
2013-06-24,46.37,49.50,45.78,48.87,4956100,48.58
2013-06-17,47.91,49.21,46.40,46.89,6154000,46.61
2013-06-10,48.26,48.53,45.61,47.72,7035800,47.43
2013-06-03,49.50,50.13,47.61,48.03,6224800,47.74
2013-05-28,51.35,51.84,49.50,49.50,4522900,49.08
2013-05-20,51.44,52.46,50.01,50.75,5067700,50.32
2013-05-13,47.56,51.54,47.54,51.53,7401500,51.09
2013-05-06,47.42,47.77,46.67,47.75,4444000,47.34
2013-04-29,46.36,48.30,45.28,47.40,8148400,47.00
2013-04-22,46.27,47.15,45.75,46.27,5571500,45.88
2013-04-15,46.14,46.34,44.52,46.06,5798800,45.67
2013-04-10,46.04,46.96,45.99,46.57,5042800,46.17
