Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,74.54,75.10,74.22,74.74,2257100,74.39
2014-03-03,75.08,75.89,73.12,74.63,2820400,74.28
2014-02-24,74.99,75.91,73.38,75.90,3655200,75.55
2014-02-18,75.14,76.54,73.67,74.88,2225100,74.53
2014-02-10,71.55,75.04,71.55,75.02,2181200,74.67
2014-02-03,70.96,71.73,68.44,71.56,3031400,71.23
2014-01-27,71.31,71.84,70.17,70.96,2902400,70.63
2014-01-21,74.50,75.00,71.36,71.37,4663500,71.04
2014-01-14,71.86,74.76,71.76,74.22,2688800,73.87
2014-01-06,71.56,72.85,71.21,71.77,3581900,71.43
2013-12-30,72.64,73.69,70.91,71.24,2379500,70.91
2013-12-23,72.32,72.93,71.87,72.57,1182300,72.23
2013-12-16,73.77,73.77,70.43,71.98,4175700,71.64
2013-12-09,75.38,76.08,73.59,73.91,1649300,73.56
2013-12-02,74.10,75.43,73.79,75.40,2080800,75.05
2013-11-25,74.20,75.00,73.10,74.23,1895500,73.88
2013-11-18,76.08,76.90,73.22,74.19,1788000,73.84
2013-11-11,74.75,76.36,73.61,76.09,1617700,75.73
2013-11-04,75.43,76.85,72.59,74.54,2539200,74.19
2013-10-28,76.20,76.76,74.01,75.18,3933300,74.83
2013-10-21,74.03,76.72,72.81,76.11,11121200,75.75
2013-10-14,71.05,77.22,70.96,75.96,2327100,75.60
2013-10-07,71.11,71.70,69.87,71.37,1602400,71.04
2013-09-30,72.51,73.21,70.40,70.66,1945500,70.33
2013-09-23,70.41,73.28,70.06,72.71,1705200,72.37
2013-09-16,70.85,71.67,69.28,70.62,2804300,70.29
2013-09-09,72.20,73.51,69.73,69.86,2847100,69.53
2013-09-03,69.32,72.00,68.69,70.55,2258400,70.22
2013-08-26,69.68,70.46,68.44,69.42,1476500,69.10
2013-08-19,67.70,69.87,67.70,69.73,1311800,69.40
2013-08-12,68.37,68.77,66.73,67.91,2203500,67.59
2013-08-05,69.96,70.84,68.11,68.76,1988900,68.44
2013-07-29,73.39,73.92,69.12,69.30,3037300,68.98
2013-07-22,76.89,77.22,73.21,73.35,1904900,73.01
2013-07-15,77.62,78.00,73.87,76.72,2365900,76.36
2013-07-08,72.37,77.57,72.33,77.30,2707200,76.94
2013-07-01,72.50,73.29,71.00,72.21,1892700,71.87
2013-06-24,67.70,73.29,66.95,72.39,3333700,72.05
2013-06-17,70.74,71.68,67.06,68.53,2723900,68.21
2013-06-10,70.35,70.96,67.70,70.34,3090500,70.01
2013-06-03,71.25,71.71,69.24,70.28,3467900,69.95
2013-05-28,74.51,74.98,69.87,71.25,3183200,70.92
2013-05-20,78.02,78.54,72.75,73.72,2324600,73.38
2013-05-13,78.49,81.16,77.22,77.87,1559600,77.51
2013-05-06,78.11,79.61,77.32,78.71,1044600,78.34
2013-04-29,77.54,78.62,76.65,78.23,2019300,77.86
2013-04-22,75.02,79.00,73.24,77.38,2187500,77.02
2013-04-15,73.44,75.11,72.74,75.01,1836500,74.66
2013-04-10,72.49,74.05,72.40,73.39,1297000,73.05
