Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,39.16,39.30,38.78,39.01,2365000,39.01
2014-03-03,38.68,39.66,38.50,39.50,4004700,39.50
2014-02-24,39.28,40.63,39.27,39.66,3418700,39.66
2014-02-18,40.69,40.80,38.85,39.42,3045400,39.42
2014-02-10,39.79,40.77,39.67,40.76,2092200,40.50
2014-02-03,39.42,40.43,37.96,39.91,4416200,39.66
2014-01-27,40.17,40.81,39.02,39.19,4310200,38.94
2014-01-21,41.63,41.70,39.11,39.15,4127600,38.90
2014-01-13,40.99,41.89,40.94,41.36,3964700,41.10
2014-01-06,39.82,41.29,39.11,41.25,4503600,40.99
2013-12-30,40.06,40.47,39.61,39.85,2777700,39.60
2013-12-23,39.45,40.41,39.08,39.89,3506800,39.64
2013-12-16,35.88,39.04,35.88,38.85,8912700,38.61
2013-12-09,35.19,36.07,35.15,35.99,3845300,35.76
2013-12-02,35.90,36.23,34.82,35.34,4141700,35.12
2013-11-25,36.28,36.43,35.75,36.11,3258200,35.88
2013-11-18,35.95,36.34,35.22,36.12,5071600,35.89
2013-11-11,36.03,36.24,34.96,36.00,3433800,35.52
2013-11-04,35.00,36.32,34.93,36.27,3537200,35.79
2013-10-28,34.76,35.01,34.49,34.84,3933200,34.38
2013-10-21,32.75,34.85,32.75,34.63,4782500,34.17
2013-10-14,32.17,33.05,31.84,32.74,3651100,32.31
2013-10-07,32.14,32.34,31.44,32.25,3854900,31.82
2013-09-30,32.77,32.85,32.06,32.43,4648900,32.00
2013-09-23,37.34,37.65,32.49,32.88,13929500,32.44
2013-09-16,37.90,37.96,36.83,37.08,2857800,36.59
2013-09-09,35.97,37.54,35.89,37.43,2972400,36.93
2013-09-03,35.94,36.31,35.11,35.86,3856800,35.38
2013-08-26,37.37,37.82,35.82,36.09,3303000,35.61
2013-08-19,36.42,37.62,35.80,37.37,3242800,36.87
2013-08-12,36.22,37.06,36.18,36.52,2988600,35.79
2013-08-05,38.02,38.04,36.26,36.51,3065400,35.78
2013-07-29,37.18,37.83,36.87,37.70,3187100,36.94
2013-07-22,36.76,37.38,36.34,37.36,3454600,36.61
2013-07-15,36.11,36.88,35.75,36.63,2682200,35.89
2013-07-08,35.33,36.10,34.90,36.06,2595700,35.34
2013-07-01,34.56,35.23,34.44,35.19,2819300,34.48
2013-06-24,33.06,35.06,32.50,34.29,7011900,33.60
2013-06-17,33.96,34.31,33.14,33.43,5605900,32.76
2013-06-10,32.68,33.98,32.07,33.84,4364800,33.16
2013-06-03,32.73,32.86,32.06,32.71,5752300,32.05
2013-05-28,33.07,33.74,32.78,33.10,4845400,32.44
2013-05-20,35.05,35.41,32.51,32.88,9287600,32.22
2013-05-13,34.82,35.31,34.62,35.00,3141800,34.04
2013-05-06,35.38,35.74,34.94,35.12,2816300,34.16
2013-04-29,34.54,35.52,33.86,35.34,4020100,34.37
2013-04-22,33.37,34.87,32.93,34.46,4862500,33.52
2013-04-15,33.88,34.00,32.95,33.39,4768800,32.48
2013-04-10,34.02,34.23,33.80,34.13,2970000,33.20
