Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,260.90,265.66,257.64,264.48,891700,264.48
2014-03-03,253.01,267.76,252.54,261.09,1194000,261.09
2014-02-24,242.22,251.30,242.22,250.90,932500,250.90
2014-02-18,231.00,249.60,222.32,242.97,1798400,242.97
2014-02-10,233.87,237.67,226.49,231.65,1396800,231.65
2014-02-03,231.34,234.38,220.12,234.06,792400,233.05
2014-01-27,233.05,236.18,227.51,230.86,837600,229.86
2014-01-21,247.20,249.05,232.64,232.68,717800,231.67
2014-01-13,245.20,249.10,243.49,245.81,721300,244.75
2014-01-06,233.16,246.95,225.60,246.16,1105200,245.09
2013-12-30,231.64,236.80,228.22,232.08,501800,231.08
2013-12-23,229.75,234.50,228.09,231.13,336600,230.13
2013-12-16,226.91,230.41,222.51,228.00,775200,227.01
2013-12-09,233.09,234.11,225.19,225.55,608000,224.57
2013-12-02,217.86,239.40,213.70,233.09,1561400,232.08
2013-11-25,214.98,219.91,212.72,217.38,466800,216.44
2013-11-18,219.06,220.25,213.38,215.19,517900,214.26
2013-11-11,219.86,221.48,216.00,218.90,724400,217.95
2013-11-04,216.05,219.73,207.28,219.36,1186300,217.41
2013-10-28,217.00,220.63,213.30,214.94,682800,213.03
2013-10-21,215.62,217.66,206.75,209.62,773700,207.76
2013-10-14,204.69,216.44,203.79,215.16,781900,213.25
2013-10-07,214.49,217.19,203.04,204.55,839100,202.73
2013-09-30,208.81,216.70,206.80,216.38,774900,214.46
2013-09-23,208.15,216.49,206.71,210.48,847400,208.61
2013-09-16,197.00,210.67,194.32,208.17,1190600,206.32
2013-09-09,195.30,199.95,191.63,193.83,799300,192.11
2013-09-03,192.46,196.26,189.44,194.19,563500,192.46
2013-08-26,195.73,200.78,188.27,190.34,639400,188.65
2013-08-19,187.84,194.74,185.63,194.30,682100,192.57
2013-08-12,187.16,191.35,185.67,187.84,901600,186.17
2013-08-05,193.01,195.22,185.11,188.25,1250300,186.18
2013-07-29,180.36,203.44,179.31,193.34,2679400,191.22
2013-07-22,184.17,185.58,177.52,181.00,625500,179.01
2013-07-15,184.64,185.81,179.99,183.92,663200,181.90
2013-07-08,176.51,187.60,175.98,184.14,864600,182.12
2013-07-01,173.22,176.26,169.33,175.45,1054800,173.52
2013-06-24,180.19,180.19,171.50,171.50,1294500,169.62
2013-06-17,185.35,191.52,181.00,182.67,1158700,180.67
2013-06-10,195.28,196.25,181.68,184.56,830100,182.53
2013-06-03,191.59,195.76,189.20,194.42,844000,192.29
2013-05-28,189.43,195.45,187.60,190.96,741300,188.86
2013-05-20,189.65,194.11,184.85,186.73,776800,184.68
2013-05-13,193.66,194.36,188.62,190.52,868700,188.43
2013-05-06,184.53,197.38,183.63,194.97,1087500,192.43
2013-04-29,187.75,188.92,181.42,184.00,886800,181.60
2013-04-22,178.83,193.67,175.60,185.75,1065800,183.33
2013-04-15,180.53,181.17,170.53,179.15,1264600,176.82
2013-04-10,191.50,192.17,180.92,182.24,1379100,179.87
