Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,25.80,25.83,25.52,25.63,7081300,25.63
2014-03-03,25.71,26.23,25.33,25.85,8858800,25.85
2014-02-24,26.78,27.46,24.75,25.91,14195400,25.91
2014-02-18,25.28,26.93,25.18,26.57,10271900,26.57
2014-02-10,24.51,25.32,24.07,25.14,9941600,25.14
2014-02-03,26.85,27.09,23.92,24.59,17177200,24.59
2014-01-27,26.84,27.55,25.75,26.91,8424800,26.91
2014-01-21,25.90,27.30,25.85,26.88,9760600,26.88
2014-01-13,25.61,26.05,25.04,25.45,9173800,25.45
2014-01-06,26.51,26.54,25.41,25.71,8427800,25.62
2013-12-30,27.55,27.82,26.12,26.42,6889600,26.33
2013-12-23,27.28,27.73,27.20,27.49,4474900,27.40
2013-12-16,27.01,27.39,26.22,27.11,9160800,27.02
2013-12-09,26.54,27.10,26.27,27.00,6576100,26.91
2013-12-02,26.99,27.34,26.29,26.48,9044900,26.39
2013-11-25,26.33,27.02,25.78,26.87,7549500,26.78
2013-11-18,25.94,26.61,25.06,26.30,9137400,26.21
2013-11-11,25.76,26.18,25.35,25.88,8818600,25.79
2013-11-04,28.00,29.06,25.19,25.71,16480800,25.62
2013-10-28,28.26,28.65,27.55,28.00,6823800,27.90
2013-10-21,28.30,28.71,27.21,28.47,10281000,28.37
2013-10-14,26.25,28.61,26.15,28.25,12162100,28.15
2013-10-07,26.16,26.73,25.65,26.47,7593900,26.38
2013-09-30,25.92,26.67,25.63,26.50,5642800,26.32
2013-09-23,26.52,26.68,26.07,26.21,6435900,26.03
2013-09-16,26.86,27.46,26.47,26.58,9332600,26.40
2013-09-09,26.10,27.29,26.04,26.67,12047500,26.49
2013-09-03,26.07,26.41,25.93,26.03,7525900,25.85
2013-08-26,26.32,26.63,25.74,25.81,8631800,25.64
2013-08-19,25.58,26.26,24.65,26.23,10108200,26.05
2013-08-12,24.89,25.30,24.53,25.00,9802200,24.83
2013-08-05,24.93,25.64,24.39,25.00,11438800,24.83
2013-07-29,22.73,25.30,22.61,24.95,17665100,24.78
2013-07-22,22.55,22.86,22.09,22.85,7345800,22.70
2013-07-15,21.33,22.59,21.19,22.58,7360600,22.43
2013-07-08,21.16,21.70,20.89,21.24,7057300,21.10
2013-07-01,20.46,21.24,20.30,21.04,7399600,20.81
2013-06-24,19.83,20.90,19.32,20.38,11750100,20.16
2013-06-17,20.89,21.44,19.80,20.22,10078400,20.00
2013-06-10,22.08,22.13,20.50,20.68,12942200,20.46
2013-06-03,21.98,22.28,21.19,22.00,11541900,21.76
2013-05-28,21.90,22.86,21.83,21.84,17479300,21.60
2013-05-20,20.45,21.78,20.27,21.67,17101600,21.44
2013-05-13,20.15,20.96,19.78,20.27,12559600,20.05
2013-05-06,19.23,20.25,18.92,20.15,10280800,19.93
2013-04-29,19.27,19.98,18.85,19.25,10431600,19.04
2013-04-22,18.59,19.64,18.34,19.25,6933700,19.04
2013-04-15,19.40,19.42,18.21,18.59,10755200,18.39
2013-04-10,20.24,20.55,19.58,19.68,8128500,19.47
