Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,52.35,52.67,52.04,52.57,1005000,52.57
2014-03-03,51.67,52.81,51.32,52.27,1550700,52.27
2014-02-24,54.19,54.48,51.62,51.86,1867000,51.51
2014-02-18,54.72,55.17,53.45,54.12,1594800,53.76
2014-02-10,52.38,54.68,52.30,54.64,1812800,54.27
2014-02-03,57.91,58.88,52.01,52.39,4615600,52.04
2014-01-27,57.36,58.91,56.52,58.54,1836200,58.15
2014-01-21,59.49,60.31,57.18,57.21,1949000,56.83
2014-01-13,57.45,59.69,57.03,59.13,1813200,58.73
2014-01-06,57.65,58.27,56.10,57.70,1717000,57.31
2013-12-30,57.18,58.55,57.07,57.28,1260500,56.90
2013-12-23,56.87,57.78,56.51,57.72,1672100,57.33
2013-12-16,56.64,57.10,55.92,56.54,2546900,56.16
2013-12-09,58.08,58.36,56.11,56.40,1943400,56.02
2013-12-02,58.81,59.11,57.34,57.89,1830000,57.15
2013-11-25,58.94,59.17,58.45,58.65,1189300,57.90
2013-11-18,60.08,60.65,57.39,58.68,2340500,57.93
2013-11-11,59.51,60.44,58.54,59.98,1963000,59.21
2013-11-04,60.68,61.94,58.88,59.66,2509100,58.90
2013-10-28,60.88,61.26,59.50,59.94,1689100,59.17
2013-10-21,60.33,61.67,59.88,60.76,1361500,59.98
2013-10-14,58.75,60.50,58.45,60.21,1295800,59.44
2013-10-07,57.47,58.97,57.10,58.90,1332700,58.15
2013-09-30,59.56,60.12,57.35,58.48,1641500,57.73
2013-09-23,61.87,62.14,60.38,60.45,1310400,59.68
2013-09-16,59.77,62.46,59.69,62.09,1625700,61.30
2013-09-09,57.83,60.24,57.83,59.13,1314300,58.37
2013-09-03,57.46,58.17,56.65,57.70,1198100,56.96
2013-08-26,57.90,60.57,56.67,56.87,1416200,55.80
2013-08-19,56.16,57.29,55.67,57.20,833100,56.12
2013-08-12,56.59,57.17,55.26,56.13,937400,55.07
2013-08-05,59.58,60.20,55.60,56.79,1834200,55.72
2013-07-29,59.06,61.35,58.84,59.71,953300,58.59
2013-07-22,61.12,61.13,58.49,59.39,740100,58.27
2013-07-15,57.94,60.93,57.87,60.60,1151800,59.46
2013-07-08,57.53,59.19,57.35,57.83,961600,56.74
2013-07-01,56.86,57.41,55.89,57.40,707200,56.32
2013-06-24,54.56,56.57,53.74,56.31,1713700,55.25
2013-06-17,56.96,57.58,54.48,54.79,2172600,53.76
2013-06-10,56.12,57.20,55.84,56.50,1124600,55.44
2013-06-03,56.73,57.55,55.88,57.16,1179600,56.08
2013-05-28,59.50,59.58,56.45,56.70,1528000,55.29
2013-05-20,58.09,60.10,58.08,58.70,1290200,57.24
2013-05-13,56.47,58.40,55.80,58.32,1203900,56.87
2013-05-06,60.41,61.91,55.73,57.00,3371400,55.58
2013-04-29,58.49,60.73,58.40,60.47,1144700,58.97
2013-04-22,56.55,58.76,56.02,58.44,1069900,56.99
2013-04-15,58.95,58.95,55.68,56.33,1329400,54.93
2013-04-10,60.43,61.11,57.74,59.00,1604600,57.53
