Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,62.94,63.20,62.86,63.05,1955500,63.05
2014-03-03,62.23,63.26,62.00,63.13,2542400,63.13
2014-02-24,61.81,63.15,61.58,62.83,3211900,62.83
2014-02-18,62.86,62.86,61.35,61.56,3033500,61.56
2014-02-10,60.84,62.90,60.81,62.68,3666400,62.68
2014-02-03,61.22,61.30,59.75,60.86,5182400,60.86
2014-01-27,62.47,63.81,60.00,61.23,5196900,61.23
2014-01-21,65.05,65.41,62.39,62.39,3461200,62.39
2014-01-13,64.90,65.39,64.35,64.70,2896400,64.36
2014-01-06,64.44,65.46,63.41,65.08,3304900,64.74
2013-12-30,65.43,65.61,63.99,64.18,2209500,63.84
2013-12-23,64.92,65.45,64.35,65.37,1768700,65.03
2013-12-16,64.14,65.05,62.80,64.74,3417300,64.40
2013-12-09,65.73,65.99,63.64,63.98,2809800,63.64
2013-12-02,65.64,65.96,64.32,65.66,2370200,65.32
2013-11-25,66.42,66.49,65.44,65.81,2022800,65.46
2013-11-18,65.80,66.42,64.95,66.26,2561700,65.91
2013-11-11,64.90,65.97,64.00,65.78,2655200,65.43
2013-11-04,65.56,66.05,64.13,64.83,3203500,64.49
2013-10-28,63.69,66.04,63.66,65.39,3810100,65.05
2013-10-21,62.76,63.76,61.86,63.60,4127100,63.27
2013-10-14,61.15,63.63,61.06,62.81,3403600,62.48
2013-10-07,59.01,61.47,58.88,61.45,3571100,60.80
2013-09-30,60.16,60.54,58.72,59.33,3075700,58.70
2013-09-23,60.45,60.47,59.29,59.93,2576700,59.30
2013-09-16,59.78,61.28,59.34,60.44,3270500,59.80
2013-09-09,58.00,59.69,58.00,59.43,2026200,58.80
2013-09-03,58.35,58.39,57.26,58.00,2921400,57.39
2013-08-26,59.08,59.25,56.94,57.77,2702300,57.16
2013-08-19,59.28,59.62,58.25,59.03,2619700,58.41
2013-08-12,60.30,61.20,59.12,59.47,2606800,58.84
2013-08-05,60.49,61.50,60.46,60.68,2498800,60.04
2013-07-29,59.99,60.82,59.85,60.53,3087400,59.89
2013-07-22,58.76,60.26,58.20,60.25,3489200,59.61
2013-07-15,59.24,59.27,58.07,58.88,3124500,58.26
2013-07-08,57.98,59.36,57.98,59.14,2957200,58.18
2013-07-01,57.60,58.66,57.11,57.86,3006900,56.92
2013-06-24,56.28,57.83,55.47,57.29,4238600,56.36
2013-06-17,59.10,59.92,55.69,56.81,4939400,55.88
2013-06-10,59.28,59.50,57.19,58.82,2601900,57.86
2013-06-03,57.91,59.22,57.07,59.10,3318900,58.14
2013-05-28,61.86,62.25,57.83,57.84,3723200,56.90
2013-05-20,62.04,62.13,60.48,61.17,2638600,60.17
2013-05-13,120.80,124.74,61.33,62.04,3931000,61.03
2013-05-06,121.15,121.27,119.79,120.72,2411000,59.38
2013-04-29,119.25,121.56,118.32,121.15,2570800,59.59
2013-04-22,119.64,122.40,117.69,118.99,4250700,58.52
2013-04-15,118.00,119.89,116.87,119.72,3084000,58.88
2013-04-10,117.46,119.24,117.30,118.37,2243300,57.89
