Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,18.10,18.28,17.40,17.95,12232100,17.95
2014-03-03,19.75,19.78,18.50,18.65,8856800,18.65
2014-02-24,21.89,21.91,19.59,20.03,8648700,20.03
2014-02-18,23.44,23.49,21.08,21.97,7551000,21.97
2014-02-10,21.03,23.53,20.40,23.16,9612100,23.01
2014-02-03,19.40,21.00,18.42,20.82,9046200,20.68
2014-01-27,19.48,21.90,18.72,19.32,15466500,19.19
2014-01-21,22.04,22.07,19.18,19.33,10756400,19.20
2014-01-13,22.83,23.63,22.08,22.43,7555900,22.28
2014-01-06,24.83,25.13,22.73,22.83,9189700,22.68
2013-12-30,26.72,27.13,24.93,25.05,7416600,24.89
2013-12-23,24.26,26.62,24.02,26.53,5742500,26.36
2013-12-16,23.59,25.17,23.21,24.21,7379300,24.05
2013-12-09,24.51,25.46,23.27,23.51,5762900,23.36
2013-12-02,25.08,25.69,24.30,24.57,6113100,24.41
2013-11-25,25.80,26.18,24.20,25.01,5299200,24.85
2013-11-18,27.77,28.23,25.40,26.04,7555100,25.87
2013-11-11,27.28,27.86,25.90,27.51,6868500,27.18
2013-11-04,27.60,28.98,26.41,27.34,9294100,27.01
2013-10-28,24.94,27.77,24.14,27.34,10321200,27.01
2013-10-21,23.56,25.63,23.03,24.99,10774300,24.69
2013-10-14,21.30,23.50,21.17,23.02,7024700,22.74
2013-10-07,21.06,21.66,19.88,21.43,6371500,21.17
2013-09-30,20.09,21.84,19.99,21.45,5928000,21.19
2013-09-23,22.12,22.53,20.80,21.00,5882800,20.75
2013-09-16,22.58,24.05,21.88,21.98,8298000,21.72
2013-09-09,22.12,24.10,21.70,22.07,7621800,21.81
2013-09-03,21.71,22.36,20.97,21.85,5975500,21.59
2013-08-26,22.45,23.39,20.76,20.87,6251100,20.62
2013-08-19,22.41,23.10,21.00,22.37,7428100,22.10
2013-08-12,24.90,25.95,22.54,22.83,11266600,22.56
2013-08-05,20.75,24.75,19.91,24.35,10168800,23.91
2013-07-29,19.61,20.66,19.27,20.58,8285200,20.21
2013-07-22,18.09,20.05,17.98,19.71,10550700,19.35
2013-07-15,17.05,18.09,16.91,17.77,5102300,17.45
2013-07-08,15.71,17.66,15.62,16.86,8303400,16.56
2013-07-01,16.46,16.88,15.41,15.68,6613400,15.40
2013-06-24,16.80,16.83,15.50,16.25,8914100,15.96
2013-06-17,17.94,19.00,16.88,17.19,12018000,16.88
2013-06-10,17.83,19.50,17.20,17.74,10642700,17.42
2013-06-03,18.14,19.31,17.88,17.94,10283600,17.62
2013-05-28,20.60,20.65,18.04,18.04,13183900,17.71
2013-05-20,20.52,21.96,20.20,20.37,9914600,20.00
2013-05-13,23.43,23.75,19.91,20.69,10048800,20.32
2013-05-06,20.80,23.58,20.36,23.53,13478300,22.95
2013-04-29,20.36,21.98,19.02,19.91,11491300,19.42
2013-04-22,17.55,22.00,16.74,20.17,17055600,19.67
2013-04-15,18.69,18.78,16.96,17.63,12815600,17.20
2013-04-10,20.71,21.12,18.92,19.20,14692900,18.73
