Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,86.42,86.87,86.32,86.71,670500,86.71
2014-03-03,86.61,87.65,86.06,86.44,1021200,86.44
2014-02-24,86.83,87.76,85.89,87.28,1055400,87.28
2014-02-18,88.07,88.12,86.66,87.01,1000800,87.01
2014-02-10,85.44,88.57,85.12,88.11,988700,88.11
2014-02-03,88.51,88.66,83.70,85.63,1949900,85.63
2014-01-27,88.17,88.90,86.34,88.27,1412800,88.27
2014-01-21,90.59,91.41,88.60,88.83,1439300,88.12
2014-01-13,89.25,90.24,88.60,89.97,1600000,89.25
2014-01-06,91.88,92.17,88.70,89.28,1649500,88.57
2013-12-30,92.96,93.85,90.65,91.49,932000,90.76
2013-12-23,93.17,93.50,92.27,93.28,509900,92.53
2013-12-16,93.54,94.25,91.54,92.96,1071600,92.22
2013-12-09,95.86,96.76,92.94,93.25,1119200,92.50
2013-12-02,93.43,95.90,92.07,95.83,1432900,95.06
2013-11-25,92.64,93.76,92.22,93.17,897900,92.43
2013-11-18,93.80,94.11,92.00,93.70,1067900,92.95
2013-11-11,89.80,93.61,89.77,93.60,1111100,92.85
2013-11-04,89.95,92.19,88.79,89.88,1336600,89.16
2013-10-28,87.80,92.00,87.80,89.61,2102300,88.89
2013-10-21,85.58,88.97,85.10,88.64,1066300,87.23
2013-10-14,83.90,86.00,83.52,85.75,1236500,84.38
2013-10-07,81.44,84.32,80.20,84.31,1097200,82.97
2013-09-30,81.84,83.75,81.25,81.57,1365000,80.27
2013-09-23,82.50,84.20,81.75,82.21,954300,80.90
2013-09-16,84.48,84.97,82.46,82.60,1458200,81.28
2013-09-09,82.34,84.36,82.34,83.91,611300,82.57
2013-09-03,83.25,83.46,81.72,82.33,713900,81.02
2013-08-26,84.30,84.42,81.54,82.70,776100,81.38
2013-08-19,83.90,84.80,82.92,84.29,634700,82.95
2013-08-12,85.53,86.64,83.97,84.09,758000,82.75
2013-08-05,85.17,86.67,84.99,85.98,807400,84.61
2013-07-29,85.80,86.93,83.89,85.32,1132500,83.96
2013-07-22,86.47,86.56,84.72,85.97,725100,84.60
2013-07-15,86.07,87.60,85.51,87.45,1743000,85.36
2013-07-08,84.23,85.90,83.59,85.84,1064400,83.79
2013-07-01,83.53,84.17,82.53,83.82,609100,81.81
2013-06-24,81.83,84.50,81.30,83.14,968000,81.15
2013-06-17,85.77,86.61,81.12,82.58,932400,80.60
2013-06-10,84.59,85.64,83.73,85.39,509600,83.35
2013-06-03,83.15,84.85,82.10,84.47,954400,82.45
2013-05-28,87.28,87.68,83.08,83.08,890700,81.09
2013-05-20,87.37,87.40,85.36,86.61,685400,84.54
2013-05-13,86.05,88.25,85.64,87.37,898600,85.28
2013-05-06,86.19,86.47,85.15,86.15,837800,84.09
2013-04-29,87.24,87.59,84.70,86.19,1337300,84.13
2013-04-22,89.06,89.98,86.38,86.67,938600,84.60
2013-04-15,88.41,90.10,87.61,89.53,916900,86.76
2013-04-10,86.94,89.14,86.83,88.76,720900,86.02
