Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,48.85,49.91,48.85,49.90,1326000,49.71
2014-03-03,47.64,49.88,47.35,49.49,1331100,49.30
2014-02-24,46.69,48.50,46.69,48.18,1296200,47.99
2014-02-18,47.68,47.92,45.96,46.74,1601800,46.56
2014-02-10,45.67,47.92,45.40,47.63,1044600,47.45
2014-02-03,45.75,46.21,43.96,45.75,1642500,45.57
2014-01-27,47.23,47.54,45.73,45.80,1484700,45.62
2014-01-21,48.54,49.95,47.21,47.23,1951400,47.05
2014-01-13,47.80,49.95,47.02,47.65,1345800,47.47
2014-01-06,47.32,48.19,46.96,47.80,1184300,47.62
2013-12-30,47.46,47.81,46.84,47.08,985400,46.90
2013-12-23,46.83,48.69,46.74,47.47,896900,47.29
2013-12-16,45.35,46.94,45.12,46.73,1868000,46.55
2013-12-09,45.89,46.25,44.80,45.04,1183600,44.87
2013-12-02,45.43,45.94,44.57,45.85,1049200,45.50
2013-11-25,45.76,46.08,45.32,45.35,779500,45.01
2013-11-18,44.90,45.60,44.44,45.59,1070300,45.25
2013-11-11,45.15,45.23,44.07,44.90,1408600,44.56
2013-11-04,43.12,45.21,43.09,45.20,1661300,44.86
2013-10-28,42.68,43.91,42.55,43.04,2041100,42.72
2013-10-21,42.10,42.85,41.80,42.72,1586700,42.40
2013-10-14,40.36,42.19,40.30,42.06,1607700,41.74
2013-10-07,39.30,40.74,38.64,40.63,1677300,40.32
2013-09-30,38.81,39.89,38.56,39.62,1486400,39.32
2013-09-23,39.61,39.92,38.87,39.19,1266000,38.89
2013-09-16,40.97,41.64,38.99,39.73,2762700,39.43
2013-09-09,40.69,41.58,39.95,40.51,1708900,40.20
2013-09-03,41.33,41.79,40.38,41.25,1773300,40.77
2013-08-26,42.78,42.95,40.45,40.84,1244000,40.36
2013-08-19,42.37,43.44,41.87,42.83,816100,42.33
2013-08-12,42.09,42.89,41.77,42.57,1044100,42.07
2013-08-05,43.03,43.34,42.09,42.32,971000,41.83
2013-07-29,42.31,43.49,41.84,43.12,1251700,42.62
2013-07-22,42.21,43.19,41.97,42.38,1460100,41.89
2013-07-15,41.81,42.30,40.21,42.18,1894200,41.69
2013-07-08,42.71,43.00,40.44,41.69,2748200,41.20
2013-07-01,40.04,42.57,39.98,42.57,1997700,42.07
2013-06-24,38.22,40.28,37.74,39.83,2483000,39.37
2013-06-17,37.67,38.84,37.00,38.64,2921800,38.19
2013-06-10,38.78,39.12,37.18,37.35,1681400,36.92
2013-06-03,39.56,39.78,37.78,38.86,2102800,38.24
2013-05-28,39.50,40.43,39.10,39.49,2096000,38.86
2013-05-20,39.79,40.44,38.02,38.96,2465900,38.33
2013-05-13,37.90,40.02,37.86,39.88,1767500,39.24
2013-05-06,36.72,38.12,36.62,37.95,1560100,37.34
2013-04-29,36.03,37.10,35.72,37.07,1735200,36.48
2013-04-22,34.90,36.45,34.32,35.91,1855400,35.33
2013-04-15,34.83,35.09,33.90,34.86,2238600,34.30
2013-04-10,35.01,35.73,34.90,35.05,1288400,34.49
