Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,51.67,51.89,51.31,51.52,9942500,51.52
2014-03-03,51.08,52.37,50.61,51.63,14421200,51.63
2014-02-24,51.72,52.08,50.19,51.69,17796600,51.69
2014-02-18,53.96,53.97,51.00,51.05,27566100,51.05
2014-02-10,54.77,55.28,52.77,53.70,28397000,53.70
2014-02-03,54.74,54.96,52.19,54.64,11991900,54.64
2014-01-27,52.51,54.70,51.85,54.45,16246100,54.45
2014-01-21,54.05,54.31,52.18,52.40,10087000,52.40
2014-01-13,53.51,54.65,51.98,53.54,11434900,53.54
2014-01-06,51.13,53.72,50.67,53.54,12710700,53.54
2013-12-30,51.56,52.09,50.85,51.07,7839300,51.07
2013-12-23,51.00,51.80,50.72,51.79,5181900,51.79
2013-12-16,49.44,51.30,48.70,50.94,11398700,50.94
2013-12-09,49.44,49.57,48.50,49.01,9203100,49.01
2013-12-02,49.82,49.90,48.21,49.27,10723000,49.27
2013-11-25,49.48,50.75,49.34,49.87,11059900,49.87
2013-11-18,47.64,49.95,46.76,49.52,11452100,49.52
2013-11-11,47.95,48.18,46.58,47.73,8230100,47.73
2013-11-04,48.67,48.90,46.91,48.18,8445600,48.18
2013-10-28,48.35,48.76,46.58,48.65,12867000,48.65
2013-10-21,46.91,48.19,46.80,48.17,8688700,48.17
2013-10-14,45.95,47.50,45.82,47.04,10576900,47.04
2013-10-07,45.13,46.23,44.09,46.06,9299800,46.06
2013-09-30,44.23,45.85,44.23,45.64,12321400,45.64
2013-09-23,44.08,44.87,43.20,44.74,9672100,44.55
2013-09-16,44.59,44.82,43.85,44.40,9928000,44.21
2013-09-09,42.56,44.13,42.09,43.97,9375200,43.78
2013-09-03,42.61,43.24,42.13,42.48,10039700,42.29
2013-08-26,41.95,42.71,41.06,42.09,10885500,41.91
2013-08-19,42.58,42.83,41.32,41.86,8251700,41.68
2013-08-12,44.38,45.00,42.32,42.54,9233200,42.35
2013-08-05,45.54,45.96,44.54,44.62,8416400,44.43
2013-07-29,43.49,46.33,42.66,45.72,14823000,45.52
2013-07-22,45.27,45.63,43.41,43.73,11253000,43.54
2013-07-15,44.56,44.63,43.67,44.57,9008500,44.38
2013-07-08,41.95,44.70,41.84,44.68,13104100,44.49
2013-07-01,41.89,41.93,40.26,41.70,10304000,41.52
2013-06-24,39.37,41.99,39.33,41.75,20632000,41.37
2013-06-17,40.17,40.82,38.75,39.77,13854700,39.41
2013-06-10,41.18,41.21,38.91,39.74,11273600,39.38
2013-06-03,40.25,41.28,39.51,41.18,12414500,40.81
2013-05-28,42.25,42.48,40.15,40.17,11798700,39.81
2013-05-20,42.47,42.64,41.31,41.95,12406400,41.57
2013-05-13,43.08,43.74,42.17,42.64,10251500,42.26
2013-05-06,42.46,43.36,42.34,43.08,7558800,42.69
2013-04-29,41.62,42.75,41.13,42.54,9242300,42.16
2013-04-22,40.49,41.53,40.25,41.37,12585700,41.00
2013-04-15,41.87,41.87,39.66,40.56,15765300,40.19
2013-04-10,41.28,42.12,41.20,42.00,14476500,41.62
