Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,27.93,27.98,27.71,27.85,1719600,27.85
2014-03-03,28.29,28.61,27.68,27.98,1951800,27.98
2014-02-24,28.58,28.75,28.14,28.43,1693800,28.43
2014-02-18,28.59,28.83,28.28,28.48,1912600,28.48
2014-02-10,27.22,28.54,27.03,28.53,1712800,28.53
2014-02-03,27.75,27.93,26.82,27.23,2884400,27.23
2014-01-27,26.58,27.81,26.49,27.79,3026500,27.51
2014-01-21,26.57,26.96,26.46,26.54,2233400,26.28
2014-01-13,27.06,27.19,26.30,26.43,2296300,26.17
2014-01-06,26.17,27.21,25.95,27.11,2999100,26.84
2013-12-30,26.67,26.84,26.09,26.29,1782000,26.03
2013-12-23,27.09,27.09,26.55,26.69,1079900,26.43
2013-12-16,26.37,27.05,26.09,26.92,2776600,26.65
2013-12-09,26.50,26.61,25.90,26.21,3052400,25.95
2013-12-02,26.53,26.70,26.23,26.49,2590900,26.23
2013-11-25,27.31,27.39,26.47,26.54,2868400,26.28
2013-11-18,27.68,27.75,27.11,27.31,2425700,27.04
2013-11-11,27.40,27.61,26.63,27.61,2593700,27.34
2013-11-04,27.70,27.81,26.80,27.28,3142900,27.01
2013-10-28,28.08,28.29,27.06,27.62,3868200,27.35
2013-10-21,27.30,28.09,27.04,28.03,4884600,27.50
2013-10-14,27.02,27.51,26.59,27.32,3755300,26.80
2013-10-07,25.89,27.08,25.81,27.06,3334300,26.55
2013-09-30,26.10,26.52,25.92,26.03,2892800,25.54
2013-09-23,26.49,27.06,26.11,26.21,4421600,25.71
2013-09-16,26.52,27.04,26.00,26.59,2657900,26.09
2013-09-09,25.99,26.24,25.82,26.19,2414400,25.69
2013-09-03,26.70,26.83,25.74,25.98,2958500,25.49
2013-08-26,26.93,26.98,26.40,26.53,1596900,26.03
2013-08-19,26.85,27.17,26.54,26.94,2404700,26.43
2013-08-12,27.81,27.97,26.65,26.87,1910400,26.36
2013-08-05,28.45,28.45,27.68,27.96,1444200,27.43
2013-07-29,28.12,28.68,27.75,28.52,3142200,27.98
2013-07-22,28.50,28.82,27.73,28.20,4486300,27.42
2013-07-15,27.92,28.58,27.84,28.48,2652300,27.69
2013-07-08,26.79,27.94,26.75,27.92,3100400,27.15
2013-07-01,26.96,27.46,26.29,26.70,2582900,25.96
2013-06-24,26.14,27.72,25.81,27.17,3823400,26.42
2013-06-17,27.56,27.71,25.76,26.40,2243900,25.67
2013-06-10,27.15,27.46,26.46,27.40,2295800,26.64
2013-06-03,26.97,27.20,26.29,27.04,2722800,26.29
2013-05-28,27.69,27.95,26.79,26.95,2328800,26.20
2013-05-20,29.10,29.18,27.42,27.53,2134200,26.77
2013-05-13,28.33,29.24,28.13,29.10,1783600,28.29
2013-05-06,29.39,29.48,28.14,28.42,1934100,27.63
2013-04-29,29.50,29.98,29.17,29.39,2736000,28.58
2013-04-22,29.08,29.61,28.72,29.43,3310000,28.37
2013-04-15,28.64,29.09,28.10,29.09,1687000,28.04
2013-04-10,28.25,28.76,28.25,28.73,1606700,27.70
