Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,35.00,35.29,34.64,35.25,4909800,35.25
2014-03-03,34.88,35.47,34.42,35.11,6433200,35.11
2014-02-24,36.05,36.33,34.70,35.00,10290300,35.00
2014-02-18,39.44,40.98,35.58,36.07,12493300,36.07
2014-02-10,39.13,39.62,38.04,38.86,6812900,38.86
2014-02-03,40.55,41.78,38.80,39.32,6967200,39.32
2014-01-27,39.55,40.94,38.49,39.98,5180700,39.98
2014-01-21,37.95,40.62,37.82,39.55,6613400,39.53
2014-01-13,37.57,38.38,36.38,37.48,4954500,37.46
2014-01-06,38.15,39.34,36.89,37.50,4794100,37.48
2013-12-30,39.02,39.35,37.63,37.95,3606500,37.93
2013-12-23,38.54,39.29,38.17,38.73,2710200,38.71
2013-12-16,36.19,38.87,35.40,38.43,6422700,38.41
2013-12-09,36.54,37.54,35.50,36.12,6113100,36.10
2013-12-02,34.57,36.70,34.00,35.20,5072400,35.18
2013-11-25,35.28,35.28,33.94,34.45,4237100,34.43
2013-11-18,33.60,35.29,32.62,35.14,5620400,35.12
2013-11-11,33.66,34.35,32.89,33.33,5796000,33.31
2013-11-04,35.22,35.37,31.79,33.60,6906400,33.58
2013-10-28,37.04,37.29,34.61,35.04,5466600,35.00
2013-10-21,36.25,37.09,34.41,36.98,6603300,36.94
2013-10-14,36.36,37.60,35.57,36.12,4052300,36.08
2013-10-07,35.85,37.02,34.67,36.75,5065800,36.71
2013-09-30,36.67,37.58,35.57,36.32,5288700,36.28
2013-09-23,37.51,37.57,35.35,37.11,9015900,37.07
2013-09-16,37.95,38.76,37.54,37.71,3746700,37.67
2013-09-09,38.98,39.10,37.42,37.52,5486800,37.48
2013-09-03,39.77,40.34,38.08,38.74,3909900,38.70
2013-08-26,39.00,39.97,38.26,39.13,2784600,39.09
2013-08-19,37.23,39.00,36.64,38.85,2643600,38.81
2013-08-12,75.89,76.38,36.49,37.13,3029600,37.09
2013-08-05,77.08,77.79,74.25,76.00,2989200,37.96
2013-07-29,77.48,77.77,75.48,77.18,3735700,38.55
2013-07-22,73.34,78.07,71.23,77.16,4870200,38.52
2013-07-15,70.83,73.75,68.65,73.67,4028600,36.78
2013-07-08,71.45,72.92,69.82,70.83,3566200,35.36
2013-07-01,71.68,72.40,69.93,71.45,3665700,35.67
2013-06-24,67.29,72.14,65.68,71.02,4059000,35.45
2013-06-17,70.47,72.85,67.04,68.00,3468400,33.95
2013-06-10,72.62,72.95,68.84,69.54,3322400,34.72
2013-06-03,70.50,72.62,69.17,72.31,3130700,36.10
2013-05-28,72.71,74.23,70.35,70.36,3345400,35.12
2013-05-20,70.31,72.80,68.70,70.96,4525600,35.42
2013-05-13,66.69,70.48,66.49,70.28,3747700,35.08
2013-05-06,67.31,69.23,66.03,66.84,3061800,33.36
2013-04-29,67.93,68.90,65.91,67.31,3912600,33.59
2013-04-22,64.65,70.49,64.05,67.33,4414200,33.60
2013-04-15,67.05,67.21,63.26,64.60,7082600,32.24
2013-04-10,70.75,71.39,67.69,67.70,4636600,33.79
