Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,48.82,49.10,48.51,48.93,3110300,48.93
2014-03-03,48.29,49.24,47.51,48.82,2899100,48.82
2014-02-24,47.82,49.13,47.69,48.81,2695200,48.47
2014-02-18,48.63,48.63,47.50,47.65,2723500,47.32
2014-02-10,47.59,48.47,46.83,48.08,3923700,47.74
2014-02-03,47.89,47.90,44.31,47.56,7198600,47.23
2014-01-27,48.82,49.29,47.43,47.89,5049800,47.56
2014-01-21,52.76,53.15,48.38,48.81,11735200,48.47
2014-01-13,55.75,55.98,52.01,52.56,5105000,52.19
2014-01-06,56.41,56.64,55.03,55.65,3038000,55.26
2013-12-30,56.14,56.72,55.64,56.24,2327500,55.85
2013-12-23,56.14,56.88,55.76,56.27,1132200,55.88
2013-12-16,55.60,56.45,54.77,56.06,2299400,55.67
2013-12-09,56.30,56.68,55.18,55.50,2752100,55.11
2013-12-02,57.45,57.71,55.17,55.62,4207400,55.23
2013-11-25,54.09,57.95,54.03,57.90,5241800,57.15
2013-11-18,54.19,54.74,53.21,54.22,3558700,53.52
2013-11-11,51.69,54.37,51.57,54.14,3776500,53.44
2013-11-04,50.50,52.49,50.49,51.81,3954300,51.14
2013-10-28,49.90,51.13,49.51,50.42,4087600,49.77
2013-10-21,53.98,54.34,47.89,49.89,10779600,49.25
2013-10-14,53.57,54.84,53.17,53.87,4676100,53.17
2013-10-07,54.53,55.24,53.13,54.59,3040700,53.89
2013-09-30,53.91,55.42,53.59,55.03,2967900,54.32
2013-09-23,55.00,55.09,53.79,54.24,2621100,53.54
2013-09-16,55.19,55.81,54.10,55.04,3303400,54.33
2013-09-09,53.18,54.63,53.05,54.63,2440600,53.92
2013-09-03,53.34,54.00,52.72,53.08,3265100,52.39
2013-08-26,52.78,53.11,51.63,52.81,2479500,51.80
2013-08-19,51.80,52.94,51.53,52.72,2640900,51.71
2013-08-12,53.07,53.55,51.85,51.90,2844800,50.91
2013-08-05,53.57,54.49,53.06,53.37,3828900,52.35
2013-07-29,58.80,58.80,52.10,53.33,7645800,52.31
2013-07-22,59.19,59.58,57.85,59.18,2218400,58.05
2013-07-15,58.99,59.45,57.80,59.31,2367200,58.17
2013-07-08,57.72,59.36,57.34,59.00,1951400,57.87
2013-07-01,57.35,57.73,55.84,57.45,1750100,56.35
2013-06-24,55.76,57.69,53.79,57.09,3487400,56.00
2013-06-17,58.80,59.49,56.10,56.54,3132700,55.46
2013-06-10,58.80,59.04,57.05,58.52,3467600,57.40
2013-06-03,58.58,59.00,57.00,58.75,3684300,57.62
2013-05-28,58.88,59.54,57.97,58.26,2705900,56.81
2013-05-20,59.25,60.12,57.00,57.76,3681600,56.33
2013-05-13,59.14,59.78,58.16,59.23,3324100,57.76
2013-05-06,58.26,59.83,56.50,59.50,4225300,58.02
2013-04-29,57.76,58.99,57.25,58.25,4129400,56.80
2013-04-22,51.22,57.98,50.28,57.42,8942700,56.00
2013-04-15,52.06,52.56,50.40,51.20,5738600,49.93
2013-04-10,50.10,52.75,50.10,52.37,5800900,51.07
