Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,71.30,71.59,70.93,71.33,1340500,71.33
2014-03-03,71.32,72.43,70.68,71.35,1625700,71.35
2014-02-24,71.09,72.47,70.26,71.95,2057500,71.95
2014-02-18,71.00,71.81,70.57,70.96,1937400,70.96
2014-02-10,67.65,71.16,67.62,71.00,2385200,71.00
2014-02-03,68.32,68.40,65.97,67.75,1765100,67.75
2014-01-27,68.05,69.35,67.11,68.24,2384200,68.24
2014-01-21,68.95,70.42,66.79,68.00,4130000,68.00
2014-01-13,69.25,69.98,67.95,68.20,2172000,67.87
2014-01-06,68.27,69.84,67.15,69.67,1959900,69.34
2013-12-30,67.77,68.32,67.25,67.82,969200,67.50
2013-12-23,67.19,68.09,66.63,67.82,1071400,67.50
2013-12-16,66.20,67.85,65.49,66.80,2501800,66.48
2013-12-09,67.90,68.78,65.66,65.81,2065100,65.50
2013-12-02,67.64,68.37,66.30,68.07,2064500,67.75
2013-11-25,67.16,68.88,66.96,68.26,2005000,67.93
2013-11-18,67.25,67.36,65.92,66.87,1460700,66.55
2013-11-11,63.99,67.28,63.65,67.25,2280500,66.93
2013-11-04,64.31,65.38,60.71,63.84,2578700,63.54
2013-10-28,64.15,64.81,63.53,64.09,1561400,63.78
2013-10-21,63.44,65.04,63.24,64.10,1908000,63.79
2013-10-14,60.91,63.79,60.82,63.27,1756500,62.97
2013-10-07,59.97,61.34,59.72,61.34,2471400,61.05
2013-09-30,60.66,61.29,60.23,60.30,1911300,59.70
2013-09-23,62.75,62.90,60.56,60.96,1753100,60.35
2013-09-16,60.99,63.54,60.72,63.05,3155000,62.42
2013-09-09,60.75,62.68,60.36,60.45,2668800,59.84
2013-09-03,60.00,61.42,59.18,60.75,2563000,60.14
2013-08-26,60.93,61.41,59.17,59.40,1868400,58.80
2013-08-19,60.23,61.20,60.10,60.88,1720400,60.27
2013-08-12,63.59,64.10,60.25,60.25,2627200,59.65
2013-08-05,63.01,64.04,62.84,63.70,1907600,63.06
2013-07-29,60.70,63.47,60.34,63.27,2302000,62.64
2013-07-22,61.80,61.91,60.04,60.96,1596800,60.35
2013-07-15,60.01,61.93,59.50,61.93,2649100,61.05
2013-07-08,58.37,59.57,57.54,59.52,2354100,58.67
2013-07-01,57.16,58.42,56.79,58.27,2543400,57.44
2013-06-24,61.23,63.20,59.84,62.84,4016700,54.92
2013-06-17,66.56,66.81,61.16,61.85,3842700,54.05
2013-06-10,64.82,65.97,63.07,65.92,2606100,57.61
2013-06-03,63.65,65.45,63.24,64.76,2944500,56.59
2013-05-28,65.69,66.70,63.58,63.60,3206700,55.58
2013-05-20,65.66,67.26,64.57,65.17,2558300,56.95
2013-05-13,65.84,66.88,65.49,65.77,2383000,57.48
2013-05-06,64.40,66.42,64.35,66.18,3244000,57.83
2013-04-29,62.50,65.49,62.15,64.35,5504400,56.24
2013-04-22,66.59,66.93,61.51,61.96,5074700,54.15
2013-04-15,67.67,68.70,65.83,66.55,3470600,58.16
2013-04-10,67.46,68.83,67.42,67.84,1820800,59.29
