Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,21.63,21.82,21.60,21.69,26163300,21.69
2014-03-03,21.57,22.05,21.44,21.73,31583400,21.73
2014-02-24,22.19,22.34,21.55,21.80,39480600,21.80
2014-02-18,22.49,22.56,22.13,22.13,29505300,22.13
2014-02-10,22.64,22.92,21.68,22.56,75838100,22.56
2014-02-03,21.93,22.72,21.40,22.67,51460900,22.67
2014-01-27,21.77,22.11,21.60,21.91,44711300,21.91
2014-01-21,22.91,22.95,22.17,22.20,35513500,22.20
2014-01-13,22.39,23.00,22.14,22.74,49787100,22.74
2014-01-06,21.96,22.41,21.92,22.22,34398800,22.22
2013-12-30,22.00,22.47,21.83,21.98,35414300,21.98
2013-12-23,21.25,22.05,21.22,22.02,25195200,21.85
2013-12-16,20.35,21.25,20.25,21.13,51228500,20.97
2013-12-09,21.30,21.34,20.22,20.24,54984100,20.09
2013-12-02,21.29,21.35,20.89,21.28,49086100,21.12
2013-11-25,21.45,21.52,21.08,21.25,37815000,21.09
2013-11-18,21.60,21.72,21.12,21.46,49883700,21.30
2013-11-11,23.50,24.00,20.77,21.54,92944400,21.38
2013-11-04,22.55,23.56,22.42,23.51,37921000,23.33
2013-10-28,22.40,22.94,22.31,22.57,30487600,22.40
2013-10-21,23.11,23.11,22.10,22.46,46510500,22.29
2013-10-14,23.16,23.42,22.42,22.96,41928000,22.79
2013-10-07,22.76,23.38,22.29,23.28,34694200,23.10
2013-09-30,23.12,23.53,22.85,23.02,36465300,22.85
2013-09-23,24.38,24.55,23.05,23.33,44053900,22.99
2013-09-16,24.43,24.80,24.13,24.51,31834400,24.15
2013-09-09,23.61,24.45,23.58,24.32,23610000,23.96
2013-09-03,23.58,23.92,23.39,23.55,27965100,23.20
2013-08-26,23.84,24.05,23.22,23.31,33073400,22.97
2013-08-19,24.32,24.66,23.84,23.86,36453800,23.51
2013-08-12,25.86,26.48,24.25,24.27,63631000,23.91
2013-08-05,26.11,26.49,25.86,26.05,27221200,25.66
2013-07-29,25.36,26.19,25.23,26.19,28744800,25.80
2013-07-22,26.00,26.04,25.23,25.50,27426800,25.12
2013-07-15,25.78,26.15,25.60,25.82,29503500,25.44
2013-07-08,24.66,25.95,24.39,25.94,38577100,25.56
2013-07-01,24.42,24.84,24.22,24.57,27383100,24.21
2013-06-24,24.32,24.71,23.99,24.34,34543700,23.81
2013-06-17,24.26,24.98,24.21,24.48,44053200,23.95
2013-06-10,24.57,24.67,23.88,24.09,29779900,23.57
2013-06-03,24.26,24.78,24.03,24.49,38949100,23.96
2013-05-28,23.81,24.68,23.69,24.12,40846400,23.60
2013-05-20,23.90,24.06,23.06,23.53,43803200,23.02
2013-05-13,21.14,24.25,21.05,24.24,81890100,23.71
2013-05-06,20.87,21.10,20.29,21.10,35289700,20.64
2013-04-29,20.65,21.25,20.35,20.83,41771800,20.38
2013-04-22,20.53,21.10,20.26,20.67,39257500,20.22
2013-04-15,21.45,21.64,19.98,20.46,35624500,20.02
2013-04-10,21.07,21.70,21.02,21.54,35628300,21.07
