Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,28.88,28.97,28.59,28.89,5571500,28.89
2014-03-03,27.52,29.10,27.35,28.87,5895300,28.87
2014-02-24,27.33,27.97,27.08,27.71,5988300,27.71
2014-02-18,27.52,27.62,27.06,27.32,6500800,27.17
2014-02-10,27.19,27.59,26.90,27.53,4969600,27.38
2014-02-03,26.93,27.45,25.84,27.25,7186400,27.10
2014-01-27,26.09,27.06,25.89,26.91,6515500,26.76
2014-01-21,27.35,27.52,26.19,26.20,8847000,26.06
2014-01-13,28.83,29.25,26.76,27.23,13199000,27.08
2014-01-06,28.56,28.94,28.05,28.88,4619400,28.72
2013-12-30,28.32,28.80,28.19,28.43,4214800,28.27
2013-12-23,28.30,28.56,28.18,28.29,2607300,28.13
2013-12-16,27.73,28.26,27.40,28.08,7352200,27.93
2013-12-09,27.85,28.25,27.25,27.57,5148200,27.42
2013-12-02,27.27,27.90,27.02,27.75,5214200,27.60
2013-11-25,27.34,27.53,27.02,27.27,3261600,27.12
2013-11-18,27.07,27.48,26.75,27.35,5225600,27.05
2013-11-11,26.60,27.14,26.50,27.00,6018600,26.70
2013-11-04,26.49,26.64,26.20,26.61,5510600,26.32
2013-10-28,26.63,26.85,25.97,26.28,5269600,25.99
2013-10-21,25.64,26.61,25.58,26.61,5744400,26.32
2013-10-14,25.76,26.21,25.28,25.70,9173200,25.42
2013-10-07,25.40,26.08,25.08,25.83,6816700,25.55
2013-09-30,25.56,26.25,25.04,25.57,5499800,25.29
2013-09-23,26.39,26.40,25.65,25.85,5605400,25.57
2013-09-16,26.38,26.90,25.56,26.42,6751600,26.13
2013-09-09,25.52,26.17,25.38,26.06,5040700,25.77
2013-09-03,24.92,25.68,24.68,25.45,5105400,25.17
2013-08-26,25.38,25.62,24.46,24.61,4827800,24.34
2013-08-19,25.08,25.40,24.56,25.36,4545600,24.93
2013-08-12,25.52,25.67,24.79,25.16,5585100,24.73
2013-08-05,26.26,26.26,25.27,25.70,8045600,25.27
2013-07-29,24.65,26.68,24.56,26.05,9392200,25.61
2013-07-22,25.40,25.63,24.43,24.68,5440600,24.26
2013-07-15,24.43,25.79,24.27,25.39,8843200,24.96
2013-07-08,23.38,24.79,23.09,24.36,6588400,23.95
2013-07-01,23.33,23.50,22.89,23.26,5757600,22.87
2013-06-24,23.23,23.57,22.40,23.19,9434100,22.80
2013-06-17,25.07,25.34,23.34,23.47,9661300,23.07
2013-06-10,25.16,25.44,24.73,24.94,6953300,24.52
2013-06-03,25.30,25.44,24.12,25.02,8229300,24.60
2013-05-28,25.82,25.99,24.85,25.21,7519200,24.78
2013-05-20,25.88,26.36,25.11,25.50,5124500,24.92
2013-05-13,25.33,26.00,25.07,25.92,5416600,25.33
2013-05-06,24.82,25.74,24.81,25.43,6391900,24.85
2013-04-29,24.49,24.98,24.03,24.81,5142900,24.25
2013-04-22,23.80,24.45,23.50,24.37,5723200,23.82
2013-04-15,24.36,24.42,23.30,23.70,10263000,23.16
2013-04-10,23.97,24.65,23.92,24.51,5925100,23.95
